"Target: Potatoe_raster2, Contains DAT files: APB_469447387ESC08110441432_______M1.DAT"
15504.2  ,     901
15528.6  ,    1041
15553.1  ,    1246
15577.5  ,    1699
15601.9  ,    2102
15626.3  ,    2638
15650.8  ,    3139
15675.2  ,    3632
15699.6  ,    4016
15724.0  ,    4504
15748.5  ,    4641
15772.9  ,    4390
15797.3  ,    3964
15821.7  ,    3653
15846.1  ,    3052
15870.6  ,    2608
15895.0  ,    2167
15919.4  ,    1721
15943.8  ,    1432
15968.3  ,    1320
15992.7  ,    1277
16017.1  ,    1166
16041.5  ,    1222
16065.9  ,    1310
16090.4  ,    1348
16114.8  ,    1400
16139.2  ,    1421
16163.6  ,    1426
16188.1  ,    1487
16212.5  ,    1537
16236.9  ,    1561
16261.3  ,    1522
16285.7  ,    1666
16310.2  ,    1638
16334.6  ,    1641
16359.0  ,    1614
16383.4  ,    1569
16407.9  ,    1551
16432.3  ,    1538
16456.7  ,    1546
16481.1  ,    1544
16505.5  ,    1490
16530.0  ,    1486
16554.4  ,    1552
16578.8  ,    1554
16603.2  ,    1654
16627.7  ,    1657
16652.1  ,    1726
16676.5  ,    1788
16700.9  ,    1890
16725.4  ,    2029
16749.8  ,    2127
16774.2  ,    2314
16798.6  ,    2388
16823.0  ,    2620
16847.5  ,    2865
16871.9  ,    2962
16896.3  ,    3209
16920.7  ,    3325
16945.2  ,    3542
16969.6  ,    3746
16994.0  ,    3800
17018.4  ,    3898
17042.8  ,    4104
17067.3  ,    4161
17091.7  ,    4336
17116.1  ,    4433
17140.5  ,    4575
17165.0  ,    4533
17189.4  ,    4652
17213.8  ,    4506
17238.2  ,    4597
17262.6  ,    4320
17287.1  ,    4141
17311.5  ,    3777
17335.9  ,    3632
17360.3  ,    3235
17384.8  ,    2944
17409.2  ,    2510
17433.6  ,    2404
17458.0  ,    2162
17482.4  ,    1896
17506.9  ,    1829
17531.3  ,    1846
17555.7  ,    1796
17580.1  ,    1767
17604.6  ,    1719
17629.0  ,    1778
17653.4  ,    1689
17677.8  ,    1603
17702.3  ,    1508
17726.7  ,    1442
17751.1  ,    1294
17775.5  ,    1114
17799.9  ,     922
17824.4  ,     905
17848.8  ,     844
17873.2  ,     733
17897.6  ,     716
17922.1  ,     746
17946.5  ,     760
17970.9  ,     708
17995.3  ,     769
18019.7  ,     784
18044.2  ,     805
18068.6  ,     855
18093.0  ,     926
18117.4  ,    1133
18141.9  ,    1463
18166.3  ,    1851
18190.7  ,    2223
18215.1  ,    2755
18239.5  ,    2960
18264.0  ,    3344
18288.4  ,    3531
18312.8  ,    3528
18337.2  ,    3270
18361.7  ,    2826
18386.1  ,    2427
18410.5  ,    1851
18434.9  ,    1432
18459.3  ,    1050
18483.8  ,     728
18508.2  ,     508
18532.6  ,     408
18557.0  ,     298
18581.5  ,     273
18605.9  ,     240
18630.3  ,     235
18654.7  ,     220
18679.2  ,     197
18703.6  ,     233
18728.0  ,     182
18752.4  ,     184
18776.8  ,     240
18801.3  ,     213
18825.7  ,     196
18850.1  ,     214
18874.5  ,     232
18899.0  ,     243
18923.4  ,     249
18947.8  ,     239
18972.2  ,     246
18996.6  ,     264
19021.1  ,     264
19045.5  ,     266
19069.9  ,     306
19094.3  ,     289
19118.8  ,     301
19143.2  ,     297
19167.6  ,     324
19192.0  ,     346
19216.4  ,     358
19240.9  ,     389
19265.3  ,     379
19289.7  ,     410
19314.1  ,     433
19338.6  ,     427
19363.0  ,     455
19387.4  ,     481
19411.8  ,     546
19436.2  ,     555
19460.7  ,     628
19485.1  ,     626
19509.5  ,     735
19533.9  ,     729
19558.4  ,     781
19582.8  ,     765
19607.2  ,     845
19631.6  ,     901
19656.0  ,     932
19680.5  ,     943
19704.9  ,     989
19729.3  ,    1043
19753.7  ,    1098
19778.2  ,    1071
19802.6  ,    1163
19827.0  ,    1065
19851.4  ,     998
19875.9  ,     971
19900.3  ,    1040
19924.7  ,    1007
19949.1  ,     984
19973.5  ,     994
19998.0  ,    1003
20022.4  ,     896
20046.8  ,     951
20071.2  ,     877
20095.7  ,     844
20120.1  ,     806
20144.5  ,     752
20168.9  ,     789
20193.3  ,     645
20217.8  ,     626
20242.2  ,     613
