"Target: Et_Then, Contains DAT files: APA_405536150ESC00910050104_______M2.DAT"
24041.7  ,      12
24066.1  ,      20
24090.5  ,      15
24114.9  ,      29
24139.4  ,      12
24163.8  ,      16
24188.2  ,      13
24212.6  ,      14
24237.0  ,      17
24261.4  ,      17
24285.8  ,      18
24310.2  ,      18
24334.6  ,      23
24359.0  ,      18
24383.5  ,       8
24407.9  ,      15
24432.3  ,      18
24456.7  ,      24
24481.1  ,      10
24505.5  ,       9
24529.9  ,      20
24554.3  ,      13
24578.7  ,      22
24603.1  ,      14
24627.6  ,      22
24652.0  ,      23
24676.4  ,      13
24700.8  ,      15
24725.2  ,      20
24749.6  ,      18
24774.0  ,      29
24798.4  ,      16
24822.8  ,      20
24847.2  ,      15
24871.7  ,      16
24896.1  ,      11
24920.5  ,      18
24944.9  ,      20
24969.3  ,      25
24993.7  ,      24
25018.1  ,      25
25042.5  ,      32
25066.9  ,      16
25091.3  ,      20
25115.8  ,      31
25140.2  ,      28
25164.6  ,      26
25189.0  ,      19
25213.4  ,      21
25237.8  ,      13
25262.2  ,      21
25286.6  ,      27
25311.0  ,      24
25335.4  ,      21
25359.9  ,      27
25384.3  ,      21
25408.7  ,      36
25433.1  ,      14
25457.5  ,   62887
