"Target: Askival_raster3, Contains DAT files: APB_576668225ESC20180691648_______M1.DAT"
19429.2  ,      32
19453.6  ,      25
19478.0  ,      29
19502.4  ,      30
19526.8  ,      47
19551.3  ,      40
19575.7  ,      32
19600.1  ,      50
19624.5  ,      56
19648.9  ,      42
19673.3  ,      51
19697.7  ,      53
19722.2  ,      51
19746.6  ,      55
19771.0  ,      54
19795.4  ,      52
19819.8  ,      60
19844.2  ,      40
19868.6  ,      59
19893.0  ,      62
19917.5  ,      51
19941.9  ,      42
19966.3  ,      55
19990.7  ,      48
20015.1  ,      53
20039.5  ,      43
20063.9  ,      39
20088.4  ,      36
20112.8  ,      41
20137.2  ,      39
20161.6  ,      47
20186.0  ,      42
20210.4  ,      32
20234.8  ,      36
20259.2  ,      40
20283.7  ,      29
20308.1  ,      31
20332.5  ,      25
20356.9  ,      31
20381.3  ,      26
20405.7  ,      26
20430.1  ,      27
20454.6  ,      26
20479.0  ,      23
20503.4  ,      21
20527.8  ,      35
20552.2  ,      18
20576.6  ,      13
20601.0  ,      12
20625.4  ,      17
20649.9  ,      13
20674.3  ,      24
20698.7  ,      15
20723.1  ,      23
20747.5  ,      11
20771.9  ,      16
20796.3  ,      23
20820.8  ,      14
20845.2  ,      16
20869.6  ,       8
20894.0  ,      13
20918.4  ,       9
20942.8  ,      10
20967.2  ,       8
20991.6  ,       4
21016.1  ,       9
21040.5  ,       4
21064.9  ,       8
21089.3  ,       7
21113.7  ,       4
21138.1  ,       3
21162.5  ,       9
21187.0  ,      10
21211.4  ,      10
21235.8  ,      12
21260.2  ,      11
21284.6  ,      23
21309.0  ,      21
21333.4  ,      27
21357.8  ,      31
21382.3  ,      22
21406.7  ,      29
21431.1  ,      25
21455.5  ,      30
21479.9  ,      27
21504.3  ,      20
21528.7  ,      20
21553.2  ,      13
21577.6  ,      15
21602.0  ,      10
21626.4  ,       8
21650.8  ,       1
21675.2  ,       8
21699.6  ,       7
21724.1  ,       2
21748.5  ,       1
21772.9  ,       8
21797.3  ,       4
21821.7  ,       3
21846.1  ,       2
21870.5  ,       3
21894.9  ,       4
21919.4  ,       4
21943.8  ,       5
21968.2  ,       4
21992.6  ,       9
22017.0  ,       3
22041.4  ,       3
22065.8  ,       9
22090.3  ,       7
22114.7  ,       4
22139.1  ,      11
22163.5  ,       5
22187.9  ,       4
22212.3  ,      12
22236.7  ,       9
22261.1  ,       6
22285.6  ,       6
22310.0  ,       2
22334.4  ,       3
22358.8  ,       3
22383.2  ,       1
22407.6  ,       3
22432.0  ,       1
22456.5  ,       2
22480.9  ,       1
22505.3  ,       2
