"Target: Hopeman_raster1, Contains DAT files: APB_576661505ESC20180691648_______M1.DAT"
23273.1  ,       2
23297.5  ,       6
23321.9  ,       5
23346.3  ,       1
23370.7  ,       6
23395.1  ,       4
23419.5  ,       4
23443.9  ,       4
23468.3  ,       4
23492.7  ,       5
23517.1  ,       7
23541.5  ,       1
23565.9  ,       3
23590.3  ,       6
23614.7  ,      10
23639.1  ,       3
23663.5  ,       5
23687.9  ,       2
23712.3  ,       4
23736.7  ,       1
23761.1  ,       4
23785.5  ,       2
23809.9  ,       1
23834.3  ,       0
23858.7  ,       5
23883.1  ,       3
23907.5  ,       4
23931.9  ,       7
23956.3  ,       1
23980.7  ,       2
24005.1  ,       0
24029.5  ,       9
24053.9  ,       2
24078.3  ,       5
24102.7  ,       4
24127.1  ,       2
24151.5  ,       4
24175.9  ,       2
24200.3  ,       3
24224.7  ,       1
24249.1  ,       2
24273.5  ,       3
24297.9  ,       1
24322.3  ,       2
24346.7  ,       5
24371.1  ,       1
24395.5  ,       2
24419.9  ,       3
24444.3  ,       4
24468.7  ,       2
24493.1  ,       3
24517.5  ,       4
24541.9  ,       2
24566.3  ,       2
24590.7  ,       1
24615.1  ,       4
24639.5  ,       2
24663.9  ,       7
24688.3  ,       4
24712.7  ,       6
24737.1  ,       1
24761.5  ,       3
24785.9  ,       1
24810.3  ,       3
24834.7  ,       2
24859.1  ,       7
24883.5  ,       4
24907.9  ,       4
24932.3  ,       3
24956.7  ,       2
24981.1  ,       3
25005.5  ,       6
25029.9  ,       2
25054.3  ,       4
25078.7  ,       8
25103.1  ,       3
25127.5  ,       4
25151.9  ,       2
25176.3  ,       4
25200.7  ,       5
25225.1  ,       8
25249.5  ,       4
25273.9  ,       5
25298.3  ,       7
25322.7  ,       2
25347.1  ,       4
25371.5  ,       7
25395.9  ,       6
25420.3  ,       6
25444.7  ,   10169
