"Target: Haroldswick_Raster4, Contains DAT files: APB_568049766ESC19210671762_______M1.DAT"
19332.3  ,      20
19356.6  ,      14
19381.0  ,      20
19405.4  ,      19
19429.8  ,      22
19454.2  ,      21
19478.6  ,      27
19502.9  ,      25
19527.3  ,      28
19551.7  ,      29
19576.1  ,      37
19600.5  ,      27
19624.9  ,      32
19649.2  ,      42
19673.6  ,      41
19698.0  ,      35
19722.4  ,      32
19746.8  ,      37
19771.2  ,      37
19795.5  ,      40
19819.9  ,      32
19844.3  ,      38
19868.7  ,      26
19893.1  ,      35
19917.5  ,      31
19941.9  ,      35
19966.2  ,      43
19990.6  ,      36
20015.0  ,      34
20039.4  ,      42
20063.8  ,      33
20088.2  ,      28
20112.5  ,      21
20136.9  ,      28
20161.3  ,      26
20185.7  ,      12
20210.1  ,      25
20234.5  ,      21
20258.8  ,      20
20283.2  ,      23
20307.6  ,      17
20332.0  ,      25
20356.4  ,      15
20380.8  ,      24
20405.1  ,      21
20429.5  ,      11
20453.9  ,      18
20478.3  ,      11
20502.7  ,      20
20527.1  ,       9
20551.4  ,      16
20575.8  ,      16
20600.2  ,      16
20624.6  ,      11
20649.0  ,      19
20673.4  ,      16
20697.7  ,      14
20722.1  ,      11
20746.5  ,      10
20770.9  ,      13
20795.3  ,      11
20819.7  ,      12
20844.1  ,      14
20868.4  ,      10
20892.8  ,       6
20917.2  ,      10
20941.6  ,       8
20966.0  ,       4
20990.4  ,      11
21014.7  ,       6
21039.1  ,      11
21063.5  ,       4
21087.9  ,       6
21112.3  ,       7
21136.7  ,      10
21161.0  ,       5
21185.4  ,      10
21209.8  ,      11
21234.2  ,      13
21258.6  ,      11
21283.0  ,      21
21307.3  ,      14
21331.7  ,      15
21356.1  ,      24
21380.5  ,      35
21404.9  ,      27
21429.3  ,      30
21453.6  ,      36
21478.0  ,      28
21502.4  ,      31
21526.8  ,      14
21551.2  ,      12
21575.6  ,      13
21599.9  ,      17
21624.3  ,       8
21648.7  ,       6
21673.1  ,       4
21697.5  ,       5
21721.9  ,       5
21746.3  ,       3
21770.6  ,       6
21795.0  ,       6
21819.4  ,       7
21843.8  ,       6
21868.2  ,       6
21892.6  ,       2
21916.9  ,       5
21941.3  ,       3
21965.7  ,       5
21990.1  ,       5
22014.5  ,       7
22038.9  ,      12
22063.2  ,       6
22087.6  ,       6
22112.0  ,       6
22136.4  ,      11
22160.8  ,       9
22185.2  ,       6
22209.5  ,      12
22233.9  ,       3
22258.3  ,       8
22282.7  ,      10
22307.1  ,       1
22331.5  ,       2
22355.8  ,       4
22380.2  ,       0
22404.6  ,       3
22429.0  ,       4
22453.4  ,       8
22477.8  ,       3
22502.1  ,       8
22526.5  ,       4
22550.9  ,       3
22575.3  ,       4
22599.7  ,       3
22624.1  ,       1
22648.5  ,       1
22672.8  ,       0
22697.2  ,       5
22721.6  ,       7
22746.0  ,       0
22770.4  ,       2
22794.8  ,       2
22819.1  ,       3
22843.5  ,       2
22867.9  ,       0
22892.3  ,       3
22916.7  ,       4
22941.1  ,       3
22965.4  ,       5
22989.8  ,       0
23014.2  ,       4
23038.6  ,       5
23063.0  ,       1
23087.4  ,       7
23111.7  ,       1
23136.1  ,       2
23160.5  ,       2
23184.9  ,       1
23209.3  ,       4
23233.7  ,       4
23258.0  ,       3
23282.4  ,       5
23306.8  ,       1
23331.2  ,       5
23355.6  ,       3
23380.0  ,       1
23404.3  ,       3
23428.7  ,       4
23453.1  ,       4
23477.5  ,       6
23501.9  ,       4
23526.3  ,       1
23550.7  ,       4
23575.0  ,       2
23599.4  ,       2
23623.8  ,       9
23648.2  ,       4
23672.6  ,       5
23697.0  ,       3
23721.3  ,       3
23745.7  ,       2
23770.1  ,       0
23794.5  ,       4
23818.9  ,       2
23843.3  ,       3
23867.6  ,       2
23892.0  ,       5
23916.4  ,       5
23940.8  ,       1
23965.2  ,       2
23989.6  ,       3
24013.9  ,       3
24038.3  ,       6
24062.7  ,       1
24087.1  ,       3
24111.5  ,       4
24135.9  ,       4
24160.2  ,       2
24184.6  ,       1
24209.0  ,       6
24233.4  ,       1
24257.8  ,       2
24282.2  ,       1
24306.5  ,       2
24330.9  ,       5
24355.3  ,       3
24379.7  ,       6
24404.1  ,       0
24428.5  ,       1
24452.8  ,       3
24477.2  ,       6
24501.6  ,       4
24526.0  ,       2
24550.4  ,       3
24574.8  ,       3
24599.2  ,       4
24623.5  ,       3
24647.9  ,       5
24672.3  ,       4
24696.7  ,       6
24721.1  ,       4
24745.5  ,       6
24769.8  ,       2
24794.2  ,       3
24818.6  ,       4
24843.0  ,       6
24867.4  ,       4
24891.8  ,       1
24916.1  ,       4
24940.5  ,       1
24964.9  ,       6
24989.3  ,       3
25013.7  ,       3
25038.1  ,       5
25062.4  ,       2
25086.8  ,       1
25111.2  ,       3
25135.6  ,       4
25160.0  ,       6
25184.4  ,       2
25208.7  ,       2
25233.1  ,       4
25257.5  ,       3
25281.9  ,       4
25306.3  ,       3
25330.7  ,       4
25355.0  ,       5
25379.4  ,       3
25403.8  ,       5
25428.2  ,    9501
