"Target: Tursac, Contains DAT files: APB_670558295ESC30760871078_______M1.DAT"
13403.7  ,      63
13428.0  ,      68
13452.4  ,      68
13476.8  ,      75
13501.2  ,      68
13525.5  ,      58
13549.9  ,      59
13574.3  ,      45
13598.7  ,      69
13623.1  ,      44
13647.4  ,      51
13671.8  ,      51
13696.2  ,      53
13720.6  ,      44
13744.9  ,      43
13769.3  ,      36
13793.7  ,      31
13818.1  ,      24
13842.5  ,      27
13866.8  ,      21
13891.2  ,      29
13915.6  ,      25
13940.0  ,      20
13964.4  ,      30
13988.7  ,      32
14013.1  ,      29
14037.5  ,      40
14061.9  ,      32
14086.2  ,      34
14110.6  ,      52
14135.0  ,      51
14159.4  ,      74
14183.8  ,      97
14208.1  ,      78
14232.5  ,      80
14256.9  ,      81
14281.3  ,      87
14305.7  ,      79
14330.0  ,      76
14354.4  ,      63
14378.8  ,      57
14403.2  ,      40
14427.5  ,      18
14451.9  ,      26
14476.3  ,      15
14500.7  ,       9
14525.1  ,       9
14549.4  ,       6
14573.8  ,       6
14598.2  ,       7
14622.6  ,       8
14646.9  ,       8
14671.3  ,       4
14695.7  ,       6
14720.1  ,       5
14744.5  ,       6
14768.8  ,       7
14793.2  ,       8
14817.6  ,       5
14842.0  ,       5
14866.4  ,       7
14890.7  ,       8
14915.1  ,       6
14939.5  ,      15
14963.9  ,       9
14988.2  ,       7
15012.6  ,       4
15037.0  ,      10
15061.4  ,       7
15085.8  ,      12
15110.1  ,      10
15134.5  ,       9
15158.9  ,       8
15183.3  ,      10
15207.7  ,       8
15232.0  ,      13
15256.4  ,      12
15280.8  ,      10
15305.2  ,       8
15329.5  ,      11
15353.9  ,       9
15378.3  ,      19
15402.7  ,       6
15427.1  ,      12
15451.4  ,      17
15475.8  ,      19
15500.2  ,      18
15524.6  ,      34
15548.9  ,      31
15573.3  ,      51
15597.7  ,      67
15622.1  ,      93
15646.5  ,      98
15670.8  ,     112
15695.2  ,     126
15719.6  ,     130
15744.0  ,     132
15768.4  ,     140
15792.7  ,     136
15817.1  ,     116
15841.5  ,     100
15865.9  ,      75
15890.2  ,      72
15914.6  ,      51
15939.0  ,      44
15963.4  ,      32
15987.8  ,      28
16012.1  ,      28
16036.5  ,      26
16060.9  ,      34
16085.3  ,      35
16109.7  ,      22
16134.0  ,      28
16158.4  ,      20
16182.8  ,      34
16207.2  ,      29
16231.5  ,      38
16255.9  ,      32
16280.3  ,      24
16304.7  ,      26
16329.1  ,      39
16353.4  ,      30
16377.8  ,      32
16402.2  ,      22
16426.6  ,      32
16451.0  ,      32
16475.3  ,      23
16499.7  ,      30
16524.1  ,      28
16548.5  ,      43
16572.8  ,      30
16597.2  ,      26
16621.6  ,      42
16646.0  ,      32
16670.4  ,      32
16694.7  ,      36
16719.1  ,      56
16743.5  ,      28
16767.9  ,      34
16792.2  ,      40
16816.6  ,      43
16841.0  ,      57
16865.4  ,      56
16889.8  ,      81
16914.1  ,      75
16938.5  ,      70
16962.9  ,      78
16987.3  ,      74
17011.7  ,      82
17036.0  ,      74
17060.4  ,      82
17084.8  ,      92
17109.2  ,      76
17133.5  ,      78
17157.9  ,      86
17182.3  ,      77
17206.7  ,      74
17231.1  ,      78
17255.4  ,      72
17279.8  ,      88
17304.2  ,      72
17328.6  ,      78
17353.0  ,      57
17377.3  ,      49
17401.7  ,      43
17426.1  ,      49
17450.5  ,      34
17474.8  ,      42
