"Target: Sutton_Island_DRT, Contains DAT files: APB_532735594ESC15230592668_______M1.DAT"
16757.0  ,    1731
16781.4  ,    1893
16805.8  ,    1872
16830.2  ,    2163
16854.6  ,    2151
16879.0  ,    2473
16903.4  ,    2474
16927.8  ,    2666
16952.2  ,    2710
16976.6  ,    2873
17001.0  ,    3118
17025.4  ,    3182
17049.8  ,    3199
17074.2  ,    3319
17098.6  ,    3500
17123.0  ,    3553
17147.4  ,    3502
17171.8  ,    3628
17196.2  ,    3571
17220.6  ,    3626
17245.0  ,    3520
17269.4  ,    3363
17293.8  ,    3183
17318.2  ,    2953
17342.6  ,    2591
17367.0  ,    2458
17391.4  ,    2273
17415.8  ,    1982
17440.2  ,    1842
17464.6  ,    1732
17489.0  ,    1620
17513.3  ,    1474
17537.7  ,    1471
17562.1  ,    1504
17586.5  ,    1547
17610.9  ,    1481
17635.3  ,    1522
17659.7  ,    1505
17684.1  ,    1457
17708.5  ,    1302
17732.9  ,    1179
17757.3  ,    1068
17781.7  ,     884
17806.1  ,     827
17830.5  ,     724
17854.9  ,     722
17879.3  ,     682
17903.7  ,     627
17928.1  ,     683
17952.5  ,     651
17976.9  ,     652
18001.3  ,     637
18025.7  ,     640
18050.1  ,     695
18074.5  ,     861
18098.9  ,     961
18123.3  ,    1162
18147.7  ,    1559
18172.1  ,    1884
18196.5  ,    2326
18220.9  ,    2516
18245.3  ,    3016
18269.6  ,    3066
18294.0  ,    3215
18318.4  ,    3144
18342.8  ,    2676
18367.2  ,    2387
18391.6  ,    1973
18416.0  ,    1571
18440.4  ,    1268
18464.8  ,     862
18489.2  ,     643
18513.6  ,     466
18538.0  ,     333
18562.4  ,     301
18586.8  ,     252
18611.2  ,     211
18635.6  ,     215
18660.0  ,     184
18684.4  ,     174
18708.8  ,     186
18733.2  ,     175
18757.6  ,     185
18782.0  ,     157
18806.4  ,     203
18830.8  ,     197
18855.2  ,     212
18879.6  ,     180
18904.0  ,     235
18928.4  ,     222
18952.8  ,     224
18977.2  ,     248
19001.6  ,     207
19025.9  ,     229
19050.3  ,     210
19074.7  ,     272
19099.1  ,     268
19123.5  ,     272
19147.9  ,     267
19172.3  ,     282
19196.7  ,     276
19221.1  ,     302
19245.5  ,     339
19269.9  ,     331
19294.3  ,     366
19318.7  ,     342
19343.1  ,     371
19367.5  ,     422
19391.9  ,     444
19416.3  ,     452
19440.7  ,     460
19465.1  ,     509
19489.5  ,     534
19513.9  ,     532
19538.3  ,     578
19562.7  ,     619
19587.1  ,     668
19611.5  ,     682
19635.9  ,     650
19660.3  ,     725
19684.7  ,     757
19709.1  ,     803
19733.5  ,     856
19757.9  ,     777
19782.2  ,     843
19806.6  ,     854
19831.0  ,     842
19855.4  ,     858
19879.8  ,     785
19904.2  ,     777
19928.6  ,     826
19953.0  ,     768
19977.4  ,     718
20001.8  ,     771
20026.2  ,     676
20050.6  ,     689
20075.0  ,     669
20099.4  ,     658
20123.8  ,     632
20148.2  ,     562
20172.6  ,     600
20197.0  ,     585
20221.4  ,     511
20245.8  ,     491
20270.2  ,     461
20294.6  ,     508
20319.0  ,     445
20343.4  ,     443
20367.8  ,     459
20392.2  ,     444
20416.6  ,     429
20441.0  ,     400
20465.4  ,     421
20489.8  ,     396
20514.2  ,     379
20538.5  ,     353
20562.9  ,     378
20587.3  ,     356
20611.7  ,     348
20636.1  ,     292
20660.5  ,     309
20684.9  ,     274
20709.3  ,     284
20733.7  ,     265
20758.1  ,     263
20782.5  ,     270
20806.9  ,     254
20831.3  ,     228
20855.7  ,     227
20880.1  ,     191
20904.5  ,     190
20928.9  ,     186
20953.3  ,     177
20977.7  ,     167
21002.1  ,     172
21026.5  ,     184
21050.9  ,     152
21075.3  ,     162
21099.7  ,     165
21124.1  ,     173
21148.5  ,     159
21172.9  ,     172
21197.3  ,     204
21221.7  ,     244
21246.1  ,     268
21270.5  ,     318
21294.8  ,     381
21319.2  ,     467
21343.6  ,     547
21368.0  ,     620
21392.4  ,     591
21416.8  ,     663
21441.2  ,     608
21465.6  ,     553
21490.0  ,     547
21514.4  ,     421
21538.8  ,     393
21563.2  ,     325
21587.6  ,     248
21612.0  ,     225
21636.4  ,     173
