"Target: Mammoth_rp, Contains DAT files: APB_464835267ESC07590421020_______M1.DAT"
20440.5  ,     407
20464.9  ,     434
20489.2  ,     390
20513.6  ,     371
20538.0  ,     363
20562.3  ,     355
20586.7  ,     364
20611.1  ,     363
20635.4  ,     340
20659.8  ,     321
20684.1  ,     305
20708.5  ,     282
20732.9  ,     299
20757.2  ,     271
20781.6  ,     232
20806.0  ,     245
20830.3  ,     233
20854.7  ,     218
20879.0  ,     220
20903.4  ,     189
20927.8  ,     173
20952.1  ,     217
20976.5  ,     188
21000.9  ,     189
21025.2  ,     175
21049.6  ,     204
21073.9  ,     172
21098.3  ,     171
21122.7  ,     193
21147.0  ,     189
21171.4  ,     198
21195.8  ,     195
21220.1  ,     250
21244.5  ,     274
21268.8  ,     335
21293.2  ,     390
21317.6  ,     464
21341.9  ,     495
21366.3  ,     559
21390.7  ,     632
21415.0  ,     642
21439.4  ,     678
21463.7  ,     615
21488.1  ,     530
21512.5  ,     507
21536.8  ,     473
21561.2  ,     394
21585.6  ,     304
21609.9  ,     228
21634.3  ,     187
21658.7  ,     145
21683.0  ,     150
21707.4  ,     134
21731.7  ,      92
21756.1  ,      77
21780.5  ,      87
21804.8  ,      84
21829.2  ,      94
21853.6  ,      90
21877.9  ,      98
21902.3  ,      89
21926.6  ,     103
21951.0  ,     112
21975.4  ,     105
21999.7  ,     133
22024.1  ,     126
22048.5  ,     132
22072.8  ,     174
22097.2  ,     149
22121.5  ,     186
22145.9  ,     177
22170.3  ,     155
22194.6  ,     190
22219.0  ,     179
22243.4  ,     142
22267.7  ,     154
22292.1  ,     126
22316.4  ,     110
22340.8  ,     114
22365.2  ,     102
22389.5  ,      81
22413.9  ,      93
22438.3  ,      81
22462.6  ,      69
22487.0  ,      68
22511.3  ,      75
22535.7  ,      72
22560.1  ,      65
22584.4  ,      78
22608.8  ,      67
22633.2  ,      78
22657.5  ,      62
22681.9  ,      80
22706.2  ,      58
22730.6  ,      58
22755.0  ,      66
22779.3  ,      58
22803.7  ,      86
22828.1  ,      67
22852.4  ,      61
22876.8  ,      76
22901.1  ,      54
22925.5  ,      62
22949.9  ,      71
22974.2  ,      58
22998.6  ,      67
