"Target: Waternish_raster4, Contains DAT files: APB_577021256ESC20220691768_______M1.DAT"
14047.4  ,      52
14071.8  ,      64
14096.2  ,      91
14120.6  ,      91
14145.0  ,     114
14169.4  ,     124
14193.8  ,     133
14218.2  ,     156
14242.6  ,     179
14267.0  ,     146
14291.4  ,     146
14315.8  ,     140
14340.2  ,     126
14364.6  ,      96
14389.0  ,      70
14413.4  ,      56
14437.7  ,      41
14462.1  ,      24
14486.5  ,      15
14510.9  ,      14
14535.3  ,      12
14559.7  ,       9
14584.1  ,      14
14608.5  ,       6
14632.9  ,       5
14657.3  ,      15
14681.7  ,      16
14706.1  ,       8
14730.5  ,       9
14754.9  ,       8
14779.3  ,      10
14803.7  ,       9
14828.1  ,       7
14852.4  ,      17
14876.8  ,      13
14901.2  ,      14
14925.6  ,      12
14950.0  ,       6
14974.4  ,      19
14998.8  ,       9
15023.2  ,      11
15047.6  ,      10
15072.0  ,      16
15096.4  ,      17
15120.8  ,      10
15145.2  ,      22
15169.6  ,      17
15194.0  ,      15
15218.4  ,      14
15242.8  ,      12
15267.1  ,      16
15291.5  ,      25
15315.9  ,      13
15340.3  ,      21
15364.7  ,      13
15389.1  ,      18
15413.5  ,      20
15437.9  ,      26
15462.3  ,      33
15486.7  ,      28
15511.1  ,      34
15535.5  ,      43
15559.9  ,      54
15584.3  ,      76
15608.7  ,      89
15633.1  ,     121
15657.5  ,     133
15681.8  ,     152
15706.2  ,     159
15730.6  ,     164
15755.0  ,     195
15779.4  ,     167
15803.8  ,     141
15828.2  ,     145
15852.6  ,     127
15877.0  ,      99
15901.4  ,      87
15925.8  ,      68
15950.2  ,      49
15974.6  ,      51
15999.0  ,      36
16023.4  ,      32
16047.8  ,      49
16072.2  ,      34
16096.5  ,      42
16120.9  ,      42
16145.3  ,      44
16169.7  ,      44
16194.1  ,      60
16218.5  ,      48
16242.9  ,      56
16267.3  ,      58
16291.7  ,      51
16316.1  ,      58
16340.5  ,      69
16364.9  ,      49
16389.3  ,      49
16413.7  ,      51
16438.1  ,      52
16462.5  ,      47
16486.9  ,      54
16511.2  ,      49
16535.6  ,      42
16560.0  ,      62
16584.4  ,      42
16608.8  ,      52
16633.2  ,      60
16657.6  ,      64
16682.0  ,      71
16706.4  ,      54
16730.8  ,      65
16755.2  ,      67
16779.6  ,      86
16804.0  ,      87
16828.4  ,     100
16852.8  ,      92
16877.2  ,      97
16901.6  ,     100
16925.9  ,     121
16950.3  ,     116
16974.7  ,     109
16999.1  ,     120
17023.5  ,     147
17047.9  ,     127
17072.3  ,     150
17096.7  ,     148
17121.1  ,     150
17145.5  ,     137
17169.9  ,     138
17194.3  ,     140
17218.7  ,     147
17243.1  ,     143
17267.5  ,     130
17291.9  ,     108
17316.3  ,     115
17340.6  ,      98
17365.0  ,     120
17389.4  ,      85
17413.8  ,      60
17438.2  ,      80
17462.6  ,      74
17487.0  ,      51
17511.4  ,      72
17535.8  ,      55
17560.2  ,      68
17584.6  ,      56
17609.0  ,      58
17633.4  ,      68
17657.8  ,      53
17682.2  ,      60
17706.6  ,      62
17731.0  ,      38
17755.3  ,      44
17779.7  ,      28
17804.1  ,      45
17828.5  ,      29
17852.9  ,      24
17877.3  ,      20
17901.7  ,      32
17926.1  ,      33
17950.5  ,      33
17974.9  ,      28
17999.3  ,      28
18023.7  ,      27
18048.1  ,      30
18072.5  ,      31
18096.9  ,      43
18121.3  ,      52
18145.7  ,      59
18170.0  ,      69
18194.4  ,      86
18218.8  ,     110
18243.2  ,     110
18267.6  ,     125
18292.0  ,     136
18316.4  ,     114
18340.8  ,     107
18365.2  ,      81
18389.6  ,      69
18414.0  ,      58
18438.4  ,      49
18462.8  ,      30
18487.2  ,      23
18511.6  ,      28
18536.0  ,      17
18560.4  ,      13
18584.7  ,       8
18609.1  ,       5
18633.5  ,      10
18657.9  ,      12
18682.3  ,      11
18706.7  ,      10
18731.1  ,       4
18755.5  ,      11
18779.9  ,       4
18804.3  ,      10
18828.7  ,      13
18853.1  ,       8
18877.5  ,       5
18901.9  ,      10
18926.3  ,      11
18950.7  ,       8
18975.1  ,      10
18999.4  ,       7
19023.8  ,      14
19048.2  ,       9
19072.6  ,      11
19097.0  ,      12
19121.4  ,       9
19145.8  ,      18
19170.2  ,      15
19194.6  ,       8
19219.0  ,      13
19243.4  ,      13
19267.8  ,      13
19292.2  ,      29
19316.6  ,      14
19341.0  ,      10
19365.4  ,       9
19389.8  ,      12
19414.1  ,      17
19438.5  ,      27
19462.9  ,      23
19487.3  ,      16
19511.7  ,      21
19536.1  ,      26
19560.5  ,      27
19584.9  ,      32
19609.3  ,      29
19633.7  ,      33
19658.1  ,      25
19682.5  ,      26
19706.9  ,      32
19731.3  ,      34
19755.7  ,      39
19780.1  ,      35
19804.5  ,      32
19828.8  ,      37
19853.2  ,      32
19877.6  ,      35
19902.0  ,      31
19926.4  ,      34
19950.8  ,      24
19975.2  ,      28
19999.6  ,      34
20024.0  ,      20
20048.4  ,      25
20072.8  ,      23
20097.2  ,      28
20121.6  ,      24
20146.0  ,      24
20170.4  ,      23
20194.8  ,      23
20219.2  ,      24
20243.5  ,      26
20267.9  ,      14
20292.3  ,      22
20316.7  ,      20
20341.1  ,      21
20365.5  ,      12
20389.9  ,      12
20414.3  ,      14
20438.7  ,      16
20463.1  ,      14
20487.5  ,      12
20511.9  ,      11
20536.3  ,      17
20560.7  ,      22
20585.1  ,      18
20609.5  ,       8
20633.9  ,       9
20658.2  ,      10
20682.6  ,      12
20707.0  ,      17
20731.4  ,      11
20755.8  ,       8
20780.2  ,      11
20804.6  ,       8
20829.0  ,       8
20853.4  ,      10
20877.8  ,       5
20902.2  ,      11
20926.6  ,       7
20951.0  ,       6
20975.4  ,       4
20999.8  ,       9
21024.2  ,       5
21048.6  ,       3
21072.9  ,       5
21097.3  ,       6
21121.7  ,       3
21146.1  ,       5
21170.5  ,       6
21194.9  ,       8
21219.3  ,      14
21243.7  ,      12
21268.1  ,       6
21292.5  ,      13
21316.9  ,      19
21341.3  ,      11
21365.7  ,      31
21390.1  ,      11
21414.5  ,      22
21438.9  ,      21
21463.3  ,      17
21487.6  ,      15
21512.0  ,      21
21536.4  ,      11
21560.8  ,       9
21585.2  ,       8
21609.6  ,       6
21634.0  ,       7
21658.4  ,       6
21682.8  ,      13
21707.2  ,       6
21731.6  ,       4
21756.0  ,       2
21780.4  ,       5
21804.8  ,       4
21829.2  ,       3
21853.6  ,       2
21878.0  ,       3
21902.4  ,       3
21926.7  ,       3
21951.1  ,       5
21975.5  ,      10
21999.9  ,       4
22024.3  ,       8
22048.7  ,       6
22073.1  ,       6
22097.5  ,       5
22121.9  ,      10
22146.3  ,       7
22170.7  ,      11
22195.1  ,      10
22219.5  ,       5
22243.9  ,       1
22268.3  ,      11
22292.7  ,       2
22317.1  ,       7
22341.4  ,       4
22365.8  ,       3
22390.2  ,       2
22414.6  ,       4
22439.0  ,       3
22463.4  ,       2
22487.8  ,       2
22512.2  ,       1
22536.6  ,       3
22561.0  ,       6
22585.4  ,       3
22609.8  ,       2
22634.2  ,       2
22658.6  ,       1
22683.0  ,       3
22707.4  ,       5
22731.8  ,       0
22756.1  ,       4
22780.5  ,       3
22804.9  ,       3
22829.3  ,       2
22853.7  ,       4
22878.1  ,       1
22902.5  ,       3
22926.9  ,       2
22951.3  ,       4
22975.7  ,       2
23000.1  ,       3
23024.5  ,       1
23048.9  ,       1
23073.3  ,       3
23097.7  ,       0
23122.1  ,       0
23146.5  ,       1
23170.8  ,       1
23195.2  ,       0
23219.6  ,       2
23244.0  ,       5
23268.4  ,       1
23292.8  ,       1
23317.2  ,       1
23341.6  ,       2
23366.0  ,       3
23390.4  ,       2
23414.8  ,       6
23439.2  ,       6
23463.6  ,       4
23488.0  ,       6
23512.4  ,       6
23536.8  ,       0
23561.2  ,       3
23585.5  ,       5
23609.9  ,       3
23634.3  ,       3
23658.7  ,       2
23683.1  ,       1
23707.5  ,       3
23731.9  ,       1
23756.3  ,       5
23780.7  ,       2
23805.1  ,       2
23829.5  ,       4
23853.9  ,       1
23878.3  ,       2
23902.7  ,       3
23927.1  ,       3
23951.5  ,       2
23975.9  ,       4
24000.2  ,       2
24024.6  ,       1
24049.0  ,       6
24073.4  ,       3
24097.8  ,       2
24122.2  ,       2
24146.6  ,       2
24171.0  ,       5
24195.4  ,       2
24219.8  ,       2
24244.2  ,       2
24268.6  ,       5
24293.0  ,       2
24317.4  ,       4
24341.8  ,       4
24366.2  ,       1
24390.6  ,       4
24414.9  ,       1
24439.3  ,       1
24463.7  ,       2
24488.1  ,       0
24512.5  ,       2
24536.9  ,       6
24561.3  ,       4
24585.7  ,       4
24610.1  ,       2
24634.5  ,       4
24658.9  ,       5
24683.3  ,       1
24707.7  ,       1
24732.1  ,       1
24756.5  ,       3
24780.9  ,       1
24805.3  ,       2
24829.6  ,       6
24854.0  ,       0
24878.4  ,       3
24902.8  ,       0
24927.2  ,       7
24951.6  ,       1
24976.0  ,       3
25000.4  ,       1
25024.8  ,       2
25049.2  ,       5
25073.6  ,       4
25098.0  ,       4
25122.4  ,       2
25146.8  ,       4
25171.2  ,       1
25195.6  ,       1
25220.0  ,       2
25244.3  ,       3
25268.7  ,       3
25293.1  ,       0
25317.5  ,       4
25341.9  ,       2
25366.3  ,       4
25390.7  ,       4
25415.1  ,       1
25439.5  ,    7139
