"Target: Snake_River, Contains DAT files: APA_410718885ESC01490051902_______M2.DAT"
25077.0  ,       1
25101.4  ,       6
25125.9  ,       1
25150.3  ,       3
25174.7  ,       7
25199.2  ,       3
25223.6  ,       4
25248.1  ,       7
25272.5  ,       6
25297.0  ,       9
25321.4  ,       3
25345.8  ,       4
25370.3  ,       2
25394.7  ,       8
25419.2  ,      10
25443.6  ,       4
25468.1  ,       4
25492.5  ,   12337
