"Target: Mojave2_presieve_dump, Contains DAT files: APB_476380933ESC08890450000_______M1.DAT"
22478.3  ,      69
22502.8  ,      52
22527.2  ,      62
22551.7  ,      48
22576.1  ,      51
22600.5  ,      45
22625.0  ,      49
22649.4  ,      51
22673.9  ,      55
22698.3  ,      59
22722.7  ,      43
22747.2  ,      48
22771.6  ,      50
22796.1  ,      56
22820.5  ,      45
22844.9  ,      57
22869.4  ,      43
22893.8  ,      62
22918.3  ,      57
22942.7  ,      62
22967.1  ,      53
22991.6  ,      54
23016.0  ,      64
23040.5  ,      40
23064.9  ,      42
23089.3  ,      51
23113.8  ,      57
23138.2  ,      53
23162.6  ,      44
23187.1  ,      53
23211.5  ,      48
23236.0  ,      51
23260.4  ,      58
23284.8  ,      46
23309.3  ,      47
23333.7  ,      50
23358.2  ,      42
23382.6  ,      44
23407.0  ,      60
23431.5  ,      50
23455.9  ,      50
23480.4  ,      46
23504.8  ,      47
23529.2  ,      49
23553.7  ,      43
23578.1  ,      50
23602.6  ,      59
23627.0  ,      51
23651.4  ,      43
23675.9  ,      49
23700.3  ,      42
23724.8  ,      43
23749.2  ,      39
23773.6  ,      47
23798.1  ,      43
23822.5  ,      56
23847.0  ,      44
23871.4  ,      42
23895.8  ,      45
23920.3  ,      34
23944.7  ,      52
23969.2  ,      44
23993.6  ,      49
24018.0  ,      57
24042.5  ,      49
24066.9  ,      45
24091.3  ,      53
24115.8  ,      43
24140.2  ,      56
24164.7  ,      52
24189.1  ,      53
24213.5  ,      48
24238.0  ,      56
24262.4  ,      46
24286.9  ,      48
24311.3  ,      52
24335.7  ,      46
24360.2  ,      39
24384.6  ,      49
24409.1  ,      37
24433.5  ,      47
24457.9  ,      49
24482.4  ,      58
24506.8  ,      51
24531.3  ,      43
24555.7  ,      51
24580.1  ,      41
24604.6  ,      50
24629.0  ,      63
24653.5  ,      56
24677.9  ,      43
24702.3  ,      62
24726.8  ,      41
24751.2  ,      52
24775.7  ,      40
24800.1  ,      33
24824.5  ,      38
24849.0  ,      40
24873.4  ,      45
24897.9  ,      48
24922.3  ,      53
24946.7  ,      50
24971.2  ,      66
24995.6  ,      51
25020.0  ,      54
25044.5  ,      52
25068.9  ,      60
25093.4  ,      60
25117.8  ,      63
25142.2  ,      46
25166.7  ,      60
25191.1  ,      68
25215.6  ,      59
25240.0  ,      66
25264.4  ,      72
25288.9  ,      61
25313.3  ,      56
25337.8  ,      62
25362.2  ,      62
25386.6  ,      57
25411.1  ,      70
25435.5  ,      54
25460.0  ,      57
25484.4  ,  145065
