"Target: Windjana_Raster2, Contains DAT files: APB_451822650ESC06120311330_______M1.DAT"
22546.0  ,       4
22570.4  ,       3
22594.8  ,       9
22619.2  ,       5
22643.6  ,       5
22668.0  ,       4
22692.4  ,       5
22716.8  ,       8
22741.2  ,       4
22765.6  ,       1
22790.0  ,       6
22814.4  ,       6
22838.8  ,       5
22863.2  ,       5
22887.6  ,       5
22912.0  ,       2
22936.4  ,       2
22960.8  ,       2
22985.2  ,       5
23009.6  ,       4
23034.0  ,       3
23058.4  ,       3
23082.8  ,       1
23107.2  ,       4
23131.6  ,       5
23156.1  ,       4
23180.5  ,       5
23204.9  ,       1
23229.3  ,       8
23253.7  ,       5
23278.1  ,       3
23302.5  ,       5
23326.9  ,       5
23351.3  ,       2
23375.7  ,       4
23400.1  ,       3
23424.5  ,       2
23448.9  ,       4
23473.3  ,       5
23497.7  ,       3
23522.1  ,       3
23546.5  ,       1
23570.9  ,       2
23595.3  ,       2
23619.7  ,       2
23644.1  ,       7
23668.5  ,       3
23692.9  ,       4
23717.3  ,       8
23741.7  ,       7
23766.1  ,       3
23790.5  ,       9
23815.0  ,       3
23839.4  ,       4
23863.8  ,       2
23888.2  ,       1
23912.6  ,       4
23937.0  ,       4
23961.4  ,       3
23985.8  ,       3
24010.2  ,       6
24034.6  ,       2
24059.0  ,       4
24083.4  ,       5
24107.8  ,       2
24132.2  ,       4
24156.6  ,       5
24181.0  ,       5
24205.4  ,       5
24229.8  ,       3
24254.2  ,       6
24278.6  ,       3
24303.0  ,       3
24327.4  ,       6
24351.8  ,       0
24376.2  ,       2
24400.6  ,       6
24425.0  ,       4
24449.4  ,       2
24473.9  ,       5
24498.3  ,       2
24522.7  ,       1
24547.1  ,       5
24571.5  ,       3
24595.9  ,       4
24620.3  ,       8
24644.7  ,       2
24669.1  ,       2
24693.5  ,       5
24717.9  ,       1
24742.3  ,       4
24766.7  ,       2
24791.1  ,       5
24815.5  ,       2
24839.9  ,       3
24864.3  ,       3
24888.7  ,       4
24913.1  ,       3
24937.5  ,       1
24961.9  ,       4
24986.3  ,       1
25010.7  ,       3
25035.1  ,       5
25059.5  ,       2
25083.9  ,       6
25108.3  ,       8
25132.8  ,       2
25157.2  ,       3
25181.6  ,       0
25206.0  ,       9
25230.4  ,       8
25254.8  ,       3
25279.2  ,       7
25303.6  ,       4
25328.0  ,       2
25352.4  ,       9
25376.8  ,       3
25401.2  ,       1
25425.6  ,       4
25450.0  ,    9723
