"Target: Windjana_center_preDRT, Contains DAT files: APB_451820687ESC06120311330_______M1.DAT"
24521.0  ,       2
24545.4  ,       6
24569.9  ,       4
24594.3  ,       3
24618.7  ,       6
24643.2  ,       1
24667.6  ,       1
24692.0  ,       1
24716.4  ,       5
24740.9  ,       7
24765.3  ,       2
24789.7  ,       6
24814.2  ,       2
24838.6  ,       5
24863.0  ,       3
24887.4  ,       2
24911.9  ,       7
24936.3  ,       2
24960.7  ,       0
24985.1  ,       4
25009.6  ,       4
25034.0  ,       4
25058.4  ,       1
25082.9  ,       4
25107.3  ,       5
25131.7  ,       4
25156.1  ,       2
25180.6  ,       5
25205.0  ,       3
25229.4  ,       6
25253.8  ,       3
25278.3  ,       5
25302.7  ,       2
25327.1  ,       5
25351.6  ,       5
25376.0  ,       5
25400.4  ,       5
25424.8  ,       3
25449.3  ,       6
25473.7  ,    9709
