"Target: Drill_RP, Contains DAT files: APA_412405219ESC01680060000_______M2.DAT"
17398.9  ,     126
17423.3  ,     133
17447.8  ,     119
17472.2  ,     103
17496.6  ,      83
17521.1  ,      86
17545.5  ,     100
17569.9  ,      81
17594.4  ,      72
17618.8  ,      82
17643.2  ,      73
17667.7  ,      53
17692.1  ,      62
17716.5  ,      78
17741.0  ,      60
17765.4  ,      60
17789.8  ,      51
17814.3  ,      59
17838.7  ,      61
17863.2  ,      39
17887.6  ,      32
17912.0  ,      35
17936.5  ,      43
17960.9  ,      33
17985.3  ,      34
18009.8  ,      41
18034.2  ,      39
18058.6  ,      53
18083.1  ,      41
18107.5  ,      60
18131.9  ,      89
18156.4  ,     103
18180.8  ,     109
18205.2  ,     126
18229.7  ,     121
18254.1  ,     165
18278.5  ,     178
18303.0  ,     169
18327.4  ,     155
18351.9  ,     151
18376.3  ,     156
18400.7  ,     140
18425.2  ,      94
18449.6  ,      72
18474.0  ,      50
18498.5  ,      43
18522.9  ,      36
18547.3  ,      37
18571.8  ,      20
18596.2  ,      15
18620.6  ,      21
18645.1  ,      14
18669.5  ,      13
18693.9  ,      12
18718.4  ,       5
18742.8  ,      17
18767.2  ,       9
18791.7  ,       8
18816.1  ,       9
18840.6  ,       9
18865.0  ,      14
18889.4  ,      13
18913.9  ,      13
18938.3  ,      11
18962.7  ,       8
18987.2  ,       6
19011.6  ,      14
19036.0  ,      13
19060.5  ,      18
19084.9  ,      16
19109.3  ,      17
19133.8  ,      18
19158.2  ,      16
19182.6  ,      11
19207.1  ,      11
19231.5  ,      13
19256.0  ,      15
19280.4  ,      16
19304.8  ,      17
19329.3  ,      23
19353.7  ,      22
19378.1  ,      14
19402.6  ,      24
19427.0  ,      19
19451.4  ,      16
19475.9  ,      25
19500.3  ,      17
19524.7  ,      29
19549.2  ,      35
19573.6  ,      29
19598.0  ,      33
19622.5  ,      37
19646.9  ,      32
19671.3  ,      35
19695.8  ,      36
19720.2  ,      53
19744.7  ,      47
19769.1  ,      41
19793.5  ,      42
19818.0  ,      40
19842.4  ,      51
19866.8  ,      42
19891.3  ,      45
19915.7  ,      45
19940.1  ,      48
19964.6  ,      40
19989.0  ,      30
20013.4  ,      44
20037.9  ,      42
20062.3  ,      36
20086.7  ,      36
20111.2  ,      33
20135.6  ,      33
20160.0  ,      32
20184.5  ,      38
20208.9  ,      41
20233.4  ,      27
20257.8  ,      42
20282.2  ,      31
20306.7  ,      29
20331.1  ,      20
20355.5  ,      28
20380.0  ,      30
20404.4  ,      21
20428.8  ,      22
20453.3  ,      21
20477.7  ,      21
20502.1  ,      20
20526.6  ,      23
20551.0  ,      19
20575.4  ,      23
20599.9  ,      19
20624.3  ,      15
20648.8  ,      19
20673.2  ,      11
20697.6  ,      18
20722.1  ,      11
20746.5  ,      18
20770.9  ,      15
20795.4  ,      12
20819.8  ,       9
20844.2  ,       8
20868.7  ,      10
20893.1  ,      13
20917.5  ,       9
20942.0  ,      10
20966.4  ,      13
20990.8  ,       7
21015.3  ,      12
21039.7  ,      17
21064.1  ,       6
21088.6  ,      10
21113.0  ,      10
21137.5  ,      11
21161.9  ,      12
21186.3  ,      10
21210.8  ,      14
21235.2  ,      11
21259.6  ,      21
21284.1  ,      24
21308.5  ,      21
21332.9  ,      30
21357.4  ,      27
21381.8  ,      37
21406.2  ,      30
21430.7  ,      33
21455.1  ,      38
21479.5  ,      35
21504.0  ,      34
21528.4  ,      31
21552.9  ,      24
21577.3  ,      19
21601.7  ,      21
21626.2  ,       8
21650.6  ,      14
21675.0  ,      12
21699.5  ,      11
21723.9  ,       4
21748.3  ,       6
21772.8  ,       2
21797.2  ,       5
21821.6  ,       6
21846.1  ,       3
21870.5  ,       6
21894.9  ,       2
21919.4  ,       5
21943.8  ,       6
21968.2  ,       4
21992.7  ,       5
22017.1  ,       9
22041.6  ,      14
22066.0  ,       9
22090.4  ,       8
22114.9  ,       5
22139.3  ,       9
22163.7  ,       9
22188.2  ,       4
22212.6  ,       9
22237.0  ,       7
22261.5  ,      12
22285.9  ,      16
22310.3  ,       3
22334.8  ,       3
22359.2  ,       9
22383.6  ,       6
22408.1  ,       7
22432.5  ,       2
22456.9  ,       4
22481.4  ,       6
22505.8  ,       3
22530.3  ,       6
22554.7  ,       6
22579.1  ,       2
22603.6  ,       7
22628.0  ,       4
22652.4  ,       3
22676.9  ,       2
22701.3  ,       8
22725.7  ,       4
22750.2  ,       4
22774.6  ,       2
22799.0  ,       3
22823.5  ,       4
22847.9  ,       4
22872.3  ,       3
22896.8  ,       3
22921.2  ,       3
22945.7  ,       5
22970.1  ,       3
22994.5  ,       3
23019.0  ,       4
23043.4  ,       2
23067.8  ,       6
23092.3  ,       0
23116.7  ,       1
23141.1  ,       3
23165.6  ,       4
23190.0  ,       4
23214.4  ,       3
23238.9  ,       6
23263.3  ,       3
23287.7  ,       8
23312.2  ,       4
23336.6  ,       1
23361.0  ,       3
23385.5  ,       4
23409.9  ,       4
23434.4  ,       2
23458.8  ,       3
23483.2  ,       4
23507.7  ,       3
23532.1  ,       3
23556.5  ,       1
23581.0  ,       7
23605.4  ,       3
23629.8  ,       4
23654.3  ,       1
23678.7  ,       4
23703.1  ,       3
23727.6  ,       3
23752.0  ,      10
23776.4  ,       4
23800.9  ,       4
23825.3  ,       0
23849.7  ,       2
23874.2  ,       4
23898.6  ,       3
23923.1  ,       4
23947.5  ,       4
23971.9  ,       0
23996.4  ,       0
24020.8  ,       5
24045.2  ,       3
24069.7  ,       2
24094.1  ,       3
24118.5  ,       3
24143.0  ,       2
24167.4  ,       4
24191.8  ,       2
24216.3  ,       3
24240.7  ,       3
24265.1  ,       2
24289.6  ,       3
24314.0  ,       4
24338.5  ,       3
24362.9  ,       0
24387.3  ,       3
24411.8  ,       4
24436.2  ,       5
24460.6  ,       3
24485.1  ,       2
24509.5  ,       2
24533.9  ,       3
24558.4  ,       2
24582.8  ,       3
24607.2  ,       3
24631.7  ,       7
24656.1  ,       2
24680.5  ,       4
24705.0  ,       3
24729.4  ,       3
24753.8  ,       6
24778.3  ,       4
24802.7  ,       6
24827.2  ,       3
24851.6  ,       3
24876.0  ,       2
24900.5  ,       3
24924.9  ,       4
24949.3  ,       4
24973.8  ,       4
24998.2  ,       2
25022.6  ,       2
25047.1  ,      11
25071.5  ,       4
25095.9  ,       5
25120.4  ,       9
25144.8  ,       4
25169.2  ,       2
25193.7  ,       4
25218.1  ,       2
25242.5  ,       6
25267.0  ,       1
25291.4  ,       4
25315.9  ,       7
25340.3  ,       4
25364.7  ,       7
25389.2  ,       3
25413.6  ,       2
25438.0  ,       5
25462.5  ,       3
25486.9  ,    9554
