"Target: Maya, Contains DAT files: APB_430653584ESC03740140000_______M4.DAT"
22036.6  ,      30
22060.9  ,      40
22085.3  ,      49
22109.6  ,      34
22134.0  ,      42
22158.3  ,      60
22182.7  ,      44
22207.0  ,      33
22231.4  ,      42
22255.7  ,      42
22280.1  ,      32
22304.4  ,      27
22328.8  ,      28
22353.2  ,      19
22377.5  ,      22
22401.9  ,      25
22426.2  ,      25
22450.6  ,      20
22474.9  ,      18
22499.3  ,      31
22523.6  ,      21
22548.0  ,      16
22572.3  ,      18
22596.7  ,      13
22621.0  ,      15
22645.4  ,      31
22669.7  ,      25
22694.1  ,      19
22718.4  ,      19
22742.8  ,      12
22767.2  ,      29
22791.5  ,      22
22815.9  ,      20
22840.2  ,      27
22864.6  ,      20
22888.9  ,      17
22913.3  ,      15
22937.6  ,      20
22962.0  ,      21
22986.3  ,      20
23010.7  ,      22
23035.0  ,      22
23059.4  ,      21
23083.7  ,      15
23108.1  ,      15
23132.5  ,      20
23156.8  ,      29
23181.2  ,      22
23205.5  ,      27
23229.9  ,      22
23254.2  ,      18
23278.6  ,      15
23302.9  ,      21
23327.3  ,      12
23351.6  ,      14
23376.0  ,      28
23400.3  ,      22
23424.7  ,      19
23449.0  ,      23
23473.4  ,      22
23497.8  ,      18
23522.1  ,      23
23546.5  ,      20
23570.8  ,      21
23595.2  ,      25
23619.5  ,      15
23643.9  ,      20
23668.2  ,      19
23692.6  ,      26
23716.9  ,      21
23741.3  ,      22
23765.6  ,      20
23790.0  ,      19
23814.3  ,      17
23838.7  ,      20
23863.0  ,      18
23887.4  ,      31
23911.8  ,      21
23936.1  ,      28
23960.5  ,      18
23984.8  ,      14
24009.2  ,      24
24033.5  ,      20
24057.9  ,      17
24082.2  ,      20
24106.6  ,      21
24130.9  ,      21
24155.3  ,      12
24179.6  ,      18
24204.0  ,      18
24228.3  ,      29
24252.7  ,      17
24277.1  ,      19
24301.4  ,      22
24325.8  ,      20
24350.1  ,      14
24374.5  ,      16
24398.8  ,      20
24423.2  ,      17
24447.5  ,      16
24471.9  ,      26
24496.2  ,      24
24520.6  ,      24
24544.9  ,      19
24569.3  ,      30
24593.6  ,      20
24618.0  ,      22
24642.4  ,      22
24666.7  ,      22
24691.1  ,      23
24715.4  ,      20
24739.8  ,      18
24764.1  ,      28
24788.5  ,      27
24812.8  ,      19
24837.2  ,      21
24861.5  ,      15
24885.9  ,      22
24910.2  ,      20
24934.6  ,      31
24958.9  ,      20
24983.3  ,      28
25007.6  ,      26
25032.0  ,      30
25056.4  ,      35
