"Target: Stephen_Raster4, Contains DAT files: APB_453334302ESC06290311330_______M1.DAT"
23858.4  ,       7
23882.8  ,       6
23907.2  ,       2
23931.6  ,       4
23956.0  ,       9
23980.4  ,       2
24004.7  ,       5
24029.1  ,       4
24053.5  ,       8
24077.9  ,       4
24102.3  ,       5
24126.7  ,       3
24151.1  ,       3
24175.5  ,       5
24199.9  ,       1
24224.3  ,       7
24248.7  ,       4
24273.1  ,       4
24297.5  ,       4
24321.9  ,       3
24346.3  ,       6
24370.7  ,       6
24395.1  ,       3
24419.4  ,       4
24443.8  ,       2
24468.2  ,       4
24492.6  ,       3
24517.0  ,       5
24541.4  ,       6
24565.8  ,       7
24590.2  ,       1
24614.6  ,       4
24639.0  ,       1
24663.4  ,       6
24687.8  ,       5
24712.2  ,       6
24736.6  ,       6
24761.0  ,      10
24785.4  ,       6
24809.8  ,      12
24834.1  ,       4
24858.5  ,       5
24882.9  ,       2
24907.3  ,       6
24931.7  ,       4
24956.1  ,       7
24980.5  ,       3
25004.9  ,       6
25029.3  ,       5
25053.7  ,       7
25078.1  ,       2
25102.5  ,       5
25126.9  ,       8
25151.3  ,       3
25175.7  ,       3
25200.1  ,       6
25224.5  ,       5
25248.8  ,       7
25273.2  ,       7
25297.6  ,       5
25322.0  ,       6
25346.4  ,       6
25370.8  ,       3
25395.2  ,       6
25419.6  ,       5
25444.0  ,   13835
