"Target: Morehouse_RP, Contains DAT files: APB_442195119ESC05040250000_______M2.DAT"
22075.1  ,     201
22099.5  ,     209
22123.8  ,     221
22148.2  ,     195
22172.6  ,     225
22197.0  ,     203
22221.4  ,     180
22245.8  ,     199
22270.2  ,     146
22294.6  ,     145
22319.0  ,     109
22343.4  ,     111
22367.8  ,      98
22392.2  ,      79
22416.6  ,      88
22440.9  ,      84
22465.3  ,      80
22489.7  ,      79
22514.1  ,      68
22538.5  ,      77
22562.9  ,      59
22587.3  ,      64
22611.7  ,      73
22636.1  ,      63
22660.5  ,      78
22684.9  ,      80
22709.3  ,      63
22733.7  ,      76
22758.0  ,      58
22782.4  ,      92
22806.8  ,      76
22831.2  ,      68
22855.6  ,      69
22880.0  ,      85
22904.4  ,      57
22928.8  ,      67
22953.2  ,      74
22977.6  ,      72
23002.0  ,      71
23026.4  ,      66
23050.8  ,      62
23075.1  ,      70
23099.5  ,      77
23123.9  ,      80
23148.3  ,      77
23172.7  ,      72
23197.1  ,      74
23221.5  ,      70
23245.9  ,      73
23270.3  ,      71
23294.7  ,      71
23319.1  ,      87
23343.5  ,      54
23367.9  ,      78
23392.2  ,      63
23416.6  ,      63
23441.0  ,      53
23465.4  ,      87
23489.8  ,      80
23514.2  ,      74
23538.6  ,      61
23563.0  ,      67
23587.4  ,      77
23611.8  ,      78
23636.2  ,      60
23660.6  ,      72
23685.0  ,      55
23709.3  ,      72
23733.7  ,      68
23758.1  ,      68
23782.5  ,      74
23806.9  ,      69
23831.3  ,      65
23855.7  ,      74
23880.1  ,      66
23904.5  ,      74
23928.9  ,      56
23953.3  ,      64
23977.7  ,      54
24002.1  ,      81
24026.4  ,      69
24050.8  ,      66
24075.2  ,      58
24099.6  ,      63
24124.0  ,      82
24148.4  ,      67
24172.8  ,      73
24197.2  ,      70
24221.6  ,      69
24246.0  ,      68
24270.4  ,      84
24294.8  ,      64
24319.2  ,      68
24343.5  ,      59
24367.9  ,      78
24392.3  ,      68
24416.7  ,      60
24441.1  ,      64
24465.5  ,      72
24489.9  ,      59
24514.3  ,      61
24538.7  ,      59
24563.1  ,      59
24587.5  ,      61
24611.9  ,      74
24636.3  ,      60
24660.6  ,      67
24685.0  ,      70
24709.4  ,      67
24733.8  ,      53
24758.2  ,      75
24782.6  ,      72
24807.0  ,      80
24831.4  ,      64
24855.8  ,      66
24880.2  ,      61
24904.6  ,      65
24929.0  ,      71
24953.4  ,      61
24977.7  ,      65
25002.1  ,      81
25026.5  ,      91
25050.9  ,      68
25075.3  ,     100
25099.7  ,      73
25124.1  ,      79
25148.5  ,      84
25172.9  ,      93
25197.3  ,      77
25221.7  ,      81
25246.1  ,      96
25270.5  ,     100
25294.8  ,      93
25319.2  ,      97
25343.6  ,      99
25368.0  ,      86
25392.4  ,     109
25416.8  ,      86
25441.2  ,  197916
