"Target: Aillik_RP_Spot2, Contains DAT files: APB_426102426ESC03220060804_______M2.DAT"
18672.7  ,      27
18697.1  ,      23
18721.5  ,      12
18745.9  ,      21
18770.3  ,      23
18794.8  ,      16
18819.2  ,      14
18843.6  ,      19
18868.0  ,      11
18892.4  ,      24
18916.8  ,      18
18941.2  ,      16
18965.6  ,      15
18990.1  ,      27
19014.5  ,      19
19038.9  ,      17
19063.3  ,      17
19087.7  ,      18
19112.1  ,      26
19136.5  ,      33
19160.9  ,      25
19185.4  ,      25
19209.8  ,      27
19234.2  ,      27
19258.6  ,      30
19283.0  ,      33
19307.4  ,      27
19331.8  ,      38
19356.2  ,      27
19380.7  ,      41
19405.1  ,      31
19429.5  ,      53
19453.9  ,      36
19478.3  ,      42
19502.7  ,      59
19527.1  ,      55
19551.5  ,      49
19576.0  ,      60
19600.4  ,      48
19624.8  ,      45
19649.2  ,      55
19673.6  ,      71
19698.0  ,      72
19722.4  ,      90
19746.8  ,      70
19771.3  ,      79
19795.7  ,      87
19820.1  ,      79
19844.5  ,      69
19868.9  ,      76
19893.3  ,      84
19917.7  ,      71
19942.1  ,      82
19966.6  ,      81
19991.0  ,      83
20015.4  ,      69
20039.8  ,      66
20064.2  ,      73
20088.6  ,      60
20113.0  ,      61
20137.5  ,      57
20161.9  ,      57
20186.3  ,      50
20210.7  ,      43
20235.1  ,      52
20259.5  ,      52
20283.9  ,      45
20308.3  ,      47
20332.8  ,      31
20357.2  ,      50
20381.6  ,      46
20406.0  ,      43
20430.4  ,      41
20454.8  ,      55
20479.2  ,      37
20503.6  ,      39
20528.1  ,      29
20552.5  ,      29
20576.9  ,      32
20601.3  ,      35
20625.7  ,      39
20650.1  ,      32
20674.5  ,      36
20698.9  ,      26
20723.4  ,      23
20747.8  ,      28
20772.2  ,      29
20796.6  ,      27
20821.0  ,      18
20845.4  ,      23
20869.8  ,      26
20894.2  ,      19
20918.7  ,      16
20943.1  ,      18
20967.5  ,      17
20991.9  ,      27
21016.3  ,      19
21040.7  ,      17
21065.1  ,      15
21089.5  ,      16
21114.0  ,      16
21138.4  ,      15
21162.8  ,      18
21187.2  ,      22
21211.6  ,      16
21236.0  ,      37
21260.4  ,      31
21284.8  ,      33
21309.3  ,      39
21333.7  ,      45
21358.1  ,      46
21382.5  ,      57
21406.9  ,      63
21431.3  ,      70
21455.7  ,      56
21480.1  ,      59
21504.6  ,      70
21529.0  ,      40
21553.4  ,      45
21577.8  ,      47
21602.2  ,      27
21626.6  ,      21
21651.0  ,      19
21675.4  ,      18
