"Target: Hay_Creek_marsviewer_tweaked, Contains DAT files: APA_411871303ESC01620051986_______M2.DAT"
15940.6  ,      62
15965.1  ,      57
15989.5  ,      59
16014.0  ,      56
16038.4  ,      43
16062.9  ,      50
16087.3  ,      54
16111.8  ,      46
16136.2  ,      48
16160.7  ,      62
16185.2  ,      58
16209.6  ,      54
16234.1  ,      68
16258.5  ,      73
16283.0  ,      55
16307.4  ,      69
16331.9  ,      64
16356.3  ,      57
16380.8  ,      70
16405.2  ,      68
16429.7  ,      68
16454.2  ,      68
16478.6  ,      59
16503.1  ,      53
16527.5  ,      57
16552.0  ,      55
16576.4  ,      58
16600.9  ,      52
16625.3  ,      48
16649.8  ,      63
16674.2  ,      79
16698.7  ,      58
16723.2  ,      74
16747.6  ,      81
16772.1  ,      83
16796.5  ,     111
16821.0  ,      81
16845.4  ,     104
16869.9  ,     100
16894.3  ,     103
16918.8  ,     115
16943.2  ,     136
16967.7  ,     134
16992.2  ,     133
17016.6  ,     173
17041.1  ,     156
17065.5  ,     180
17090.0  ,     159
17114.4  ,     179
17138.9  ,     168
17163.3  ,     187
17187.8  ,     177
17212.2  ,     161
17236.7  ,     185
17261.2  ,     169
17285.6  ,     145
17310.1  ,     186
17334.5  ,     156
17359.0  ,     139
17383.4  ,     119
17407.9  ,     122
17432.3  ,     108
17456.8  ,     100
17481.2  ,      90
17505.7  ,      84
17530.1  ,      75
17554.6  ,      85
17579.1  ,      82
17603.5  ,      79
17628.0  ,      72
17652.4  ,      79
17676.9  ,      75
17701.3  ,      78
17725.8  ,      67
17750.2  ,      54
17774.7  ,      41
17799.1  ,      46
17823.6  ,      48
17848.1  ,      34
17872.5  ,      44
17897.0  ,      33
17921.4  ,      34
17945.9  ,      26
17970.3  ,      32
17994.8  ,      38
18019.2  ,      42
18043.7  ,      25
18068.1  ,      34
18092.6  ,      50
18117.1  ,      29
18141.5  ,      64
18166.0  ,      84
18190.4  ,     104
18214.9  ,     128
18239.3  ,     135
18263.8  ,     133
18288.2  ,     141
18312.7  ,     164
18337.1  ,     176
18361.6  ,     153
18386.1  ,     136
18410.5  ,     109
18435.0  ,      72
18459.4  ,      58
18483.9  ,      34
18508.3  ,      33
18532.8  ,      21
18557.2  ,      18
18581.7  ,      14
18606.1  ,       7
18630.6  ,      10
18655.1  ,       8
18679.5  ,      10
18704.0  ,      13
18728.4  ,      12
18752.9  ,       7
18777.3  ,      11
18801.8  ,      10
18826.2  ,       8
18850.7  ,       8
18875.1  ,       7
18899.6  ,       8
18924.1  ,      10
18948.5  ,       9
18973.0  ,      16
18997.4  ,       8
19021.9  ,      13
19046.3  ,      14
19070.8  ,       9
19095.2  ,      17
19119.7  ,       8
19144.1  ,       8
19168.6  ,      11
19193.1  ,      13
19217.5  ,      10
19242.0  ,      18
19266.4  ,      22
