"Target: Square_Top_3_overnight, Contains DAT files: APB_449295235ESC05840300786_______M1.DAT"
14550.9  ,     222
14575.3  ,     201
14599.6  ,     202
14624.0  ,     188
14648.4  ,     193
14672.8  ,     194
14697.1  ,     257
14721.5  ,     220
14745.9  ,     210
14770.2  ,     244
14794.6  ,     244
14819.0  ,     235
14843.4  ,     294
14867.7  ,     282
14892.1  ,     304
14916.5  ,     300
14940.9  ,     348
14965.2  ,     326
14989.6  ,     331
15014.0  ,     320
15038.3  ,     314
15062.7  ,     302
15087.1  ,     292
15111.5  ,     332
15135.8  ,     274
15160.2  ,     316
15184.6  ,     335
15209.0  ,     343
15233.3  ,     330
15257.7  ,     357
15282.1  ,     358
15306.4  ,     389
15330.8  ,     362
15355.2  ,     436
15379.6  ,     441
15403.9  ,     443
15428.3  ,     534
15452.7  ,     595
15477.0  ,     710
15501.4  ,     796
15525.8  ,     968
15550.2  ,    1208
15574.5  ,    1492
15598.9  ,    1911
15623.3  ,    2347
15647.7  ,    2936
15672.0  ,    3391
15696.4  ,    3685
15720.8  ,    4012
15745.1  ,    4137
15769.5  ,    3960
15793.9  ,    3847
15818.3  ,    3307
15842.6  ,    2850
15867.0  ,    2299
15891.4  ,    1862
15915.8  ,    1473
15940.1  ,    1232
15964.5  ,    1016
15988.9  ,     948
16013.2  ,     892
16037.6  ,     843
16062.0  ,     889
16086.4  ,     850
16110.7  ,     918
16135.1  ,    1000
16159.5  ,    1001
16183.8  ,    1015
16208.2  ,    1065
16232.6  ,    1115
16257.0  ,    1103
16281.3  ,    1109
16305.7  ,    1097
16330.1  ,    1116
16354.5  ,    1139
16378.8  ,    1076
16403.2  ,    1118
16427.6  ,    1097
16451.9  ,    1136
16476.3  ,    1115
16500.7  ,    1022
16525.1  ,    1011
16549.4  ,    1089
16573.8  ,    1127
16598.2  ,    1089
16622.6  ,    1121
16646.9  ,    1134
16671.3  ,    1205
16695.7  ,    1346
16720.0  ,    1394
16744.4  ,    1386
16768.8  ,    1558
16793.2  ,    1677
16817.5  ,    1783
16841.9  ,    1866
16866.3  ,    2000
16890.6  ,    2109
16915.0  ,    2202
16939.4  ,    2261
16963.8  ,    2374
16988.1  ,    2562
17012.5  ,    2565
17036.9  ,    2649
17061.3  ,    2867
17085.6  ,    2830
17110.0  ,    2998
17134.4  ,    3102
17158.7  ,    3148
17183.1  ,    3143
17207.5  ,    3116
17231.9  ,    3202
17256.2  ,    2948
17280.6  ,    2904
17305.0  ,    2757
17329.4  ,    2511
17353.7  ,    2269
17378.1  ,    1994
17402.5  ,    1872
17426.8  ,    1686
17451.2  ,    1525
17475.6  ,    1431
17500.0  ,    1353
17524.3  ,    1291
17548.7  ,    1324
17573.1  ,    1373
17597.4  ,    1342
17621.8  ,    1389
17646.2  ,    1352
17670.6  ,    1332
17694.9  ,    1290
17719.3  ,    1143
17743.7  ,    1074
17768.1  ,     890
17792.4  ,     784
17816.8  ,     733
17841.2  ,     685
17865.5  ,     629
17889.9  ,     597
17914.3  ,     641
17938.7  ,     623
17963.0  ,     705
17987.4  ,     661
18011.8  ,     671
18036.2  ,     701
18060.5  ,     744
18084.9  ,     883
18109.3  ,     986
18133.6  ,    1236
18158.0  ,    1494
18182.4  ,    2039
18206.8  ,    2320
18231.1  ,    2663
18255.5  ,    3111
18279.9  ,    3155
18304.2  ,    3229
18328.6  ,    3003
18353.0  ,    2710
18377.4  ,    2272
18401.7  ,    1760
18426.1  ,    1396
18450.5  ,    1044
18474.9  ,     749
18499.2  ,     534
18523.6  ,     419
18548.0  ,     284
18572.3  ,     257
18596.7  ,     219
18621.1  ,     217
18645.5  ,     184
18669.8  ,     185
18694.2  ,     164
18718.6  ,     194
18743.0  ,     180
18767.3  ,     168
18791.7  ,     184
18816.1  ,     173
18840.4  ,     194
18864.8  ,     199
18889.2  ,     200
18913.6  ,     214
18937.9  ,     193
18962.3  ,     235
18986.7  ,     220
19011.1  ,     224
19035.4  ,     221
19059.8  ,     214
19084.2  ,     220
19108.5  ,     233
19132.9  ,     259
19157.3  ,     261
19181.7  ,     279
19206.0  ,     275
19230.4  ,     299
19254.8  ,     287
19279.1  ,     287
19303.5  ,     305
19327.9  ,     309
19352.3  ,     318
19376.6  ,     397
19401.0  ,     368
19425.4  ,     413
19449.8  ,     431
19474.1  ,     407
19498.5  ,     511
19522.9  ,     498
19547.2  ,     481
19571.6  ,     563
19596.0  ,     575
19620.4  ,     569
19644.7  ,     612
19669.1  ,     638
19693.5  ,     650
19717.9  ,     658
19742.2  ,     729
19766.6  ,     678
19791.0  ,     737
19815.3  ,     717
19839.7  ,     721
19864.1  ,     679
19888.5  ,     705
19912.8  ,     774
19937.2  ,     635
19961.6  ,     669
19985.9  ,     632
20010.3  ,     623
20034.7  ,     607
20059.1  ,     550
20083.4  ,     546
20107.8  ,     552
20132.2  ,     496
20156.6  ,     485
20180.9  ,     511
20205.3  ,     475
20229.7  ,     454
20254.0  ,     434
20278.4  ,     466
20302.8  ,     431
20327.2  ,     380
20351.5  ,     385
20375.9  ,     388
20400.3  ,     406
20424.7  ,     366
20449.0  ,     368
20473.4  ,     330
20497.8  ,     307
20522.1  ,     314
20546.5  ,     302
20570.9  ,     307
20595.3  ,     327
20619.6  ,     309
20644.0  ,     272
20668.4  ,     290
20692.7  ,     261
20717.1  ,     273
20741.5  ,     228
20765.9  ,     231
20790.2  ,     223
20814.6  ,     219
20839.0  ,     226
20863.4  ,     186
20887.7  ,     180
20912.1  ,     180
20936.5  ,     162
20960.8  ,     163
20985.2  ,     164
21009.6  ,     172
21034.0  ,     156
21058.3  ,     167
21082.7  ,     152
21107.1  ,     179
21131.5  ,     184
21155.8  ,     150
21180.2  ,     199
21204.6  ,     215
21228.9  ,     235
21253.3  ,     282
21277.7  ,     314
21302.1  ,     385
21326.4  ,     497
21350.8  ,     506
21375.2  ,     614
21399.5  ,     603
21423.9  ,     648
21448.3  ,     657
21472.7  ,     586
21497.0  ,     492
21521.4  ,     421
21545.8  ,     390
21570.2  ,     311
21594.5  ,     230
21618.9  ,     171
21643.3  ,     159
21667.6  ,     137
21692.0  ,     119
21716.4  ,     110
21740.8  ,     103
21765.1  ,      76
21789.5  ,     100
21813.9  ,      91
21838.3  ,     100
21862.6  ,     100
21887.0  ,      86
21911.4  ,      90
21935.7  ,     108
21960.1  ,      98
21984.5  ,     104
22008.9  ,     118
22033.2  ,     142
22057.6  ,     158
22082.0  ,     147
22106.3  ,     184
22130.7  ,     187
22155.1  ,     176
22179.5  ,     171
22203.8  ,     143
22228.2  ,     172
22252.6  ,     154
22277.0  ,     125
22301.3  ,     124
22325.7  ,      89
22350.1  ,     103
22374.4  ,      71
22398.8  ,      87
22423.2  ,      71
22447.6  ,      85
22471.9  ,      76
22496.3  ,      60
22520.7  ,      70
22545.1  ,      59
22569.4  ,      71
22593.8  ,      67
22618.2  ,      88
22642.5  ,      61
22666.9  ,      65
22691.3  ,      71
22715.7  ,      53
22740.0  ,      59
22764.4  ,      66
22788.8  ,      72
