"  JakeMatijevic1 , contact"
20634.9  ,      61
20659.3  ,      55
20683.8  ,      53
20708.2  ,      51
20732.7  ,      52
20757.1  ,      53
20781.6  ,      44
20806.0  ,      46
20830.5  ,      41
20854.9  ,      35
20879.4  ,      27
20903.8  ,      35
20928.3  ,      34
20952.7  ,      32
20977.2  ,      33
21001.6  ,      31
21026.1  ,      31
21050.5  ,      32
21075.0  ,      24
21099.4  ,      17
21123.9  ,      28
21148.3  ,      24
21172.8  ,      40
21197.2  ,      37
21221.6  ,      40
21246.1  ,      45
21270.5  ,      52
21295.0  ,      65
21319.4  ,      83
21343.9  ,      67
21368.3  ,      86
21392.8  ,      97
21417.2  ,      79
21441.7  ,      95
21466.1  ,      97
21490.6  ,      85
21515.0  ,      82
21539.5  ,      90
21563.9  ,      60
21588.4  ,      39
21612.8  ,      41
21637.3  ,      31
21661.7  ,      23
21686.2  ,      21
21710.6  ,      24
21735.1  ,       9
21759.5  ,      12
21783.9  ,      16
21808.4  ,      10
21832.8  ,      20
21857.3  ,      10
21881.7  ,      19
21906.2  ,      23
21930.6  ,      12
21955.1  ,      14
21979.5  ,      18
22004.0  ,      12
22028.4  ,      34
22052.9  ,      23
22077.3  ,      20
22101.8  ,      37
22126.2  ,      20
22150.7  ,      19
22175.1  ,      25
22199.6  ,      30
22224.0  ,      26
22248.5  ,      25
22272.9  ,      26
22297.4  ,      10
22321.8  ,      26
22346.2  ,      16
22370.7  ,      11
22395.1  ,      14
22419.6  ,       8
22444.0  ,      11
22468.5  ,       8
22492.9  ,       7
22517.4  ,      13
22541.8  ,      15
22566.3  ,       8
22590.7  ,      10
22615.2  ,      10
22639.6  ,       8
22664.1  ,       7
22688.5  ,       4
22713.0  ,       4
22737.4  ,      13
22761.9  ,      15
22786.3  ,      11
22810.8  ,       9
22835.2  ,       8
22859.6  ,      16
22884.1  ,       4
22908.5  ,       8
22933.0  ,      16
22957.4  ,       6
22981.9  ,       6
23006.3  ,       5
23030.8  ,       8
23055.2  ,       9
23079.7  ,       9
23104.1  ,      10
23128.6  ,       6
23153.0  ,       9
23177.5  ,      10
23201.9  ,       8
23226.4  ,       8
23250.8  ,      10
23275.3  ,       8
23299.7  ,      11
23324.2  ,      13
23348.6  ,       8
23373.1  ,      11
23397.5  ,       7
23421.9  ,      10
23446.4  ,       8
23470.8  ,       5
23495.3  ,      10
23519.7  ,      11
23544.2  ,      13
23568.6  ,       7
23593.1  ,       7
23617.5  ,       9
23642.0  ,       9
23666.4  ,       6
23690.9  ,       6
23715.3  ,      10
23739.8  ,       9
23764.2  ,       6
23788.7  ,       4
23813.1  ,      13
23837.6  ,       9
23862.0  ,       8
23886.5  ,       6
23910.9  ,      14
23935.4  ,       5
23959.8  ,       7
23984.2  ,      11
24008.7  ,      11
24033.1  ,       7
24057.6  ,       8
24082.0  ,       6
24106.5  ,      10
24130.9  ,       9
24155.4  ,       8
24179.8  ,       6
24204.3  ,      11
24228.7  ,       6
24253.2  ,      12
24277.6  ,       6
24302.1  ,       8
24326.5  ,       7
24351.0  ,       8
24375.4  ,       9
24399.9  ,       6
24424.3  ,       9
24448.8  ,      12
24473.2  ,       6
24497.7  ,      13
24522.1  ,      16
24546.5  ,      11
24571.0  ,      12
24595.4  ,      10
24619.9  ,      10
24644.3  ,       2
24668.8  ,       8
24693.2  ,       8
24717.7  ,       7
24742.1  ,       7
24766.6  ,       7
24791.0  ,      11
24815.5  ,       9
24839.9  ,       8
24864.4  ,      16
24888.8  ,      11
24913.3  ,       8
24937.7  ,       7
24962.2  ,       6
24986.6  ,       7
25011.1  ,      16
25035.5  ,      12
25060.0  ,       8
25084.4  ,       6
25108.8  ,      13
25133.3  ,       7
25157.7  ,       4
25182.2  ,      15
25206.6  ,       4
25231.1  ,      20
25255.5  ,      13
25280.0  ,      11
25304.4  ,      12
25328.9  ,      17
25353.3  ,      11
25377.8  ,      11
25402.2  ,       9
25426.7  ,      10
25451.1  ,       8
25475.6  ,      10
25500.0  ,   24930
