"Target: Pilgrim, Contains DAT files: APB_498214247ESC11350500676_______M1.DAT"
20570.3  ,     162
20594.7  ,     154
20619.1  ,     145
20643.5  ,     141
20667.8  ,     124
20692.2  ,     136
20716.6  ,     143
20740.9  ,     124
20765.3  ,     124
20789.7  ,     107
20814.1  ,     119
20838.4  ,      99
20862.8  ,     105
20887.2  ,      96
20911.5  ,     106
20935.9  ,      72
20960.3  ,      81
20984.7  ,      82
21009.0  ,      76
21033.4  ,      86
21057.8  ,      83
21082.1  ,      84
21106.5  ,      74
21130.9  ,      74
21155.3  ,      92
21179.6  ,      96
21204.0  ,     120
21228.4  ,      97
21252.7  ,     109
21277.1  ,     133
21301.5  ,     168
21325.9  ,     179
21350.2  ,     209
21374.6  ,     252
21399.0  ,     241
21423.3  ,     240
21447.7  ,     254
21472.1  ,     217
21496.5  ,     174
21520.8  ,     173
21545.2  ,     132
21569.6  ,     133
21594.0  ,      92
21618.3  ,      91
21642.7  ,      64
21667.1  ,      51
21691.4  ,      54
21715.8  ,      52
21740.2  ,      39
21764.6  ,      35
21788.9  ,      41
21813.3  ,      42
21837.7  ,      43
21862.0  ,      56
21886.4  ,      46
21910.8  ,      54
21935.2  ,      38
21959.5  ,      68
21983.9  ,      38
22008.3  ,      62
22032.6  ,      63
22057.0  ,      58
22081.4  ,      82
22105.8  ,      74
22130.1  ,      73
22154.5  ,      61
22178.9  ,      59
22203.2  ,      82
22227.6  ,      49
22252.0  ,      58
22276.4  ,      52
22300.7  ,      52
22325.1  ,      43
22349.5  ,      47
22373.8  ,      46
22398.2  ,      42
22422.6  ,      26
22447.0  ,      32
22471.3  ,      39
22495.7  ,      32
22520.1  ,      37
22544.4  ,      25
22568.8  ,      34
22593.2  ,      34
22617.6  ,      24
22641.9  ,      32
22666.3  ,      26
22690.7  ,      34
22715.0  ,      35
22739.4  ,      29
22763.8  ,      32
22788.2  ,      37
22812.5  ,      33
22836.9  ,      32
22861.3  ,      25
22885.6  ,      30
22910.0  ,      28
22934.4  ,      27
22958.8  ,      29
22983.1  ,      33
23007.5  ,      33
23031.9  ,      19
23056.3  ,      29
23080.6  ,      18
23105.0  ,      38
23129.4  ,      29
23153.7  ,      30
23178.1  ,      35
23202.5  ,      42
23226.9  ,      43
23251.2  ,      34
23275.6  ,      35
23300.0  ,      33
23324.3  ,      32
23348.7  ,      38
23373.1  ,      37
23397.5  ,      29
23421.8  ,      32
23446.2  ,      23
23470.6  ,      31
23494.9  ,      38
23519.3  ,      24
23543.7  ,      31
23568.1  ,      39
23592.4  ,      25
23616.8  ,      25
23641.2  ,      25
23665.5  ,      33
23689.9  ,      28
23714.3  ,      28
23738.7  ,      36
23763.0  ,      31
23787.4  ,      30
23811.8  ,      32
23836.1  ,      24
23860.5  ,      30
23884.9  ,      31
23909.3  ,      33
23933.6  ,      42
23958.0  ,      48
23982.4  ,      26
24006.7  ,      44
24031.1  ,      24
24055.5  ,      30
