"Target: Mescal_DRT_raster1, Contains DAT files: APB_470254694ESC08200441828_______M1.DAT"
18143.2  ,    1494
18167.7  ,    1790
18192.1  ,    2364
18216.5  ,    2724
18240.9  ,    3167
18265.4  ,    3513
18289.8  ,    3654
18314.2  ,    3501
18338.6  ,    3390
18363.1  ,    2835
18387.5  ,    2546
18411.9  ,    1928
18436.3  ,    1505
18460.8  ,    1061
18485.2  ,     811
18509.6  ,     546
18534.0  ,     401
18558.4  ,     310
18582.9  ,     274
18607.3  ,     201
18631.7  ,     195
18656.1  ,     229
18680.6  ,     190
18705.0  ,     180
18729.4  ,     203
18753.8  ,     185
18778.3  ,     193
18802.7  ,     208
18827.1  ,     221
18851.5  ,     224
18875.9  ,     231
18900.4  ,     204
18924.8  ,     238
18949.2  ,     243
18973.6  ,     242
18998.1  ,     241
19022.5  ,     259
19046.9  ,     256
19071.3  ,     290
19095.8  ,     286
19120.2  ,     277
19144.6  ,     265
19169.0  ,     304
19193.4  ,     351
19217.9  ,     333
19242.3  ,     356
19266.7  ,     368
19291.1  ,     387
19315.6  ,     404
19340.0  ,     403
19364.4  ,     418
19388.8  ,     443
19413.3  ,     462
19437.7  ,     524
19462.1  ,     531
19486.5  ,     580
19510.9  ,     589
19535.4  ,     641
19559.8  ,     669
19584.2  ,     697
19608.6  ,     728
19633.1  ,     787
19657.5  ,     840
19681.9  ,     877
19706.3  ,     894
19730.8  ,     982
19755.2  ,     885
19779.6  ,     968
19804.0  ,     889
19828.4  ,     963
19852.9  ,     917
19877.3  ,     969
19901.7  ,     934
19926.1  ,     964
19950.6  ,     897
19975.0  ,     885
19999.4  ,     879
20023.8  ,     820
20048.3  ,     804
20072.7  ,     799
20097.1  ,     749
20121.5  ,     710
20145.9  ,     699
20170.4  ,     728
20194.8  ,     672
20219.2  ,     610
20243.6  ,     611
20268.1  ,     574
20292.5  ,     590
20316.9  ,     519
20341.3  ,     484
20365.8  ,     532
20390.2  ,     485
20414.6  ,     463
20439.0  ,     534
20463.5  ,     455
20487.9  ,     471
20512.3  ,     433
20536.7  ,     396
20561.1  ,     410
20585.6  ,     413
20610.0  ,     393
20634.4  ,     383
20658.8  ,     375
20683.3  ,     356
20707.7  ,     364
20732.1  ,     333
20756.5  ,     301
20781.0  ,     274
20805.4  ,     270
20829.8  ,     252
20854.2  ,     254
20878.6  ,     237
20903.1  ,     198
20927.5  ,     215
20951.9  ,     195
20976.3  ,     182
21000.8  ,     196
21025.2  ,     168
21049.6  ,     178
21074.0  ,     193
21098.5  ,     164
21122.9  ,     201
21147.3  ,     204
21171.7  ,     213
21196.1  ,     205
21220.6  ,     257
21245.0  ,     295
21269.4  ,     353
21293.8  ,     424
21318.3  ,     471
21342.7  ,     548
21367.1  ,     618
21391.5  ,     734
21416.0  ,     747
21440.4  ,     706
21464.8  ,     706
21489.2  ,     655
21513.6  ,     561
21538.1  ,     468
21562.5  ,     352
21586.9  ,     317
21611.3  ,     224
21635.8  ,     186
21660.2  ,     173
21684.6  ,     134
21709.0  ,     115
21733.5  ,     119
21757.9  ,      91
21782.3  ,     106
21806.7  ,     107
21831.1  ,      98
21855.6  ,     103
21880.0  ,     112
21904.4  ,      99
21928.8  ,      99
21953.3  ,     112
21977.7  ,     114
22002.1  ,     131
22026.5  ,     147
22051.0  ,     159
22075.4  ,     166
22099.8  ,     177
22124.2  ,     211
22148.6  ,     204
22173.1  ,     202
22197.5  ,     177
22221.9  ,     170
22246.3  ,     149
22270.8  ,     147
22295.2  ,     126
22319.6  ,     117
22344.0  ,     107
22368.5  ,     107
22392.9  ,      86
22417.3  ,      90
22441.7  ,      82
22466.1  ,      85
22490.6  ,      73
22515.0  ,      74
22539.4  ,      74
22563.8  ,      64
22588.3  ,      68
22612.7  ,      79
22637.1  ,      63
22661.5  ,      59
22686.0  ,      52
22710.4  ,      63
22734.8  ,      70
22759.2  ,      52
22783.7  ,      76
22808.1  ,      61
22832.5  ,      87
22856.9  ,      68
22881.3  ,      73
22905.8  ,      66
22930.2  ,      75
22954.6  ,      54
22979.0  ,      67
23003.5  ,      75
23027.9  ,      77
23052.3  ,      59
23076.7  ,      66
23101.2  ,      64
23125.6  ,      65
23150.0  ,      62
23174.4  ,      75
23198.8  ,      59
23223.3  ,      66
23247.7  ,      66
23272.1  ,      67
23296.5  ,      65
23321.0  ,      59
23345.4  ,      71
23369.8  ,      63
23394.2  ,      71
23418.7  ,      67
23443.1  ,      74
23467.5  ,      81
23491.9  ,      83
23516.3  ,      69
23540.8  ,      64
23565.2  ,      63
23589.6  ,      66
23614.0  ,      57
23638.5  ,      83
23662.9  ,      61
23687.3  ,      66
23711.7  ,      75
23736.2  ,      64
23760.6  ,      65
23785.0  ,      63
23809.4  ,      70
23833.8  ,      54
23858.3  ,      63
23882.7  ,      64
23907.1  ,      59
23931.5  ,      72
23956.0  ,      70
23980.4  ,      80
24004.8  ,      68
24029.2  ,      64
24053.7  ,      63
24078.1  ,      58
24102.5  ,      65
24126.9  ,      69
24151.3  ,      61
24175.8  ,      74
24200.2  ,      58
24224.6  ,      69
24249.0  ,      69
24273.5  ,      67
24297.9  ,      58
24322.3  ,      67
24346.7  ,      72
24371.2  ,      62
24395.6  ,      62
24420.0  ,      63
24444.4  ,      77
24468.8  ,      67
24493.3  ,      65
24517.7  ,      60
24542.1  ,      52
24566.5  ,      68
24591.0  ,      58
24615.4  ,      66
24639.8  ,      69
24664.2  ,      72
24688.7  ,      77
24713.1  ,      59
24737.5  ,      65
24761.9  ,      65
24786.4  ,      70
24810.8  ,      68
24835.2  ,      59
24859.6  ,      53
24884.0  ,      77
24908.5  ,      72
24932.9  ,      71
24957.3  ,      76
24981.7  ,      68
25006.2  ,      71
25030.6  ,      52
25055.0  ,      76
25079.4  ,      79
25103.9  ,      62
25128.3  ,      83
25152.7  ,      82
25177.1  ,      74
25201.5  ,      60
25226.0  ,      80
25250.4  ,      92
25274.8  ,      86
25299.2  ,      77
25323.7  ,      93
25348.1  ,      75
25372.5  ,      75
25396.9  ,      76
25421.4  ,      76
25445.8  ,      84
25470.2  ,  181304
