"Target: Nedrow_RP, Contains DAT files: APB_442146515ESC05030250000_______M2.DAT"
17455.9  ,      89
17480.2  ,      75
17504.6  ,      81
17529.0  ,      78
17553.4  ,      79
17577.8  ,      76
17602.2  ,      78
17626.6  ,      79
17651.0  ,      88
17675.3  ,      81
17699.7  ,      79
17724.1  ,      62
17748.5  ,      55
17772.9  ,      40
17797.3  ,      32
17821.7  ,      48
17846.1  ,      37
17870.4  ,      28
17894.8  ,      31
17919.2  ,      37
17943.6  ,      42
17968.0  ,      33
17992.4  ,      44
18016.8  ,      18
18041.2  ,      26
18065.5  ,      26
18089.9  ,      36
18114.3  ,      58
18138.7  ,      54
18163.1  ,      84
18187.5  ,      99
18211.9  ,     102
18236.3  ,     137
18260.6  ,     137
18285.0  ,     124
18309.4  ,     158
18333.8  ,     136
18358.2  ,     119
18382.6  ,      89
18407.0  ,      86
18431.4  ,      60
18455.7  ,      56
18480.1  ,      29
18504.5  ,      19
18528.9  ,      21
18553.3  ,      10
18577.7  ,       8
18602.1  ,       8
18626.5  ,       3
18650.9  ,      10
18675.2  ,      11
18699.6  ,       8
18724.0  ,       7
18748.4  ,       5
18772.8  ,       7
18797.2  ,      10
18821.6  ,      10
18846.0  ,       9
18870.3  ,      10
18894.7  ,      14
18919.1  ,      11
18943.5  ,      12
18967.9  ,      16
18992.3  ,      13
19016.7  ,      15
19041.1  ,      14
19065.4  ,      11
19089.8  ,      13
19114.2  ,      13
19138.6  ,      18
19163.0  ,      19
19187.4  ,      16
19211.8  ,      21
19236.2  ,      12
19260.5  ,      15
19284.9  ,      14
19309.3  ,      18
19333.7  ,      18
19358.1  ,      20
19382.5  ,      19
19406.9  ,      15
19431.3  ,      25
19455.6  ,      26
19480.0  ,      25
19504.4  ,      24
19528.8  ,      24
19553.2  ,      37
19577.6  ,      37
19602.0  ,      31
19626.4  ,      31
19650.7  ,      30
19675.1  ,      43
19699.5  ,      34
19723.9  ,      37
19748.3  ,      42
19772.7  ,      51
19797.1  ,      49
19821.5  ,      37
19845.8  ,      41
19870.2  ,      38
19894.6  ,      57
19919.0  ,      39
19943.4  ,      52
19967.8  ,      36
19992.2  ,      31
20016.6  ,      39
20040.9  ,      35
20065.3  ,      33
20089.7  ,      30
20114.1  ,      34
20138.5  ,      43
20162.9  ,      26
20187.3  ,      19
20211.7  ,      30
20236.0  ,      26
20260.4  ,      27
20284.8  ,      24
20309.2  ,      20
20333.6  ,      30
20358.0  ,      20
20382.4  ,      23
20406.8  ,      23
20431.1  ,      20
20455.5  ,      17
20479.9  ,      23
20504.3  ,      21
20528.7  ,      25
20553.1  ,      17
20577.5  ,      12
20601.9  ,      20
20626.2  ,      12
20650.6  ,      20
20675.0  ,      16
20699.4  ,      14
20723.8  ,      13
20748.2  ,       9
20772.6  ,      15
20797.0  ,      15
20821.3  ,      13
20845.7  ,       6
20870.1  ,      10
20894.5  ,       8
20918.9  ,       4
20943.3  ,       5
20967.7  ,       5
20992.1  ,       1
21016.4  ,       9
21040.8  ,       6
21065.2  ,       5
21089.6  ,       4
21114.0  ,       8
21138.4  ,       6
21162.8  ,       5
21187.2  ,       7
21211.5  ,       7
21235.9  ,      10
21260.3  ,      11
21284.7  ,      18
21309.1  ,      15
21333.5  ,      19
21357.9  ,      35
21382.3  ,      22
21406.6  ,      23
21431.0  ,      37
21455.4  ,      37
21479.8  ,      29
21504.2  ,      26
21528.6  ,      28
21553.0  ,      21
21577.4  ,       6
21601.7  ,      14
21626.1  ,      10
21650.5  ,       7
21674.9  ,       2
21699.3  ,       5
21723.7  ,       5
21748.1  ,       5
21772.5  ,       5
21796.8  ,       6
21821.2  ,       4
21845.6  ,       3
21870.0  ,       1
21894.4  ,       1
21918.8  ,       3
21943.2  ,       5
21967.6  ,       5
21991.9  ,       2
22016.3  ,       5
22040.7  ,      11
22065.1  ,       7
22089.5  ,       7
22113.9  ,      11
22138.3  ,      11
22162.7  ,       9
22187.1  ,       9
22211.4  ,       9
22235.8  ,       9
22260.2  ,       5
22284.6  ,       5
22309.0  ,       3
22333.4  ,       4
22357.8  ,       3
22382.2  ,       3
22406.5  ,       3
22430.9  ,       3
22455.3  ,       3
22479.7  ,       2
22504.1  ,       4
22528.5  ,       1
22552.9  ,       0
22577.3  ,       4
22601.6  ,       4
22626.0  ,       1
22650.4  ,       2
22674.8  ,       2
22699.2  ,       3
22723.6  ,       5
22748.0  ,       5
22772.4  ,       3
22796.7  ,       2
22821.1  ,       4
22845.5  ,       2
22869.9  ,       2
22894.3  ,       5
22918.7  ,       4
22943.1  ,       3
22967.5  ,       1
22991.8  ,       4
23016.2  ,       5
23040.6  ,       5
23065.0  ,       0
23089.4  ,       5
23113.8  ,       3
23138.2  ,       3
23162.6  ,       3
23186.9  ,       3
23211.3  ,       5
23235.7  ,       3
23260.1  ,       3
23284.5  ,       0
23308.9  ,       4
23333.3  ,       3
23357.7  ,       3
23382.0  ,       4
23406.4  ,       2
23430.8  ,       2
23455.2  ,       0
23479.6  ,       2
23504.0  ,       2
23528.4  ,       0
23552.8  ,       1
23577.1  ,       1
23601.5  ,       6
23625.9  ,       1
23650.3  ,       1
23674.7  ,       1
23699.1  ,       3
23723.5  ,       2
23747.9  ,       2
23772.2  ,       2
23796.6  ,       1
23821.0  ,       1
23845.4  ,       3
23869.8  ,       4
23894.2  ,       0
23918.6  ,       1
23943.0  ,       3
23967.3  ,       4
23991.7  ,       0
24016.1  ,       2
24040.5  ,       2
24064.9  ,       1
24089.3  ,       0
24113.7  ,       2
24138.1  ,       2
24162.4  ,       3
24186.8  ,       2
24211.2  ,       2
24235.6  ,       4
24260.0  ,       2
24284.4  ,       5
24308.8  ,       1
24333.2  ,       2
24357.5  ,       1
24381.9  ,       2
24406.3  ,       3
24430.7  ,       3
24455.1  ,       1
24479.5  ,       2
24503.9  ,       1
24528.3  ,       2
24552.6  ,       1
24577.0  ,       1
24601.4  ,       2
24625.8  ,       1
24650.2  ,       0
24674.6  ,       5
24699.0  ,       4
24723.4  ,       5
24747.7  ,       2
24772.1  ,       5
24796.5  ,       1
24820.9  ,       1
24845.3  ,       3
24869.7  ,       2
24894.1  ,       2
24918.5  ,       3
24942.8  ,       2
24967.2  ,       0
24991.6  ,       3
25016.0  ,       2
25040.4  ,       2
25064.8  ,       2
25089.2  ,       2
25113.6  ,       3
25137.9  ,       4
25162.3  ,       3
25186.7  ,       6
25211.1  ,       5
25235.5  ,       5
25259.9  ,       6
25284.3  ,      10
25308.7  ,       1
25333.0  ,       4
25357.4  ,       6
25381.8  ,       4
25406.2  ,       1
25430.6  ,    7885
