"Target: Sayunei_RP_d, Contains DAT files: APA_412169393ESC01650052270_______M2.DAT"
16882.2  ,      64
16906.6  ,      77
16931.1  ,      65
16955.5  ,      63
16979.9  ,      61
17004.4  ,      70
17028.8  ,      81
17053.3  ,      77
17077.7  ,      84
17102.2  ,      76
17126.6  ,      77
17151.0  ,      75
17175.5  ,      91
17199.9  ,      64
17224.4  ,      76
17248.8  ,      61
17273.2  ,      69
17297.7  ,      68
17322.1  ,      72
17346.6  ,      61
17371.0  ,      72
17395.4  ,      39
17419.9  ,      62
17444.3  ,      38
17468.8  ,      42
17493.2  ,      34
17517.6  ,      37
17542.1  ,      42
17566.5  ,      48
17591.0  ,      59
17615.4  ,      51
17639.8  ,      50
17664.3  ,      37
17688.7  ,      51
17713.2  ,      47
17737.6  ,      37
17762.0  ,      29
17786.5  ,      22
17810.9  ,      23
17835.4  ,      20
17859.8  ,      11
17884.3  ,      19
17908.7  ,      12
17933.1  ,      17
17957.6  ,      23
17982.0  ,      14
18006.5  ,      20
18030.9  ,      18
18055.3  ,      20
18079.8  ,      14
18104.2  ,      21
18128.7  ,      34
18153.1  ,      26
18177.5  ,      40
18202.0  ,      60
18226.4  ,      64
18250.9  ,      79
18275.3  ,      78
18299.7  ,      84
18324.2  ,      80
18348.6  ,      78
18373.1  ,      60
18397.5  ,      55
18421.9  ,      40
18446.4  ,      33
18470.8  ,      24
18495.3  ,      23
18519.7  ,      20
18544.2  ,       9
18568.6  ,       8
18593.0  ,       6
18617.5  ,       3
18641.9  ,       3
18666.4  ,       3
18690.8  ,      10
18715.2  ,       5
18739.7  ,       3
18764.1  ,       3
18788.6  ,      10
18813.0  ,       6
18837.4  ,       5
18861.9  ,       6
18886.3  ,       4
18910.8  ,       3
18935.2  ,       3
18959.6  ,       7
18984.1  ,       7
19008.5  ,       6
19033.0  ,       4
19057.4  ,       8
19081.8  ,       7
19106.3  ,       4
19130.7  ,       9
19155.2  ,       8
19179.6  ,       9
19204.0  ,       6
19228.5  ,      10
19252.9  ,       7
19277.4  ,       4
19301.8  ,       9
19326.3  ,       8
19350.7  ,       8
19375.1  ,      15
19399.6  ,      13
19424.0  ,      15
19448.5  ,      15
19472.9  ,       7
19497.3  ,      16
19521.8  ,      18
19546.2  ,      16
19570.7  ,      10
19595.1  ,      19
19619.5  ,      21
19644.0  ,      16
19668.4  ,      15
19692.9  ,      17
19717.3  ,      19
19741.7  ,      24
19766.2  ,      14
19790.6  ,      17
19815.1  ,      23
19839.5  ,      22
19863.9  ,      20
19888.4  ,      22
19912.8  ,      13
19937.3  ,      14
19961.7  ,      17
19986.2  ,      21
20010.6  ,      21
20035.0  ,      21
20059.5  ,      20
20083.9  ,      12
20108.4  ,      14
20132.8  ,      12
20157.2  ,       8
20181.7  ,       9
20206.1  ,      11
20230.6  ,      11
20255.0  ,      21
20279.4  ,      15
20303.9  ,       8
20328.3  ,      18
20352.8  ,      11
20377.2  ,      11
20401.6  ,       9
20426.1  ,      11
20450.5  ,       8
20475.0  ,      11
20499.4  ,       7
20523.8  ,      15
20548.3  ,      12
20572.7  ,       6
20597.2  ,       9
20621.6  ,       6
20646.0  ,       9
20670.5  ,      13
20694.9  ,       9
20719.4  ,       3
20743.8  ,       7
20768.3  ,       5
20792.7  ,       4
20817.1  ,       7
20841.6  ,       4
20866.0  ,       3
20890.5  ,      10
20914.9  ,       0
20939.3  ,       2
20963.8  ,       5
20988.2  ,       7
21012.7  ,       8
21037.1  ,       3
21061.5  ,       2
21086.0  ,       7
21110.4  ,       4
21134.9  ,       6
21159.3  ,       5
21183.7  ,       3
21208.2  ,       5
21232.6  ,       5
21257.1  ,      10
21281.5  ,       9
21305.9  ,      10
21330.4  ,      10
21354.8  ,      10
21379.3  ,      17
21403.7  ,      17
21428.1  ,      12
21452.6  ,      17
21477.0  ,      12
21501.5  ,      14
21525.9  ,       9
21550.4  ,      12
21574.8  ,       8
21599.2  ,       2
21623.7  ,      10
21648.1  ,       7
21672.6  ,       4
21697.0  ,       4
21721.4  ,       5
21745.9  ,       3
21770.3  ,       3
21794.8  ,       0
21819.2  ,       1
21843.6  ,       5
21868.1  ,       4
21892.5  ,       5
21917.0  ,       0
21941.4  ,       2
21965.8  ,       1
21990.3  ,       3
22014.7  ,       3
22039.2  ,       6
22063.6  ,       3
22088.0  ,       7
22112.5  ,       7
22136.9  ,       5
22161.4  ,       8
22185.8  ,       4
22210.3  ,       8
22234.7  ,       1
22259.1  ,       9
22283.6  ,       2
22308.0  ,       1
22332.5  ,       3
22356.9  ,       2
22381.3  ,       2
22405.8  ,       2
22430.2  ,       5
22454.7  ,       3
22479.1  ,       2
22503.5  ,       1
22528.0  ,       2
22552.4  ,       1
22576.9  ,       0
22601.3  ,       2
22625.7  ,       2
22650.2  ,       0
22674.6  ,       2
22699.1  ,       3
22723.5  ,       2
22747.9  ,       1
22772.4  ,       0
22796.8  ,       0
22821.3  ,       4
22845.7  ,       1
22870.1  ,       3
22894.6  ,       1
22919.0  ,       1
22943.5  ,       4
22967.9  ,       5
22992.4  ,       1
23016.8  ,       3
23041.2  ,       0
23065.7  ,       0
23090.1  ,       1
23114.6  ,       1
23139.0  ,       2
23163.4  ,       4
23187.9  ,       3
23212.3  ,       1
23236.8  ,       2
23261.2  ,       4
23285.6  ,       0
23310.1  ,       4
23334.5  ,       3
23359.0  ,       3
23383.4  ,       0
23407.8  ,       2
23432.3  ,       1
23456.7  ,       1
23481.2  ,       3
23505.6  ,       4
23530.0  ,       6
23554.5  ,       3
23578.9  ,       8
23603.4  ,       2
23627.8  ,       1
23652.2  ,       5
23676.7  ,       2
23701.1  ,       1
23725.6  ,       1
23750.0  ,       2
23774.5  ,       2
23798.9  ,       1
23823.3  ,       2
23847.8  ,       2
23872.2  ,       3
23896.7  ,       3
23921.1  ,       0
23945.5  ,       2
23970.0  ,       0
23994.4  ,       1
24018.9  ,       2
24043.3  ,       0
24067.7  ,       1
24092.2  ,       3
24116.6  ,       1
24141.1  ,       2
24165.5  ,       2
24189.9  ,       2
24214.4  ,       1
24238.8  ,       0
24263.3  ,       1
24287.7  ,       2
24312.1  ,       2
24336.6  ,       6
24361.0  ,       0
24385.5  ,       1
24409.9  ,       4
24434.4  ,       4
24458.8  ,       0
24483.2  ,       1
24507.7  ,       2
24532.1  ,       5
24556.6  ,       3
24581.0  ,       2
24605.4  ,       1
24629.9  ,       1
24654.3  ,       1
24678.8  ,       2
24703.2  ,       3
24727.6  ,       2
24752.1  ,       2
24776.5  ,       1
24801.0  ,       1
24825.4  ,       2
24849.8  ,       1
24874.3  ,       4
24898.7  ,       4
24923.2  ,       3
24947.6  ,       3
24972.0  ,       4
24996.5  ,       3
25020.9  ,       3
25045.4  ,       1
25069.8  ,       1
25094.2  ,       2
25118.7  ,       3
25143.1  ,       6
25167.6  ,       3
25192.0  ,       3
25216.5  ,       3
25240.9  ,       3
25265.3  ,       2
25289.8  ,       2
25314.2  ,       3
25338.7  ,       2
25363.1  ,       2
25387.5  ,       3
25412.0  ,       1
25436.4  ,       2
25460.9  ,       2
25485.3  ,    7055
