"Target: Sayunei_RP_c, Contains DAT files: APA_412168451ESC01650052270_______M2.DAT"
20775.9  ,       5
20800.3  ,       5
20824.8  ,       7
20849.2  ,       7
20873.7  ,       5
20898.1  ,       1
20922.6  ,       7
20947.0  ,       3
20971.5  ,       2
20995.9  ,       7
21020.4  ,       0
21044.8  ,       3
21069.3  ,       8
21093.7  ,       2
21118.2  ,       4
21142.6  ,       5
21167.1  ,       3
21191.5  ,       7
21216.0  ,       3
21240.4  ,       7
21264.9  ,       6
21289.3  ,      10
21313.8  ,       9
21338.2  ,       9
21362.7  ,      14
21387.1  ,      10
21411.6  ,      11
21436.0  ,      12
21460.5  ,      13
21484.9  ,      10
21509.4  ,       7
21533.8  ,       9
21558.3  ,       9
21582.8  ,       7
21607.2  ,       6
21631.7  ,       6
21656.1  ,       4
21680.6  ,       6
21705.0  ,       6
21729.5  ,       2
21753.9  ,       7
21778.4  ,       2
21802.8  ,       0
21827.3  ,       2
21851.7  ,       5
21876.2  ,       4
21900.6  ,       1
21925.1  ,       2
21949.5  ,       4
21974.0  ,       5
21998.4  ,       4
22022.9  ,       2
22047.3  ,       4
22071.8  ,       1
22096.2  ,       3
22120.7  ,       2
22145.1  ,       2
22169.6  ,       5
22194.0  ,       5
22218.5  ,       7
22242.9  ,       2
22267.4  ,       4
22291.8  ,       3
22316.3  ,       1
22340.7  ,       2
22365.2  ,       2
22389.6  ,       4
22414.1  ,       4
22438.5  ,       3
22463.0  ,       2
22487.4  ,       4
22511.9  ,       5
22536.3  ,       2
22560.8  ,       2
22585.2  ,       3
22609.7  ,       1
22634.1  ,       4
22658.6  ,       1
22683.0  ,       2
22707.5  ,       3
22731.9  ,       0
22756.4  ,       2
22780.8  ,       2
22805.3  ,       2
22829.7  ,       2
22854.2  ,       7
22878.6  ,       7
22903.1  ,       1
22927.6  ,       3
22952.0  ,       2
22976.5  ,       1
23000.9  ,       1
23025.4  ,       1
23049.8  ,       1
23074.3  ,       0
23098.7  ,       7
23123.2  ,       1
23147.6  ,       4
23172.1  ,       3
23196.5  ,       1
23221.0  ,       1
23245.4  ,       2
23269.9  ,       4
23294.3  ,       3
23318.8  ,       1
23343.2  ,       1
23367.7  ,       2
23392.1  ,       2
23416.6  ,       6
23441.0  ,       3
23465.5  ,       2
23489.9  ,       1
23514.4  ,       3
23538.8  ,       4
23563.3  ,       1
23587.7  ,       4
23612.2  ,       1
23636.6  ,       1
23661.1  ,       2
23685.5  ,       1
23710.0  ,       1
23734.4  ,       1
23758.9  ,       2
23783.3  ,       0
23807.8  ,       1
23832.2  ,       2
23856.7  ,       1
23881.1  ,       1
23905.6  ,       0
23930.0  ,       2
23954.5  ,       4
23978.9  ,       1
24003.4  ,       6
24027.8  ,       1
24052.3  ,       2
24076.7  ,       1
24101.2  ,       3
24125.6  ,       2
24150.1  ,       3
24174.5  ,       2
24199.0  ,       3
24223.5  ,       3
24247.9  ,       4
24272.4  ,       2
24296.8  ,       2
24321.3  ,       2
24345.7  ,       1
24370.2  ,       4
24394.6  ,       1
24419.1  ,       1
24443.5  ,       4
24468.0  ,       4
24492.4  ,       1
24516.9  ,       0
24541.3  ,       2
24565.8  ,       1
24590.2  ,       1
24614.7  ,       1
24639.1  ,       2
24663.6  ,       2
24688.0  ,       4
24712.5  ,       2
24736.9  ,       5
24761.4  ,       4
24785.8  ,       3
24810.3  ,       5
24834.7  ,       2
24859.2  ,       1
24883.6  ,       0
24908.1  ,       2
24932.5  ,       1
24957.0  ,       3
24981.4  ,       1
25005.9  ,       5
25030.3  ,       0
25054.8  ,       1
25079.2  ,       2
25103.7  ,       2
25128.1  ,       3
25152.6  ,       5
25177.0  ,       6
25201.5  ,       2
25225.9  ,       3
25250.4  ,       4
25274.8  ,       3
25299.3  ,       3
25323.7  ,       3
25348.2  ,       3
25372.6  ,       2
25397.1  ,       2
25421.5  ,       3
25446.0  ,       3
25470.4  ,       2
25494.9  ,    6887
