"Target: Sayunei_RP_b, Contains DAT files: APA_412167507ESC01650052270_______M2.DAT"
16108.1  ,      27
16132.5  ,      30
16157.0  ,      36
16181.4  ,      33
16205.9  ,      27
16230.3  ,      37
16254.8  ,      25
16279.2  ,      27
16303.7  ,      34
16328.1  ,      28
16352.6  ,      33
16377.0  ,      33
16401.5  ,      35
16426.0  ,      20
16450.4  ,      29
16474.9  ,      37
16499.3  ,      33
16523.8  ,      25
16548.2  ,      31
16572.7  ,      26
16597.1  ,      40
16621.6  ,      22
16646.0  ,      46
16670.5  ,      31
16694.9  ,      46
16719.4  ,      25
16743.8  ,      38
16768.3  ,      45
16792.7  ,      50
16817.2  ,      56
16841.6  ,      59
16866.1  ,      64
16890.6  ,      63
16915.0  ,      56
16939.5  ,      62
16963.9  ,      76
16988.4  ,      91
17012.8  ,      56
17037.3  ,      67
17061.7  ,      87
17086.2  ,      82
17110.6  ,      75
17135.1  ,      89
17159.5  ,      94
17184.0  ,      95
17208.4  ,      64
17232.9  ,      84
17257.3  ,      73
17281.8  ,     104
17306.2  ,      76
17330.7  ,      53
17355.2  ,      57
17379.6  ,      59
17404.1  ,      42
17428.5  ,      59
17453.0  ,      48
17477.4  ,      40
17501.9  ,      35
17526.3  ,      38
17550.8  ,      34
17575.2  ,      43
17599.7  ,      49
17624.1  ,      48
17648.6  ,      59
17673.0  ,      59
17697.5  ,      36
17721.9  ,      35
17746.4  ,      33
17770.9  ,      33
17795.3  ,      29
17819.8  ,      18
17844.2  ,      20
17868.7  ,      18
17893.1  ,      22
17917.6  ,       8
17942.0  ,      13
17966.5  ,      15
17990.9  ,      27
18015.4  ,      20
18039.8  ,      13
18064.3  ,      16
18088.7  ,      20
18113.2  ,      27
18137.6  ,      30
18162.1  ,      31
18186.5  ,      50
18211.0  ,      47
18235.5  ,      65
18259.9  ,      78
18284.4  ,      88
18308.8  ,      86
18333.3  ,      72
18357.7  ,      64
18382.2  ,      69
18406.6  ,      55
18431.1  ,      38
18455.5  ,      27
18480.0  ,      22
18504.4  ,      15
18528.9  ,       3
18553.3  ,      12
18577.8  ,       5
18602.2  ,       4
18626.7  ,       6
18651.1  ,       5
18675.6  ,       5
18700.1  ,       4
18724.5  ,       4
18749.0  ,       6
18773.4  ,       6
18797.9  ,       4
18822.3  ,       2
18846.8  ,       3
18871.2  ,       5
18895.7  ,       5
18920.1  ,       2
18944.6  ,       5
18969.0  ,       9
18993.5  ,      13
19017.9  ,       6
19042.4  ,       6
19066.8  ,       6
19091.3  ,       8
19115.7  ,      13
19140.2  ,       7
19164.7  ,       6
19189.1  ,       3
19213.6  ,      10
19238.0  ,      12
19262.5  ,      12
19286.9  ,       8
19311.4  ,       6
19335.8  ,      10
19360.3  ,      11
19384.7  ,      10
19409.2  ,      12
19433.6  ,      16
19458.1  ,       9
19482.5  ,      10
19507.0  ,      16
19531.4  ,      24
19555.9  ,      13
19580.3  ,       9
19604.8  ,      19
19629.3  ,      15
19653.7  ,      24
19678.2  ,      20
19702.6  ,      25
19727.1  ,      22
19751.5  ,      22
19776.0  ,      16
19800.4  ,      29
19824.9  ,      29
19849.3  ,      21
19873.8  ,      13
19898.2  ,      20
19922.7  ,      17
19947.1  ,      17
19971.6  ,      13
19996.0  ,       8
20020.5  ,      19
20045.0  ,      18
20069.4  ,      20
20093.9  ,       7
20118.3  ,      10
20142.8  ,      20
20167.2  ,      14
20191.7  ,      13
20216.1  ,      17
20240.6  ,      13
20265.0  ,      13
20289.5  ,       7
20313.9  ,      10
20338.4  ,       8
20362.8  ,       6
20387.3  ,      14
20411.7  ,       3
20436.2  ,      14
20460.6  ,      15
20485.1  ,      13
20509.6  ,       9
20534.0  ,      12
20558.5  ,       9
20582.9  ,       7
20607.4  ,       8
20631.8  ,       4
20656.3  ,       5
20680.7  ,       9
20705.2  ,       8
20729.6  ,       3
20754.1  ,       4
20778.5  ,       7
20803.0  ,       5
20827.4  ,       8
20851.9  ,       6
20876.3  ,       7
20900.8  ,       5
20925.2  ,       1
20949.7  ,       3
20974.2  ,       8
20998.6  ,       5
21023.1  ,       4
21047.5  ,       5
21072.0  ,       3
21096.4  ,       1
21120.9  ,       5
21145.3  ,       8
21169.8  ,       7
21194.2  ,       7
21218.7  ,       6
21243.1  ,       6
21267.6  ,       5
21292.0  ,      11
21316.5  ,      13
21340.9  ,       9
