"Target: Sayunei_RP_a, Contains DAT files: APA_412166565ESC01650052270_______M2.DAT"
21030.9  ,       7
21055.3  ,       5
21079.8  ,       6
21104.2  ,      12
21128.7  ,       4
21153.2  ,       8
21177.6  ,       9
21202.1  ,       5
21226.6  ,       7
21251.0  ,       6
21275.5  ,      11
21299.9  ,      10
21324.4  ,      12
21348.9  ,      13
21373.3  ,      16
21397.8  ,      15
21422.3  ,      23
21446.7  ,      17
21471.2  ,      20
21495.6  ,      21
21520.1  ,      13
21544.6  ,      16
21569.0  ,       9
21593.5  ,       7
21618.0  ,       2
21642.4  ,       7
21666.9  ,       3
21691.3  ,       5
21715.8  ,       2
21740.3  ,       2
21764.7  ,       2
21789.2  ,       2
21813.7  ,       3
21838.1  ,       3
21862.6  ,       3
21887.0  ,       0
21911.5  ,       2
21936.0  ,       4
21960.4  ,       4
21984.9  ,       3
22009.4  ,       7
22033.8  ,       5
22058.3  ,       3
22082.7  ,       4
22107.2  ,       7
22131.7  ,       5
22156.1  ,       6
22180.6  ,       5
22205.1  ,       2
22229.5  ,       6
22254.0  ,       4
22278.4  ,       4
22302.9  ,       6
22327.4  ,       4
22351.8  ,       4
22376.3  ,       3
22400.8  ,       3
22425.2  ,       3
22449.7  ,       5
22474.1  ,       1
22498.6  ,       4
22523.1  ,       1
22547.5  ,       2
22572.0  ,       2
22596.5  ,       1
22620.9  ,       3
22645.4  ,       2
22669.8  ,       1
22694.3  ,       1
22718.8  ,       3
22743.2  ,       0
22767.7  ,       3
22792.2  ,       2
22816.6  ,       5
22841.1  ,       7
22865.5  ,       2
22890.0  ,       2
22914.5  ,       2
22938.9  ,       1
22963.4  ,       3
22987.9  ,       2
23012.3  ,       2
23036.8  ,       3
23061.2  ,       1
23085.7  ,       4
23110.2  ,       4
23134.6  ,       2
23159.1  ,       3
23183.6  ,       3
23208.0  ,       3
23232.5  ,       1
23256.9  ,       1
23281.4  ,       2
23305.9  ,       1
23330.3  ,       1
23354.8  ,       2
23379.3  ,       1
23403.7  ,       2
23428.2  ,       1
23452.6  ,       0
23477.1  ,       1
23501.6  ,       2
23526.0  ,       1
23550.5  ,       2
23575.0  ,       2
23599.4  ,       4
23623.9  ,       1
23648.3  ,       2
23672.8  ,       0
23697.3  ,       0
23721.7  ,       0
23746.2  ,       2
23770.7  ,       2
23795.1  ,       3
23819.6  ,       0
23844.0  ,       1
23868.5  ,       4
23893.0  ,       1
23917.4  ,       4
23941.9  ,       1
23966.4  ,       1
23990.8  ,       4
24015.3  ,       4
24039.7  ,       2
24064.2  ,       3
24088.7  ,       2
24113.1  ,       0
24137.6  ,       3
24162.1  ,       5
24186.5  ,       2
24211.0  ,       2
24235.4  ,       3
