"Target: Maturango, Contains DAT files: APB_464560318ESC07560421020_______M1.DAT"
23340.4  ,      62
23364.8  ,      55
23389.2  ,      57
23413.6  ,      71
23438.0  ,      60
23462.4  ,      69
23486.9  ,      46
23511.3  ,      71
23535.7  ,      60
23560.1  ,      57
23584.5  ,      72
23608.9  ,      56
23633.4  ,      58
23657.8  ,      72
23682.2  ,      66
23706.6  ,      58
23731.0  ,      58
23755.4  ,      76
23779.9  ,      68
23804.3  ,      53
23828.7  ,      86
23853.1  ,      67
23877.5  ,      58
23901.9  ,      74
23926.4  ,      74
23950.8  ,      67
23975.2  ,      61
23999.6  ,      59
24024.0  ,      68
24048.4  ,      76
24072.9  ,      76
24097.3  ,      60
24121.7  ,      57
24146.1  ,      65
24170.5  ,      66
24194.9  ,      57
24219.4  ,      59
24243.8  ,      68
24268.2  ,      65
24292.6  ,      52
24317.0  ,      68
24341.4  ,      58
24365.9  ,      50
24390.3  ,      66
24414.7  ,      76
24439.1  ,      66
24463.5  ,      58
24487.9  ,      64
24512.4  ,      65
24536.8  ,      53
24561.2  ,      68
24585.6  ,      66
24610.0  ,      58
24634.4  ,      72
24658.9  ,      70
24683.3  ,      65
24707.7  ,      64
24732.1  ,      71
24756.5  ,      62
24780.9  ,      66
24805.4  ,      57
24829.8  ,      72
24854.2  ,      83
24878.6  ,      69
24903.0  ,      67
24927.4  ,      68
24951.9  ,      70
24976.3  ,      54
25000.7  ,      79
25025.1  ,      59
25049.5  ,      86
25073.9  ,      71
25098.4  ,      71
25122.8  ,      76
25147.2  ,      74
25171.6  ,      72
25196.0  ,      76
25220.4  ,      72
25244.9  ,      87
25269.3  ,      65
25293.7  ,      82
25318.1  ,      75
25342.5  ,      97
25366.9  ,      73
25391.3  ,      69
25415.8  ,      66
25440.2  ,      75
25464.6  ,  182528
