"Target: Sayunei_RP_center, Contains DAT files: APA_412192430ESC01660052270_______M2.DAT"
19595.8  ,     677
19620.1  ,     716
19644.5  ,     804
19668.9  ,     825
19693.2  ,     868
19717.6  ,     934
19742.0  ,     894
19766.4  ,     945
19790.7  ,     880
19815.1  ,     866
19839.5  ,     949
19863.9  ,     929
19888.2  ,     907
19912.6  ,     865
19937.0  ,     861
19961.4  ,     894
19985.7  ,     837
20010.1  ,     848
20034.5  ,     811
20058.8  ,     746
20083.2  ,     790
20107.6  ,     663
20132.0  ,     725
20156.3  ,     752
20180.7  ,     643
20205.1  ,     582
20229.5  ,     579
20253.8  ,     630
20278.2  ,     539
20302.6  ,     559
20327.0  ,     508
20351.3  ,     502
20375.7  ,     528
20400.1  ,     491
20424.5  ,     474
20448.8  ,     438
20473.2  ,     460
20497.6  ,     435
20521.9  ,     420
20546.3  ,     417
20570.7  ,     356
20595.1  ,     386
20619.4  ,     406
20643.8  ,     359
20668.2  ,     333
20692.6  ,     322
20716.9  ,     353
20741.3  ,     315
20765.7  ,     287
20790.1  ,     296
20814.4  ,     272
20838.8  ,     261
20863.2  ,     217
20887.5  ,     237
20911.9  ,     190
20936.3  ,     215
20960.7  ,     179
20985.0  ,     167
21009.4  ,     177
21033.8  ,     195
21058.2  ,     179
21082.5  ,     149
21106.9  ,     167
21131.3  ,     184
21155.7  ,     199
21180.0  ,     204
21204.4  ,     223
21228.8  ,     257
21253.1  ,     311
21277.5  ,     381
21301.9  ,     412
21326.3  ,     522
21350.6  ,     529
21375.0  ,     642
21399.4  ,     721
21423.8  ,     749
21448.1  ,     741
21472.5  ,     707
21496.9  ,     668
21521.3  ,     603
21545.6  ,     484
21570.0  ,     382
21594.4  ,     345
21618.7  ,     252
21643.1  ,     214
21667.5  ,     181
21691.9  ,     156
21716.2  ,     133
21740.6  ,     122
21765.0  ,     101
21789.4  ,     127
21813.7  ,     105
21838.1  ,      97
21862.5  ,      99
21886.9  ,     103
21911.2  ,      96
21935.6  ,     106
21960.0  ,     149
21984.3  ,     112
22008.7  ,     147
22033.1  ,     149
22057.5  ,     163
22081.8  ,     166
22106.2  ,     200
22130.6  ,     203
22155.0  ,     178
22179.3  ,     207
22203.7  ,     210
22228.1  ,     168
22252.5  ,     171
22276.8  ,     168
22301.2  ,     134
22325.6  ,     111
22349.9  ,     120
22374.3  ,     108
22398.7  ,     100
22423.1  ,      96
22447.4  ,      81
22471.8  ,      79
22496.2  ,      77
22520.6  ,      66
22544.9  ,      64
22569.3  ,      77
22593.7  ,      71
22618.1  ,      65
22642.4  ,      70
22666.8  ,      71
22691.2  ,      81
22715.6  ,      73
22739.9  ,      64
22764.3  ,      85
22788.7  ,      91
22813.0  ,      72
22837.4  ,      67
22861.8  ,      82
22886.2  ,      77
22910.5  ,      69
22934.9  ,      57
22959.3  ,      63
22983.7  ,      86
23008.0  ,      71
23032.4  ,      74
23056.8  ,      76
23081.2  ,      93
23105.5  ,      76
23129.9  ,      73
23154.3  ,      71
23178.6  ,      78
23203.0  ,      68
23227.4  ,      62
23251.8  ,      87
23276.1  ,      79
23300.5  ,      69
23324.9  ,      65
23349.3  ,      86
23373.6  ,      72
23398.0  ,      75
23422.4  ,      74
23446.8  ,      66
23471.1  ,      62
23495.5  ,      75
23519.9  ,      63
23544.2  ,      89
23568.6  ,      67
23593.0  ,      67
23617.4  ,      67
23641.7  ,      74
23666.1  ,      74
23690.5  ,      73
23714.9  ,      63
23739.2  ,      71
23763.6  ,      69
23788.0  ,      71
23812.4  ,      76
23836.7  ,      64
23861.1  ,      65
23885.5  ,      91
23909.8  ,      62
23934.2  ,      71
23958.6  ,      61
23983.0  ,      73
24007.3  ,      68
24031.7  ,      75
24056.1  ,      58
24080.5  ,      79
24104.8  ,      73
24129.2  ,      64
24153.6  ,      60
24178.0  ,      70
24202.3  ,      83
24226.7  ,      64
24251.1  ,      83
24275.4  ,      83
24299.8  ,      74
24324.2  ,      77
