"Target: BonanzaKing2_RP_raster2_DRT, Contains DAT files: APB_461584149ESC07220401378_______M2.DAT"
22964.8  ,       6
22989.2  ,       2
23013.7  ,       3
23038.1  ,       4
23062.5  ,       2
23086.9  ,       2
23111.3  ,       5
23135.7  ,       7
23160.1  ,       4
23184.5  ,       3
23208.9  ,       1
23233.3  ,       3
23257.7  ,       4
23282.1  ,       1
23306.5  ,       7
23330.9  ,       3
23355.3  ,       5
23379.7  ,       3
23404.1  ,       2
23428.5  ,       0
23452.9  ,       0
23477.3  ,       3
23501.7  ,       4
23526.1  ,       1
23550.5  ,       1
23575.0  ,       1
23599.4  ,       9
23623.8  ,       6
23648.2  ,       3
23672.6  ,       4
23697.0  ,       0
23721.4  ,       4
23745.8  ,       4
23770.2  ,       4
23794.6  ,       3
23819.0  ,       1
23843.4  ,       1
23867.8  ,       1
23892.2  ,       4
23916.6  ,       3
23941.0  ,       5
23965.4  ,       5
23989.8  ,       4
24014.2  ,       3
24038.6  ,       3
24063.0  ,       4
24087.4  ,       5
24111.9  ,       3
24136.3  ,       4
24160.7  ,       3
24185.1  ,       3
24209.5  ,       3
24233.9  ,       6
24258.3  ,       5
24282.7  ,       1
24307.1  ,       2
24331.5  ,       3
24355.9  ,       4
24380.3  ,       5
24404.7  ,       1
24429.1  ,       3
24453.5  ,       4
24477.9  ,       4
24502.3  ,       3
24526.7  ,       0
24551.1  ,       3
24575.5  ,       2
24599.9  ,       5
24624.3  ,       4
24648.8  ,       2
24673.2  ,       2
24697.6  ,       2
24722.0  ,       4
24746.4  ,       1
24770.8  ,       2
24795.2  ,       3
24819.6  ,       4
24844.0  ,       6
24868.4  ,       0
24892.8  ,       3
24917.2  ,       1
24941.6  ,       4
24966.0  ,       4
24990.4  ,       4
25014.8  ,       2
25039.2  ,       5
25063.6  ,       4
25088.0  ,       4
25112.4  ,       3
25136.8  ,       2
25161.2  ,       2
25185.7  ,       3
25210.1  ,       4
25234.5  ,       1
25258.9  ,       7
25283.3  ,       2
25307.7  ,       2
25332.1  ,       1
25356.5  ,       3
25380.9  ,       1
25405.3  ,       3
25429.7  ,       5
25454.1  ,    9169
