"Target: Ekwir_1, Contains DAT files: APA_410773493ESC01500051902_______M2.DAT"
21593.0  ,     687
21617.5  ,     580
21641.9  ,     437
21666.3  ,     364
21690.7  ,     283
21715.2  ,     269
21739.6  ,     255
21764.0  ,     229
21788.5  ,     211
21812.9  ,     226
21837.3  ,     230
21861.7  ,     209
21886.2  ,     224
21910.6  ,     223
21935.0  ,     243
21959.5  ,     303
21983.9  ,     278
22008.3  ,     323
22032.7  ,     327
22057.2  ,     356
22081.6  ,     455
22106.0  ,     416
22130.5  ,     453
22154.9  ,     422
22179.3  ,     453
22203.7  ,     449
22228.2  ,     419
22252.6  ,     357
22277.0  ,     378
22301.5  ,     277
22325.9  ,     275
22350.3  ,     243
22374.8  ,     222
22399.2  ,     185
22423.6  ,     187
22448.0  ,     160
22472.5  ,     186
22496.9  ,     159
22521.3  ,     144
22545.8  ,     169
22570.2  ,     169
22594.6  ,     146
22619.0  ,     140
22643.5  ,     153
22667.9  ,     152
22692.3  ,     155
22716.8  ,     154
22741.2  ,     202
22765.6  ,     146
22790.0  ,     179
22814.5  ,     184
22838.9  ,     171
22863.3  ,     121
22887.8  ,     164
22912.2  ,     156
22936.6  ,     164
22961.0  ,     170
22985.5  ,     156
23009.9  ,     170
23034.3  ,     184
23058.8  ,     159
23083.2  ,     165
23107.6  ,     164
23132.0  ,     168
23156.5  ,     147
23180.9  ,     190
23205.3  ,     156
23229.8  ,     156
23254.2  ,     170
23278.6  ,     166
23303.0  ,     155
23327.5  ,     161
23351.9  ,     178
23376.3  ,     186
23400.8  ,     170
23425.2  ,     145
23449.6  ,     155
23474.0  ,     135
23498.5  ,     147
23522.9  ,     139
23547.3  ,     140
23571.8  ,     155
23596.2  ,     160
23620.6  ,     149
23645.0  ,     154
23669.5  ,     146
23693.9  ,     183
23718.3  ,     150
23742.8  ,     144
23767.2  ,     138
23791.6  ,     131
23816.0  ,     156
23840.5  ,     146
23864.9  ,     161
23889.3  ,     148
23913.8  ,     138
23938.2  ,     153
23962.6  ,     155
23987.0  ,     141
24011.5  ,     151
24035.9  ,     169
24060.3  ,     171
24084.8  ,     155
24109.2  ,     163
24133.6  ,     143
24158.0  ,     144
24182.5  ,     160
24206.9  ,     174
24231.3  ,     181
24255.8  ,     149
24280.2  ,     163
24304.6  ,     164
24329.0  ,     159
24353.5  ,     160
24377.9  ,     151
24402.3  ,     157
24426.8  ,     146
24451.2  ,     149
24475.6  ,     157
24500.1  ,     165
24524.5  ,     160
24548.9  ,     163
24573.3  ,     135
24597.8  ,     154
24622.2  ,     145
24646.6  ,     146
24671.1  ,     158
24695.5  ,     135
24719.9  ,     158
24744.3  ,     140
24768.8  ,     195
24793.2  ,     127
24817.6  ,     161
24842.1  ,     162
24866.5  ,     128
24890.9  ,     146
24915.3  ,     187
24939.8  ,     168
24964.2  ,     207
24988.6  ,     181
25013.1  ,     181
25037.5  ,     175
25061.9  ,     157
25086.3  ,     168
25110.8  ,     172
25135.2  ,     196
25159.6  ,     186
25184.1  ,     179
25208.5  ,     210
25232.9  ,     213
25257.3  ,     218
25281.8  ,     176
25306.2  ,     196
25330.6  ,     195
25355.1  ,     192
25379.5  ,     195
25403.9  ,     178
25428.3  ,     165
25452.8  ,     177
25477.2  ,  444166
