"Target: Grit_RP, Contains DAT files: APA_410805967ESC01500051902_______M2.DAT"
20562.4  ,      25
20586.8  ,      35
20611.3  ,      23
20635.7  ,      19
20660.2  ,      17
20684.6  ,      16
20709.1  ,      12
20733.5  ,       9
20758.0  ,      17
20782.5  ,      10
20806.9  ,      12
20831.4  ,       9
20855.8  ,      10
20880.3  ,       7
20904.7  ,       9
20929.2  ,       9
20953.6  ,      10
20978.1  ,       9
21002.5  ,       9
21027.0  ,       8
21051.4  ,       6
21075.9  ,      11
21100.3  ,       7
21124.8  ,       9
21149.2  ,       4
21173.7  ,      11
21198.1  ,      17
21222.6  ,      10
21247.0  ,      17
21271.5  ,      13
21296.0  ,      25
21320.4  ,      30
21344.9  ,      25
21369.3  ,      25
21393.8  ,      41
21418.2  ,      31
21442.7  ,      44
21467.1  ,      37
21491.6  ,      23
21516.0  ,      19
21540.5  ,      32
21564.9  ,      15
21589.4  ,      11
21613.8  ,      14
21638.3  ,       7
21662.7  ,       8
21687.2  ,      10
21711.6  ,       7
21736.1  ,       1
21760.6  ,       4
21785.0  ,       6
21809.5  ,       3
21833.9  ,       3
21858.4  ,       4
21882.8  ,       5
21907.3  ,       5
21931.7  ,       3
21956.2  ,       4
21980.6  ,       4
22005.1  ,       2
22029.5  ,       3
22054.0  ,       8
22078.4  ,       8
22102.9  ,      11
22127.3  ,      14
22151.8  ,      14
22176.2  ,      11
22200.7  ,      11
22225.2  ,       9
22249.6  ,       9
22274.1  ,      10
22298.5  ,       9
22323.0  ,       8
22347.4  ,       6
22371.9  ,       2
22396.3  ,       1
22420.8  ,       4
22445.2  ,       8
22469.7  ,       5
22494.1  ,       1
22518.6  ,       3
22543.0  ,       5
22567.5  ,       3
22591.9  ,       1
22616.4  ,       4
22640.8  ,       2
22665.3  ,       2
22689.8  ,       4
22714.2  ,       7
22738.7  ,       3
22763.1  ,       1
22787.6  ,       5
22812.0  ,       3
22836.5  ,       4
22860.9  ,       3
22885.4  ,       4
22909.8  ,       4
22934.3  ,       4
22958.7  ,       7
22983.2  ,       2
23007.6  ,       5
23032.1  ,       2
23056.5  ,       6
23081.0  ,       4
23105.4  ,       6
23129.9  ,       2
23154.4  ,       4
23178.8  ,       4
23203.3  ,       1
23227.7  ,       6
23252.2  ,       7
23276.6  ,       4
23301.1  ,       4
23325.5  ,       8
23350.0  ,       0
23374.4  ,       5
23398.9  ,       2
23423.3  ,       5
23447.8  ,       6
23472.2  ,       2
23496.7  ,       3
23521.1  ,       1
23545.6  ,       5
23570.0  ,       5
23594.5  ,       6
23619.0  ,       7
23643.4  ,       0
23667.9  ,       2
23692.3  ,       3
23716.8  ,       4
23741.2  ,       4
23765.7  ,       5
23790.1  ,       4
23814.6  ,       2
23839.0  ,       5
23863.5  ,       4
23887.9  ,       5
23912.4  ,       6
23936.8  ,       2
23961.3  ,       1
23985.7  ,       5
24010.2  ,       6
24034.6  ,       5
24059.1  ,       7
24083.6  ,       6
24108.0  ,       2
24132.5  ,       2
24156.9  ,       3
24181.4  ,       1
24205.8  ,       3
24230.3  ,       5
24254.7  ,       7
24279.2  ,       3
24303.6  ,       4
24328.1  ,       6
24352.5  ,       2
24377.0  ,       4
24401.4  ,       3
24425.9  ,       2
24450.3  ,       1
24474.8  ,       3
24499.2  ,       2
24523.7  ,       2
24548.1  ,       1
24572.6  ,       1
24597.1  ,       5
24621.5  ,       6
24646.0  ,       8
24670.4  ,       2
24694.9  ,       4
24719.3  ,       2
24743.8  ,       2
24768.2  ,       2
24792.7  ,       1
24817.1  ,       4
24841.6  ,       0
24866.0  ,       5
24890.5  ,       8
24914.9  ,       7
24939.4  ,       3
24963.8  ,       5
24988.3  ,       6
25012.7  ,       5
25037.2  ,       2
25061.7  ,       5
25086.1  ,       3
25110.6  ,       8
25135.0  ,       7
25159.5  ,       3
25183.9  ,       4
25208.4  ,       3
25232.8  ,       4
25257.3  ,       7
25281.7  ,       2
25306.2  ,       4
25330.6  ,       5
25355.1  ,       9
25379.5  ,       4
25404.0  ,       4
25428.4  ,       5
25452.9  ,       5
25477.3  ,       2
25501.8  ,   10175
