"Target: Brock_Inlier_RP, Contains DAT files: APA_412492605ESC01690060000_______M2.DAT"
13688.6  ,     117
13713.0  ,      96
13737.5  ,      78
13761.9  ,      84
13786.4  ,      60
13810.8  ,      70
13835.3  ,      57
13859.7  ,      60
13884.2  ,      46
13908.6  ,      43
13933.1  ,      55
13957.5  ,      31
13982.0  ,      57
14006.5  ,      39
14030.9  ,      51
14055.4  ,      72
14079.8  ,      86
14104.3  ,     112
14128.7  ,     117
14153.2  ,     129
14177.6  ,     159
14202.1  ,     174
14226.5  ,     197
14251.0  ,     240
14275.4  ,     232
14299.9  ,     211
14324.3  ,     187
14348.8  ,     192
14373.2  ,     141
14397.7  ,      84
14422.1  ,      79
14446.6  ,      59
14471.0  ,      36
14495.5  ,      30
14519.9  ,      13
14544.4  ,      11
14568.8  ,      13
14593.3  ,      12
14617.7  ,      12
14642.2  ,      10
14666.6  ,       7
14691.1  ,      12
14715.6  ,      11
14740.0  ,       5
14764.5  ,      14
14788.9  ,       7
14813.4  ,      18
14837.8  ,      15
14862.3  ,      12
14886.7  ,      20
14911.2  ,      13
14935.6  ,      15
14960.1  ,      20
14984.5  ,      14
15009.0  ,      20
15033.4  ,      17
15057.9  ,      20
15082.3  ,      18
15106.8  ,      18
15131.2  ,      16
15155.7  ,      14
15180.1  ,      19
15204.6  ,      19
15229.0  ,      15
15253.5  ,      14
15277.9  ,      13
15302.4  ,      16
15326.8  ,      21
15351.3  ,      21
15375.8  ,      17
15400.2  ,      21
15424.7  ,      28
15449.1  ,      21
15473.6  ,      31
15498.0  ,      25
15522.5  ,      42
15546.9  ,      46
15571.4  ,      60
15595.8  ,      69
15620.3  ,     120
15644.7  ,     135
15669.2  ,     160
15693.6  ,     196
15718.1  ,     210
15742.5  ,     246
15767.0  ,     215
15791.4  ,     191
15815.9  ,     179
15840.3  ,     178
15864.8  ,     134
15889.2  ,     103
15913.7  ,      81
15938.1  ,      91
15962.6  ,      53
15987.0  ,      49
16011.5  ,      56
16036.0  ,      43
16060.4  ,      50
16084.9  ,      76
16109.3  ,      56
16133.8  ,      52
16158.2  ,      59
16182.7  ,      68
16207.1  ,      52
16231.6  ,      55
16256.0  ,      66
16280.5  ,      71
16304.9  ,      68
16329.4  ,      63
16353.8  ,      67
16378.3  ,      71
16402.7  ,      69
16427.2  ,      57
16451.6  ,      50
16476.1  ,      57
16500.5  ,      66
16525.0  ,      55
16549.4  ,      47
16573.9  ,      68
16598.3  ,      56
16622.8  ,      66
16647.2  ,      81
16671.7  ,      69
16696.1  ,      87
16720.6  ,      65
16745.1  ,      81
16769.5  ,      84
16794.0  ,      88
16818.4  ,      96
16842.9  ,     116
16867.3  ,      94
16891.8  ,     111
16916.2  ,     124
16940.7  ,     134
16965.1  ,     122
16989.6  ,     139
17014.0  ,     145
17038.5  ,     159
17062.9  ,     145
17087.4  ,     149
17111.8  ,     157
17136.3  ,     168
17160.7  ,     175
17185.2  ,     192
17209.6  ,     195
17234.1  ,     174
17258.5  ,     173
17283.0  ,     189
17307.4  ,     167
17331.9  ,     132
17356.3  ,     124
17380.8  ,     130
17405.3  ,     102
17429.7  ,     109
17454.2  ,      86
17478.6  ,      64
17503.1  ,      70
17527.5  ,      77
17552.0  ,      87
17576.4  ,      61
17600.9  ,      70
17625.3  ,      82
17649.8  ,      64
17674.2  ,      78
17698.7  ,      67
17723.1  ,      61
17747.6  ,      57
17772.0  ,      46
17796.5  ,      48
17820.9  ,      45
17845.4  ,      45
17869.8  ,      30
17894.3  ,      33
17918.7  ,      39
17943.2  ,      29
17967.6  ,      26
17992.1  ,      25
18016.5  ,      25
18041.0  ,      31
18065.5  ,      28
