"Target: Kelso, Contains DAT files: APB_468650567ESC08020441140_______M1.DAT"
15161.0  ,     152
15185.4  ,     145
15209.8  ,     144
15234.3  ,     133
15258.7  ,     171
15283.1  ,     156
15307.5  ,     172
15331.9  ,     161
15356.4  ,     188
15380.8  ,     190
15405.2  ,     199
15429.6  ,     198
15454.0  ,     222
15478.5  ,     263
15502.9  ,     348
15527.3  ,     337
15551.7  ,     457
15576.1  ,     639
15600.6  ,     830
15625.0  ,     982
15649.4  ,    1233
15673.8  ,    1451
15698.3  ,    1606
15722.7  ,    1687
15747.1  ,    1713
15771.5  ,    1794
15795.9  ,    1544
15820.4  ,    1398
15844.8  ,    1231
15869.2  ,     979
15893.6  ,     757
15918.0  ,     628
15942.5  ,     478
15966.9  ,     470
15991.3  ,     404
16015.7  ,     385
16040.1  ,     401
16064.6  ,     402
16089.0  ,     409
16113.4  ,     427
16137.8  ,     466
16162.3  ,     482
16186.7  ,     439
16211.1  ,     507
16235.5  ,     474
16259.9  ,     522
16284.4  ,     484
16308.8  ,     483
16333.2  ,     519
16357.6  ,     544
16382.0  ,     519
16406.5  ,     505
16430.9  ,     488
16455.3  ,     528
16479.7  ,     502
16504.2  ,     522
16528.6  ,     479
16553.0  ,     521
16577.4  ,     487
16601.8  ,     518
16626.3  ,     545
16650.7  ,     573
16675.1  ,     531
16699.5  ,     604
16723.9  ,     617
16748.4  ,     739
16772.8  ,     698
16797.2  ,     744
16821.6  ,     796
16846.0  ,     915
16870.5  ,     900
16894.9  ,     976
16919.3  ,     985
16943.7  ,    1032
16968.2  ,    1147
16992.6  ,    1207
17017.0  ,    1194
17041.4  ,    1293
17065.8  ,    1298
17090.3  ,    1432
17114.7  ,    1354
17139.1  ,    1376
17163.5  ,    1458
17187.9  ,    1493
17212.4  ,    1460
17236.8  ,    1477
17261.2  ,    1340
17285.6  ,    1334
17310.0  ,    1223
17334.5  ,    1153
17358.9  ,    1053
17383.3  ,     901
17407.7  ,     897
17432.2  ,     739
17456.6  ,     725
17481.0  ,     658
17505.4  ,     624
17529.8  ,     575
17554.3  ,     612
17578.7  ,     618
17603.1  ,     624
17627.5  ,     567
17651.9  ,     586
17676.4  ,     547
17700.8  ,     528
17725.2  ,     505
17749.6  ,     462
17774.0  ,     428
17798.5  ,     351
17822.9  ,     303
17847.3  ,     266
17871.7  ,     250
17896.2  ,     256
17920.6  ,     252
17945.0  ,     268
17969.4  ,     235
17993.8  ,     303
18018.3  ,     278
18042.7  ,     301
18067.1  ,     298
18091.5  ,     362
18115.9  ,     461
18140.4  ,     578
18164.8  ,     708
18189.2  ,     878
18213.6  ,    1029
18238.0  ,    1229
18262.5  ,    1304
18286.9  ,    1342
18311.3  ,    1322
18335.7  ,    1246
18360.2  ,    1097
18384.6  ,     933
18409.0  ,     737
18433.4  ,     561
18457.8  ,     395
18482.3  ,     305
18506.7  ,     194
18531.1  ,     142
18555.5  ,     132
18579.9  ,      92
18604.4  ,      79
18628.8  ,      72
18653.2  ,      74
18677.6  ,      71
18702.1  ,      61
18726.5  ,      72
18750.9  ,      84
18775.3  ,      87
18799.7  ,      77
18824.2  ,      69
18848.6  ,      80
18873.0  ,      79
18897.4  ,      74
18921.8  ,      68
18946.3  ,      71
18970.7  ,      91
18995.1  ,      67
19019.5  ,      95
19043.9  ,      96
19068.4  ,      94
19092.8  ,      92
19117.2  ,     101
19141.6  ,     115
19166.1  ,     111
19190.5  ,     123
19214.9  ,     147
19239.3  ,     124
19263.7  ,     130
19288.2  ,     122
19312.6  ,     102
19337.0  ,     125
19361.4  ,     161
19385.8  ,     165
19410.3  ,     175
19434.7  ,     205
19459.1  ,     178
19483.5  ,     210
