"Target: Cumberland_DRT_RP_twk_preBrush, Contains DAT files: APB_423343606ESC02910060082_______M1.DAT"
19541.0  ,      26
19565.4  ,      15
19589.9  ,      25
19614.3  ,      28
19638.7  ,      26
19663.1  ,      24
19687.6  ,      24
19712.0  ,      25
19736.4  ,      19
19760.8  ,      27
19785.3  ,      23
19809.7  ,      41
19834.1  ,      34
19858.6  ,      31
19883.0  ,      27
19907.4  ,      23
19931.8  ,      31
19956.3  ,      24
19980.7  ,      20
20005.1  ,      27
20029.5  ,      20
20054.0  ,      20
20078.4  ,      21
20102.8  ,      26
20127.2  ,      20
20151.7  ,      22
20176.1  ,      26
20200.5  ,      23
20224.9  ,      13
20249.4  ,      18
20273.8  ,      20
20298.2  ,      21
20322.7  ,      19
20347.1  ,      17
20371.5  ,      19
20395.9  ,      16
20420.4  ,      18
20444.8  ,      21
20469.2  ,      14
20493.6  ,      17
20518.1  ,       9
20542.5  ,      17
20566.9  ,       8
20591.3  ,      12
20615.8  ,       6
20640.2  ,      12
20664.6  ,      15
20689.0  ,      13
20713.5  ,       9
20737.9  ,      10
20762.3  ,       8
20786.8  ,       6
20811.2  ,      12
20835.6  ,       5
20860.0  ,      10
20884.5  ,       8
20908.9  ,      10
20933.3  ,       4
20957.7  ,       9
20982.2  ,       6
21006.6  ,       5
21031.0  ,       6
21055.4  ,       1
21079.9  ,       4
21104.3  ,       4
21128.7  ,       4
21153.1  ,      12
21177.6  ,       4
21202.0  ,       6
21226.4  ,      10
21250.9  ,       8
21275.3  ,      10
21299.7  ,      14
21324.1  ,      17
21348.6  ,      29
21373.0  ,      23
21397.4  ,      20
21421.8  ,      22
21446.3  ,      21
21470.7  ,      16
21495.1  ,      13
21519.5  ,      19
21544.0  ,      19
21568.4  ,      16
21592.8  ,       9
21617.2  ,      14
21641.7  ,       9
21666.1  ,       7
21690.5  ,       5
21714.9  ,       4
21739.4  ,       4
21763.8  ,       6
21788.2  ,       2
21812.7  ,       3
21837.1  ,       6
21861.5  ,       6
21885.9  ,       5
21910.4  ,       5
21934.8  ,       5
21959.2  ,       5
21983.6  ,       3
22008.1  ,       2
22032.5  ,       4
22056.9  ,       8
22081.3  ,       6
22105.8  ,       3
22130.2  ,       2
22154.6  ,       5
22179.0  ,       5
22203.5  ,       4
22227.9  ,       7
22252.3  ,       3
22276.8  ,       6
22301.2  ,       0
22325.6  ,       4
22350.0  ,       6
22374.5  ,       5
22398.9  ,       1
22423.3  ,       3
22447.7  ,       3
22472.2  ,       4
22496.6  ,       3
22521.0  ,       0
22545.4  ,       7
22569.9  ,       3
22594.3  ,       4
22618.7  ,       2
22643.1  ,       5
22667.6  ,       2
22692.0  ,       1
22716.4  ,       1
22740.9  ,       5
22765.3  ,       1
22789.7  ,       3
22814.1  ,       2
22838.6  ,       1
22863.0  ,       4
22887.4  ,       4
22911.8  ,       1
22936.3  ,       1
22960.7  ,       3
22985.1  ,       2
23009.5  ,       0
23034.0  ,       2
23058.4  ,       2
23082.8  ,       0
23107.2  ,       2
23131.7  ,       4
23156.1  ,       5
23180.5  ,       2
23205.0  ,       4
23229.4  ,       1
23253.8  ,       1
23278.2  ,       2
23302.7  ,       2
23327.1  ,       4
23351.5  ,       2
23375.9  ,       5
23400.4  ,       6
23424.8  ,       2
23449.2  ,       3
23473.6  ,       0
23498.1  ,       4
23522.5  ,       4
23546.9  ,       2
23571.3  ,       1
23595.8  ,       3
23620.2  ,       1
23644.6  ,       2
23669.1  ,       1
23693.5  ,       0
23717.9  ,       2
23742.3  ,       5
23766.8  ,       4
23791.2  ,       2
23815.6  ,       2
23840.0  ,       3
23864.5  ,       3
23888.9  ,       2
23913.3  ,       2
23937.7  ,       1
23962.2  ,       2
23986.6  ,       5
24011.0  ,       4
24035.4  ,       2
24059.9  ,       1
24084.3  ,       1
24108.7  ,       3
24133.2  ,       3
24157.6  ,       4
24182.0  ,       1
24206.4  ,       3
24230.9  ,       4
24255.3  ,       3
24279.7  ,       4
24304.1  ,       4
24328.6  ,       3
24353.0  ,       2
24377.4  ,       2
24401.8  ,       2
24426.3  ,       2
24450.7  ,       4
24475.1  ,       5
24499.5  ,       0
24524.0  ,       3
24548.4  ,       1
24572.8  ,       1
24597.3  ,       0
24621.7  ,       1
24646.1  ,       1
24670.5  ,       2
24695.0  ,       1
24719.4  ,       7
24743.8  ,       2
24768.2  ,       3
24792.7  ,       3
24817.1  ,       1
24841.5  ,       4
24865.9  ,       1
24890.4  ,       4
24914.8  ,       3
24939.2  ,       2
24963.6  ,       2
24988.1  ,       4
25012.5  ,       2
25036.9  ,       0
25061.4  ,       4
25085.8  ,       1
25110.2  ,       2
25134.6  ,       2
25159.1  ,       5
25183.5  ,       3
25207.9  ,       5
25232.3  ,       1
25256.8  ,       6
25281.2  ,       5
25305.6  ,       4
25330.0  ,       5
25354.5  ,       4
25378.9  ,       1
25403.3  ,       7
25427.7  ,      11
25452.2  ,       0
25476.6  ,    7139
