"Target: McGrath_center, Contains DAT files: APB_421512512ESC02710060000_______M2.DAT"
20250.4  ,     420
20274.8  ,     429
20299.2  ,     414
20323.5  ,     386
20347.9  ,     399
20372.3  ,     372
20396.6  ,     387
20421.0  ,     359
20445.4  ,     365
20469.7  ,     323
20494.1  ,     325
20518.5  ,     333
20542.9  ,     317
20567.2  ,     310
20591.6  ,     285
20616.0  ,     322
20640.3  ,     278
20664.7  ,     286
20689.1  ,     277
20713.4  ,     294
20737.8  ,     233
20762.2  ,     248
20786.5  ,     206
20810.9  ,     244
20835.3  ,     218
20859.6  ,     184
20884.0  ,     181
20908.4  ,     155
20932.7  ,     159
20957.1  ,     156
20981.5  ,     142
21005.8  ,     136
21030.2  ,     130
21054.6  ,     150
21078.9  ,     154
21103.3  ,     135
21127.7  ,     143
21152.0  ,     158
21176.4  ,     147
21200.8  ,     185
21225.1  ,     231
21249.5  ,     244
21273.9  ,     296
21298.3  ,     317
21322.6  ,     391
21347.0  ,     428
21371.4  ,     519
21395.7  ,     531
21420.1  ,     550
21444.5  ,     568
21468.8  ,     538
21493.2  ,     516
21517.6  ,     480
21541.9  ,     417
21566.3  ,     328
21590.7  ,     283
21615.0  ,     242
21639.4  ,     166
21663.8  ,     150
21688.1  ,     120
21712.5  ,     105
21736.9  ,     101
21761.2  ,      87
21785.6  ,      93
21810.0  ,      96
21834.3  ,      73
21858.7  ,      92
21883.1  ,      96
21907.4  ,      81
21931.8  ,     103
21956.2  ,      86
21980.5  ,     108
22004.9  ,      94
22029.3  ,     149
22053.7  ,     135
22078.0  ,     136
22102.4  ,     149
22126.8  ,     165
22151.1  ,     147
22175.5  ,     154
22199.9  ,     168
22224.2  ,     139
22248.6  ,     123
22273.0  ,     135
22297.3  ,     121
22321.7  ,      92
22346.1  ,     109
22370.4  ,      77
22394.8  ,      60
22419.2  ,      71
22443.5  ,      65
22467.9  ,      69
22492.3  ,      59
22516.6  ,      64
22541.0  ,      64
22565.4  ,      57
22589.7  ,      56
22614.1  ,      45
22638.5  ,      60
22662.8  ,      59
22687.2  ,      64
22711.6  ,      73
22735.9  ,      53
22760.3  ,      56
22784.7  ,      60
22809.1  ,      70
22833.4  ,      68
22857.8  ,      64
22882.2  ,      61
22906.5  ,      70
22930.9  ,      55
22955.3  ,      51
22979.6  ,      61
23004.0  ,      66
23028.4  ,      65
23052.7  ,      64
23077.1  ,      60
23101.5  ,      56
23125.8  ,      74
23150.2  ,      67
23174.6  ,      64
23198.9  ,      52
23223.3  ,      61
23247.7  ,      53
23272.0  ,      67
23296.4  ,      61
23320.8  ,      60
23345.1  ,      56
23369.5  ,      44
23393.9  ,      70
23418.2  ,      58
23442.6  ,      50
23467.0  ,      69
23491.3  ,      65
23515.7  ,      65
23540.1  ,      49
23564.5  ,      57
23588.8  ,      61
23613.2  ,      61
23637.6  ,      75
23661.9  ,      63
23686.3  ,      45
23710.7  ,      54
23735.0  ,      63
23759.4  ,      66
23783.8  ,      62
23808.1  ,      73
23832.5  ,      58
23856.9  ,      53
23881.2  ,      58
23905.6  ,      61
23930.0  ,      57
23954.3  ,      50
23978.7  ,      48
24003.1  ,      61
24027.4  ,      51
24051.8  ,      57
24076.2  ,      64
24100.5  ,      60
24124.9  ,      69
24149.3  ,      47
24173.6  ,      63
24198.0  ,      58
24222.4  ,      57
24246.7  ,      65
24271.1  ,      47
24295.5  ,      45
24319.9  ,      67
24344.2  ,      54
24368.6  ,      52
24393.0  ,      55
24417.3  ,      62
24441.7  ,      53
24466.1  ,      48
24490.4  ,      45
24514.8  ,      67
24539.2  ,      66
24563.5  ,      70
24587.9  ,      63
24612.3  ,      48
24636.6  ,      67
24661.0  ,      64
24685.4  ,      61
24709.7  ,      60
24734.1  ,      61
24758.5  ,      54
24782.8  ,      60
24807.2  ,      49
24831.6  ,      48
24855.9  ,      61
24880.3  ,      54
24904.7  ,      61
24929.0  ,      61
24953.4  ,      51
24977.8  ,      69
25002.1  ,      82
25026.5  ,      67
25050.9  ,      72
25075.3  ,      63
25099.6  ,      64
25124.0  ,      55
25148.4  ,      62
25172.7  ,      73
25197.1  ,      76
25221.5  ,      62
25245.8  ,      63
25270.2  ,      67
25294.6  ,      69
25318.9  ,      64
25343.3  ,      75
25367.7  ,      66
25392.0  ,      74
25416.4  ,  174405
