"Target: Eqalulik, Contains DAT files: APB_426205423ESC03230060804_______M2.DAT"
19676.0  ,     675
19700.5  ,     708
19724.9  ,     724
19749.3  ,     686
19773.7  ,     779
19798.1  ,     768
19822.5  ,     786
19847.0  ,     702
19871.4  ,     716
19895.8  ,     762
19920.2  ,     713
19944.6  ,     716
19969.0  ,     732
19993.5  ,     747
20017.9  ,     656
20042.3  ,     643
20066.7  ,     585
20091.1  ,     622
20115.5  ,     532
20139.9  ,     579
20164.4  ,     510
20188.8  ,     473
20213.2  ,     441
20237.6  ,     501
20262.0  ,     468
20286.4  ,     434
20310.9  ,     449
20335.3  ,     416
20359.7  ,     436
20384.1  ,     398
20408.5  ,     377
20432.9  ,     373
20457.4  ,     400
20481.8  ,     325
20506.2  ,     354
20530.6  ,     339
20555.0  ,     301
20579.4  ,     306
20603.8  ,     295
20628.3  ,     348
20652.7  ,     268
20677.1  ,     279
20701.5  ,     270
20725.9  ,     250
20750.3  ,     267
20774.8  ,     225
20799.2  ,     250
20823.6  ,     198
20848.0  ,     207
20872.4  ,     221
20896.8  ,     168
20921.3  ,     175
20945.7  ,     159
20970.1  ,     174
20994.5  ,     160
21018.9  ,     167
21043.3  ,     147
21067.8  ,     148
21092.2  ,     141
21116.6  ,     132
21141.0  ,     144
21165.4  ,     124
21189.8  ,     174
21214.2  ,     194
21238.7  ,     233
21263.1  ,     316
21287.5  ,     318
21311.9  ,     405
21336.3  ,     465
21360.7  ,     524
21385.2  ,     599
21409.6  ,     638
21434.0  ,     658
21458.4  ,     623
21482.8  ,     586
21507.2  ,     529
21531.7  ,     449
21556.1  ,     375
21580.5  ,     305
21604.9  ,     249
21629.3  ,     174
21653.7  ,     144
21678.1  ,     126
21702.6  ,     111
21727.0  ,      93
21751.4  ,      97
21775.8  ,      85
21800.2  ,      94
21824.6  ,      93
21849.1  ,      97
21873.5  ,      97
21897.9  ,     102
21922.3  ,      94
21946.7  ,      98
21971.1  ,      76
21995.6  ,      95
22020.0  ,     119
22044.4  ,     131
22068.8  ,     144
22093.2  ,     173
22117.6  ,     152
22142.0  ,     191
22166.5  ,     204
22190.9  ,     181
22215.3  ,     173
22239.7  ,     171
22264.1  ,     144
22288.5  ,     142
22313.0  ,     125
22337.4  ,      94
22361.8  ,      76
22386.2  ,      76
22410.6  ,      74
22435.0  ,      63
22459.5  ,      73
22483.9  ,      78
22508.3  ,      74
22532.7  ,      68
22557.1  ,      63
22581.5  ,      60
22605.9  ,      66
22630.4  ,      61
22654.8  ,      61
22679.2  ,      62
22703.6  ,      62
22728.0  ,      60
22752.4  ,      66
22776.9  ,      76
22801.3  ,      55
22825.7  ,      65
22850.1  ,      67
22874.5  ,      71
22898.9  ,      59
22923.4  ,      69
22947.8  ,      75
22972.2  ,      56
22996.6  ,      73
23021.0  ,      69
23045.4  ,      65
23069.8  ,      80
23094.3  ,      73
23118.7  ,      59
23143.1  ,      70
23167.5  ,      77
23191.9  ,      68
23216.3  ,      65
23240.8  ,      69
23265.2  ,      65
23289.6  ,      77
23314.0  ,      61
23338.4  ,      67
23362.8  ,      71
23387.3  ,      66
23411.7  ,      69
23436.1  ,      65
23460.5  ,      64
23484.9  ,      62
23509.3  ,      63
23533.7  ,      52
23558.2  ,      58
23582.6  ,      72
23607.0  ,      73
23631.4  ,      66
23655.8  ,      60
23680.2  ,      57
23704.7  ,      67
23729.1  ,      72
23753.5  ,      67
23777.9  ,      62
23802.3  ,      61
23826.7  ,      65
23851.2  ,      62
23875.6  ,      57
23900.0  ,      67
23924.4  ,      64
23948.8  ,      62
23973.2  ,      67
23997.7  ,      55
24022.1  ,      67
24046.5  ,      60
24070.9  ,      76
24095.3  ,      54
24119.7  ,      62
24144.1  ,      67
24168.6  ,      66
24193.0  ,      47
24217.4  ,      69
24241.8  ,      50
24266.2  ,      58
24290.6  ,      61
24315.1  ,      73
24339.5  ,      67
24363.9  ,      64
24388.3  ,      72
24412.7  ,      66
24437.1  ,      63
24461.6  ,      61
24486.0  ,      70
24510.4  ,      65
24534.8  ,      56
24559.2  ,      64
24583.6  ,      59
24608.0  ,      61
24632.5  ,      54
24656.9  ,      70
24681.3  ,      61
24705.7  ,      71
24730.1  ,      62
24754.5  ,      60
24779.0  ,      70
24803.4  ,      65
24827.8  ,      50
24852.2  ,      63
24876.6  ,      71
24901.0  ,      58
24925.5  ,      84
24949.9  ,      76
24974.3  ,      52
24998.7  ,      68
25023.1  ,      70
25047.5  ,      72
25071.9  ,      78
25096.4  ,      73
25120.8  ,      83
25145.2  ,      71
25169.6  ,      79
25194.0  ,      74
25218.4  ,      73
25242.9  ,      85
25267.3  ,      87
25291.7  ,      73
25316.1  ,      67
25340.5  ,      72
25364.9  ,      87
25389.4  ,      87
25413.8  ,      68
25438.2  ,      82
25462.6  ,  189031
