"Target: Aillik_RP, Contains DAT files: APB_426124444ESC03230060804_______M2.DAT"
16852.5  ,    2196
16876.9  ,    2365
16901.3  ,    2345
16925.8  ,    2546
16950.2  ,    2625
16974.6  ,    2794
16999.0  ,    2996
17023.5  ,    3062
17047.9  ,    3207
17072.3  ,    3316
17096.7  ,    3488
17121.2  ,    3449
17145.6  ,    3620
17170.0  ,    3652
17194.5  ,    3737
17218.9  ,    3699
17243.3  ,    3627
17267.7  ,    3570
17292.2  ,    3485
17316.6  ,    3282
17341.0  ,    2950
17365.4  ,    2638
17389.9  ,    2405
17414.3  ,    2007
17438.7  ,    1872
17463.2  ,    1682
17487.6  ,    1620
17512.0  ,    1524
17536.4  ,    1546
17560.9  ,    1485
17585.3  ,    1564
17609.7  ,    1481
17634.2  ,    1611
17658.6  ,    1536
17683.0  ,    1430
17707.4  ,    1381
17731.9  ,    1303
17756.3  ,    1086
17780.7  ,    1008
17805.1  ,     876
17829.6  ,     806
17854.0  ,     729
17878.4  ,     723
17902.9  ,     682
17927.3  ,     696
17951.7  ,     716
17976.1  ,     623
18000.6  ,     650
18025.0  ,     643
18049.4  ,     666
18073.8  ,     781
18098.3  ,     869
18122.7  ,    1090
18147.1  ,    1452
18171.6  ,    1788
18196.0  ,    2237
18220.4  ,    2806
18244.8  ,    3253
18269.3  ,    3479
18293.7  ,    3769
18318.1  ,    3680
18342.6  ,    3465
18367.0  ,    3001
18391.4  ,    2465
18415.8  ,    1918
18440.3  ,    1491
18464.7  ,    1071
18489.1  ,     736
18513.5  ,     529
18538.0  ,     384
18562.4  ,     289
18586.8  ,     246
18611.3  ,     196
18635.7  ,     227
18660.1  ,     192
18684.5  ,     194
18709.0  ,     193
18733.4  ,     181
18757.8  ,     222
18782.2  ,     201
18806.7  ,     165
18831.1  ,     219
18855.5  ,     207
18880.0  ,     230
18904.4  ,     230
18928.8  ,     210
18953.2  ,     221
18977.7  ,     226
19002.1  ,     228
19026.5  ,     239
19051.0  ,     264
19075.4  ,     252
19099.8  ,     254
19124.2  ,     248
19148.7  ,     269
19173.1  ,     285
19197.5  ,     282
19221.9  ,     318
19246.4  ,     311
19270.8  ,     323
19295.2  ,     345
19319.7  ,     396
19344.1  ,     365
19368.5  ,     360
19392.9  ,     398
19417.4  ,     414
19441.8  ,     447
19466.2  ,     488
19490.6  ,     516
19515.1  ,     508
19539.5  ,     613
19563.9  ,     590
19588.4  ,     635
19612.8  ,     646
19637.2  ,     711
19661.6  ,     720
19686.1  ,     762
19710.5  ,     766
19734.9  ,     828
19759.3  ,     866
19783.8  ,     811
19808.2  ,     859
19832.6  ,     829
19857.1  ,     857
19881.5  ,     866
19905.9  ,     806
19930.3  ,     755
19954.8  ,     789
19979.2  ,     719
20003.6  ,     716
20028.1  ,     734
20052.5  ,     685
20076.9  ,     694
20101.3  ,     675
20125.8  ,     601
20150.2  ,     591
20174.6  ,     603
20199.0  ,     569
20223.5  ,     563
20247.9  ,     497
20272.3  ,     462
20296.8  ,     500
20321.2  ,     453
20345.6  ,     479
20370.0  ,     463
20394.5  ,     409
20418.9  ,     403
20443.3  ,     421
20467.7  ,     393
20492.2  ,     400
20516.6  ,     377
