"Target: Nova_RP, Contains DAT files: APB_458532061ESC06880390000_______M1.DAT"
13588.4  ,    1588
13612.7  ,    1567
13637.1  ,    1446
13661.4  ,    1430
13685.8  ,    1339
13710.1  ,    1194
13734.5  ,    1128
13758.8  ,     926
13783.2  ,     936
13807.5  ,     893
13831.9  ,     794
13856.2  ,     708
13880.6  ,     659
13904.9  ,     640
13929.3  ,     680
13953.6  ,     724
13978.0  ,     739
14002.3  ,     824
14026.7  ,     935
14051.0  ,     968
14075.4  ,    1081
14099.7  ,    1321
14124.1  ,    1482
14148.4  ,    1567
14172.8  ,    1804
14197.1  ,    2039
14221.5  ,    2137
14245.9  ,    2098
14270.2  ,    2107
14294.6  ,    2008
14318.9  ,    1808
14343.3  ,    1590
14367.6  ,    1278
14392.0  ,     967
14416.3  ,     681
14440.7  ,     528
14465.0  ,     377
14489.4  ,     272
14513.7  ,     243
14538.1  ,     146
14562.4  ,     144
14586.8  ,     147
14611.1  ,     108
14635.5  ,     114
14659.8  ,     115
14684.2  ,     120
14708.5  ,     129
14732.9  ,     122
14757.2  ,     143
14781.6  ,     145
14805.9  ,     162
14830.3  ,     176
14854.6  ,     184
14879.0  ,     192
14903.3  ,     225
14927.7  ,     246
14952.0  ,     213
14976.4  ,     211
15000.7  ,     223
15025.1  ,     189
15049.4  ,     205
15073.8  ,     199
15098.2  ,     196
15122.5  ,     187
15146.9  ,     213
15171.2  ,     208
15195.6  ,     191
15219.9  ,     209
15244.3  ,     215
15268.6  ,     210
15293.0  ,     223
15317.3  ,     261
15341.7  ,     284
15366.0  ,     276
15390.4  ,     325
15414.7  ,     298
15439.1  ,     339
15463.4  ,     387
15487.8  ,     459
15512.1  ,     499
15536.5  ,     623
15560.8  ,     713
15585.2  ,     895
15609.5  ,    1050
15633.9  ,    1243
15658.2  ,    1367
15682.6  ,    1565
15706.9  ,    1735
15731.3  ,    1862
15755.6  ,    1850
15780.0  ,    1715
15804.3  ,    1672
15828.7  ,    1478
15853.0  ,    1359
15877.4  ,    1099
15901.7  ,     959
15926.1  ,     754
15950.5  ,     756
15974.8  ,     656
15999.2  ,     659
16023.5  ,     592
16047.9  ,     664
16072.2  ,     660
16096.6  ,     650
16120.9  ,     718
16145.3  ,     699
16169.6  ,     750
16194.0  ,     740
16218.3  ,     779
16242.7  ,     754
16267.0  ,     758
16291.4  ,     754
