"Target: Cumberland_dump_pile_center, Contains DAT files: APB_440781134ESC04880240366_______M2.DAT"
20317.2  ,     101
20341.6  ,      99
20366.0  ,     100
20390.4  ,     101
20414.8  ,     104
20439.2  ,      97
20463.6  ,      91
20487.9  ,      83
20512.3  ,      94
20536.7  ,      96
20561.1  ,      71
20585.5  ,      85
20609.9  ,      78
20634.3  ,      76
20658.7  ,      76
20683.1  ,      79
20707.5  ,      79
20731.9  ,      58
20756.3  ,      68
20780.7  ,      52
20805.1  ,      59
20829.5  ,      55
20853.9  ,      46
20878.3  ,      44
20902.6  ,      51
20927.0  ,      43
20951.4  ,      45
20975.8  ,      33
21000.2  ,      30
21024.6  ,      39
21049.0  ,      45
21073.4  ,      39
21097.8  ,      34
21122.2  ,      41
21146.6  ,      36
21171.0  ,      42
21195.4  ,      35
21219.8  ,      58
21244.2  ,      59
21268.6  ,      86
21292.9  ,      92
21317.3  ,     124
21341.7  ,     116
21366.1  ,     139
21390.5  ,     131
21414.9  ,     165
21439.3  ,     163
21463.7  ,     152
21488.1  ,     131
21512.5  ,     113
21536.9  ,      95
21561.3  ,      75
21585.7  ,      57
21610.1  ,      44
21634.5  ,      39
21658.9  ,      38
21683.2  ,      24
21707.6  ,      38
21732.0  ,      28
21756.4  ,      27
21780.8  ,      27
21805.2  ,      18
21829.6  ,      23
21854.0  ,      24
21878.4  ,      31
21902.8  ,      30
21927.2  ,      28
21951.6  ,      19
21976.0  ,      31
22000.4  ,      30
22024.8  ,      42
22049.2  ,      42
22073.5  ,      39
22097.9  ,      44
22122.3  ,      45
22146.7  ,      59
22171.1  ,      44
22195.5  ,      52
22219.9  ,      48
22244.3  ,      31
22268.7  ,      19
22293.1  ,      36
22317.5  ,      30
22341.9  ,      19
22366.3  ,      20
22390.7  ,      20
22415.1  ,      20
22439.5  ,      11
22463.9  ,      18
22488.2  ,      19
22512.6  ,      22
22537.0  ,      18
22561.4  ,      25
22585.8  ,      14
22610.2  ,      14
22634.6  ,      12
22659.0  ,      28
22683.4  ,      18
22707.8  ,      21
22732.2  ,      25
22756.6  ,      14
22781.0  ,      29
22805.4  ,      23
22829.8  ,      18
22854.2  ,      21
22878.5  ,      19
22902.9  ,      20
22927.3  ,      23
22951.7  ,      17
22976.1  ,      23
23000.5  ,      26
23024.9  ,      19
23049.3  ,      26
23073.7  ,      21
23098.1  ,      22
23122.5  ,      20
23146.9  ,      20
23171.3  ,      13
23195.7  ,      16
23220.1  ,      15
23244.5  ,      23
23268.8  ,      23
23293.2  ,      24
23317.6  ,      21
23342.0  ,      10
23366.4  ,      17
23390.8  ,      18
23415.2  ,      23
23439.6  ,      24
23464.0  ,      14
23488.4  ,      17
23512.8  ,      21
23537.2  ,      14
23561.6  ,      24
23586.0  ,      17
23610.4  ,      18
23634.8  ,      34
23659.1  ,      21
23683.5  ,      18
23707.9  ,      23
23732.3  ,      17
23756.7  ,      17
23781.1  ,      23
23805.5  ,      22
23829.9  ,      15
23854.3  ,      25
23878.7  ,      25
23903.1  ,      22
23927.5  ,      23
23951.9  ,      21
23976.3  ,      23
24000.7  ,      24
24025.1  ,      18
24049.5  ,      23
24073.8  ,      27
24098.2  ,      28
24122.6  ,      18
24147.0  ,      11
24171.4  ,      20
24195.8  ,      16
24220.2  ,      23
24244.6  ,      21
24269.0  ,      14
24293.4  ,      11
24317.8  ,      23
24342.2  ,      19
24366.6  ,      18
24391.0  ,      20
24415.4  ,      20
24439.8  ,       9
24464.1  ,      15
24488.5  ,      27
24512.9  ,      20
24537.3  ,      22
24561.7  ,      25
24586.1  ,      18
24610.5  ,      19
24634.9  ,      16
24659.3  ,      22
24683.7  ,      21
24708.1  ,      13
24732.5  ,      23
24756.9  ,      22
24781.3  ,      17
24805.7  ,      23
24830.1  ,      18
24854.4  ,      26
24878.8  ,      20
