"Target: Okoruso_full_drill_tailings, Contains DAT files: APB_516238368ESC13380540938_______M1.DAT"
20142.3  ,     417
20166.7  ,     388
20191.0  ,     399
20215.4  ,     385
20239.7  ,     373
20264.1  ,     331
20288.5  ,     316
20312.8  ,     328
20337.2  ,     339
20361.5  ,     333
20385.9  ,     285
20410.2  ,     287
20434.6  ,     259
20459.0  ,     290
20483.3  ,     240
20507.7  ,     259
20532.0  ,     250
20556.4  ,     234
20580.7  ,     243
20605.1  ,     209
20629.4  ,     216
20653.8  ,     223
20678.2  ,     221
20702.5  ,     233
20726.9  ,     202
20751.2  ,     182
20775.6  ,     184
20799.9  ,     176
20824.3  ,     164
20848.7  ,     149
20873.0  ,     141
20897.4  ,     149
20921.7  ,     122
20946.1  ,     122
20970.4  ,     112
20994.8  ,     123
21019.2  ,     127
21043.5  ,     124
21067.9  ,     107
21092.2  ,     111
21116.6  ,     123
21140.9  ,     123
21165.3  ,     141
21189.7  ,     145
21214.0  ,     186
21238.4  ,     228
21262.7  ,     246
21287.1  ,     310
21311.4  ,     355
21335.8  ,     379
21360.2  ,     401
21384.5  ,     485
21408.9  ,     507
21433.2  ,     472
21457.6  ,     418
21481.9  ,     398
21506.3  ,     362
21530.7  ,     326
21555.0  ,     268
21579.4  ,     204
21603.7  ,     175
21628.1  ,     147
21652.4  ,     118
21676.8  ,     105
21701.2  ,      81
21725.5  ,      83
21749.9  ,      71
21774.2  ,      50
21798.6  ,      67
21822.9  ,      73
21847.3  ,      63
21871.7  ,      77
21896.0  ,      72
21920.4  ,     100
21944.7  ,      93
21969.1  ,      99
21993.4  ,     102
22017.8  ,      96
22042.1  ,     109
22066.5  ,     132
22090.9  ,     155
22115.2  ,     135
22139.6  ,     135
22163.9  ,     119
22188.3  ,     123
22212.6  ,     130
22237.0  ,     111
22261.4  ,      97
22285.7  ,      84
22310.1  ,      71
22334.4  ,      86
22358.8  ,      68
22383.1  ,      56
22407.5  ,      61
22431.9  ,      63
22456.2  ,      57
22480.6  ,      56
22504.9  ,      57
22529.3  ,      50
22553.6  ,      37
22578.0  ,      58
22602.4  ,      58
22626.7  ,      43
22651.1  ,      42
22675.4  ,      51
22699.8  ,      59
22724.1  ,      41
22748.5  ,      52
22772.9  ,      38
22797.2  ,      50
22821.6  ,      37
22845.9  ,      47
22870.3  ,      46
22894.6  ,      50
22919.0  ,      41
22943.4  ,      54
22967.7  ,      52
22992.1  ,      58
23016.4  ,      55
23040.8  ,      50
23065.1  ,      47
23089.5  ,      41
23113.9  ,      48
23138.2  ,      37
23162.6  ,      51
23186.9  ,      49
23211.3  ,      34
23235.6  ,      57
23260.0  ,      32
23284.4  ,      64
23308.7  ,      40
23333.1  ,      53
23357.4  ,      40
23381.8  ,      52
23406.1  ,      44
23430.5  ,      54
23454.8  ,      41
23479.2  ,      49
23503.6  ,      48
23527.9  ,      49
23552.3  ,      56
23576.6  ,      42
23601.0  ,      53
23625.3  ,      42
23649.7  ,      42
23674.1  ,      36
23698.4  ,      51
23722.8  ,      41
23747.1  ,      41
23771.5  ,      44
23795.8  ,      60
23820.2  ,      64
23844.6  ,      49
23868.9  ,      59
23893.3  ,      45
23917.6  ,      48
23942.0  ,      44
23966.3  ,      44
23990.7  ,      62
24015.1  ,      49
24039.4  ,      52
24063.8  ,      48
24088.1  ,      47
24112.5  ,      37
24136.8  ,      45
24161.2  ,      47
24185.6  ,      57
24209.9  ,      49
24234.3  ,      57
24258.6  ,      39
24283.0  ,      55
24307.3  ,      48
24331.7  ,      37
24356.1  ,      38
24380.4  ,      43
24404.8  ,      54
24429.1  ,      44
24453.5  ,      47
24477.8  ,      39
24502.2  ,      45
24526.6  ,      42
24550.9  ,      43
24575.3  ,      44
24599.6  ,      49
24624.0  ,      48
24648.3  ,      48
24672.7  ,      53
24697.1  ,      56
24721.4  ,      59
24745.8  ,      54
24770.1  ,      43
24794.5  ,      47
24818.8  ,      61
24843.2  ,      53
24867.5  ,      55
24891.9  ,      54
24916.3  ,      50
24940.6  ,      58
24965.0  ,      53
24989.3  ,      65
25013.7  ,      46
25038.0  ,      45
25062.4  ,      68
25086.8  ,      48
25111.1  ,      50
25135.5  ,      48
25159.8  ,      60
25184.2  ,      67
25208.5  ,      87
25232.9  ,      55
25257.3  ,      59
25281.6  ,      44
25306.0  ,      64
25330.3  ,      69
25354.7  ,      55
25379.0  ,      70
25403.4  ,  146557
