"Target: Mavor, Contains DAT files: APA_411516167ESC01580051954_______M2.DAT"
18077.4  ,      34
18101.8  ,      46
18126.2  ,      45
18150.7  ,      56
18175.1  ,      68
18199.5  ,     100
18224.0  ,     113
18248.4  ,     117
18272.8  ,     156
18297.3  ,     156
18321.7  ,     132
18346.1  ,     118
18370.6  ,     119
18395.0  ,      97
18419.4  ,      78
18443.9  ,      61
18468.3  ,      40
18492.7  ,      24
18517.2  ,      22
18541.6  ,      11
18566.0  ,      16
18590.5  ,       6
18614.9  ,       9
18639.3  ,      17
18663.8  ,       9
18688.2  ,      15
18712.6  ,       6
18737.1  ,       6
18761.5  ,       5
18786.0  ,       3
18810.4  ,       4
18834.8  ,      11
18859.3  ,      11
18883.7  ,       5
18908.1  ,       6
18932.6  ,      13
18957.0  ,       9
18981.4  ,      13
19005.9  ,      10
19030.3  ,      10
19054.7  ,       9
19079.2  ,      12
19103.6  ,      10
19128.0  ,      11
19152.5  ,      12
19176.9  ,      11
19201.3  ,      16
19225.8  ,      16
19250.2  ,      17
19274.6  ,      16
19299.1  ,      19
19323.5  ,      15
19347.9  ,      16
19372.4  ,      12
19396.8  ,      19
19421.2  ,      26
19445.7  ,      14
19470.1  ,      18
19494.5  ,      17
19519.0  ,      14
19543.4  ,      27
19567.8  ,      29
19592.3  ,      22
19616.7  ,      39
19641.1  ,      36
19665.6  ,      22
19690.0  ,      42
19714.4  ,      40
19738.9  ,      26
19763.3  ,      27
19787.8  ,      45
19812.2  ,      36
19836.6  ,      40
19861.1  ,      32
19885.5  ,      30
19909.9  ,      35
19934.4  ,      39
19958.8  ,      29
19983.2  ,      26
20007.7  ,      28
20032.1  ,      30
20056.5  ,      37
20081.0  ,      23
20105.4  ,      29
20129.8  ,      29
20154.3  ,      26
20178.7  ,      24
20203.1  ,      22
20227.6  ,      32
20252.0  ,      21
20276.4  ,      16
20300.9  ,      30
20325.3  ,      27
20349.7  ,      18
20374.2  ,      16
20398.6  ,      13
20423.0  ,      19
20447.5  ,      25
20471.9  ,      21
20496.3  ,      21
20520.8  ,      22
20545.2  ,      19
20569.6  ,       8
20594.1  ,      13
20618.5  ,      16
20642.9  ,      17
20667.4  ,      15
20691.8  ,      12
20716.2  ,      11
20740.7  ,      15
20765.1  ,       5
20789.5  ,       6
20814.0  ,      13
20838.4  ,       6
20862.9  ,       7
20887.3  ,      10
20911.7  ,       7
20936.2  ,       9
20960.6  ,       9
20985.0  ,       6
21009.5  ,       8
21033.9  ,       9
21058.3  ,       9
21082.8  ,       7
21107.2  ,       5
21131.6  ,       4
21156.1  ,      12
21180.5  ,       7
21204.9  ,       9
21229.4  ,      12
21253.8  ,      12
21278.2  ,      23
21302.7  ,      16
21327.1  ,      29
21351.5  ,      21
21376.0  ,      28
21400.4  ,      33
21424.8  ,      30
21449.3  ,      30
21473.7  ,      31
21498.1  ,      22
21522.6  ,      17
21547.0  ,      31
21571.4  ,       8
21595.9  ,       9
21620.3  ,       6
21644.7  ,       7
21669.2  ,      10
21693.6  ,       9
21718.0  ,       5
21742.5  ,       6
21766.9  ,       6
21791.3  ,       5
21815.8  ,       7
21840.2  ,       5
21864.7  ,       5
21889.1  ,       5
21913.5  ,       3
21938.0  ,       2
21962.4  ,       5
21986.8  ,       4
22011.3  ,       3
22035.7  ,       3
22060.1  ,       9
22084.6  ,       5
22109.0  ,       9
22133.4  ,      12
22157.9  ,       8
22182.3  ,       6
22206.7  ,      11
22231.2  ,      10
22255.6  ,       3
22280.0  ,       9
22304.5  ,       1
22328.9  ,       5
22353.3  ,       2
22377.8  ,       7
22402.2  ,       1
22426.6  ,       3
22451.1  ,       2
22475.5  ,       4
22499.9  ,       2
22524.4  ,       5
22548.8  ,       2
22573.2  ,       2
22597.7  ,       4
22622.1  ,       4
22646.5  ,       6
22671.0  ,       1
22695.4  ,       0
22719.8  ,       2
22744.3  ,       4
22768.7  ,       3
22793.1  ,       3
22817.6  ,       2
22842.0  ,       2
22866.4  ,       5
22890.9  ,       3
22915.3  ,       3
22939.8  ,       2
22964.2  ,       3
22988.6  ,       6
23013.1  ,       1
23037.5  ,       3
23061.9  ,       4
23086.4  ,       5
23110.8  ,       5
23135.2  ,       1
23159.7  ,       2
23184.1  ,       6
23208.5  ,       5
23233.0  ,       3
23257.4  ,       2
23281.8  ,       5
23306.3  ,       4
23330.7  ,       1
23355.1  ,       5
23379.6  ,       3
23404.0  ,       5
23428.4  ,       2
23452.9  ,       1
23477.3  ,       2
23501.7  ,       1
23526.2  ,       3
23550.6  ,       2
23575.0  ,       4
23599.5  ,       2
23623.9  ,       1
23648.3  ,       2
23672.8  ,       4
23697.2  ,       2
23721.6  ,       1
23746.1  ,       3
23770.5  ,       4
23794.9  ,       2
23819.4  ,       2
23843.8  ,       5
23868.2  ,       2
23892.7  ,       2
23917.1  ,       3
23941.5  ,       2
23966.0  ,       2
23990.4  ,       4
24014.9  ,       1
24039.3  ,       4
24063.7  ,       6
24088.2  ,       0
24112.6  ,       3
24137.0  ,       3
24161.5  ,       5
24185.9  ,       4
24210.3  ,       4
24234.8  ,       4
24259.2  ,       2
24283.6  ,       3
24308.1  ,       3
24332.5  ,       3
24356.9  ,       2
24381.4  ,       2
24405.8  ,       3
24430.2  ,       4
24454.7  ,       7
24479.1  ,       3
24503.5  ,       3
24528.0  ,       3
24552.4  ,       7
24576.8  ,       2
24601.3  ,       5
24625.7  ,       4
24650.1  ,       0
24674.6  ,       3
24699.0  ,       0
24723.4  ,       2
24747.9  ,       5
24772.3  ,       1
24796.7  ,       5
24821.2  ,       1
24845.6  ,       4
24870.0  ,       0
24894.5  ,       2
24918.9  ,       3
24943.3  ,       1
24967.8  ,       6
24992.2  ,       6
25016.7  ,       4
25041.1  ,       6
25065.5  ,       3
25090.0  ,       3
25114.4  ,       8
25138.8  ,       5
25163.3  ,       4
25187.7  ,       7
25212.1  ,       5
25236.6  ,       8
25261.0  ,       2
25285.4  ,       4
25309.9  ,       4
25334.3  ,       7
25358.7  ,       4
25383.2  ,       3
25407.6  ,       4
25432.0  ,       4
25456.5  ,       4
25480.9  ,    8623
