"Target: Albert, Contains DAT files: APB_484092240ESC09760470598_______M1.DAT"
20920.9  ,     146
20945.4  ,     129
20969.8  ,     139
20994.2  ,     125
21018.6  ,     136
21043.0  ,     131
21067.4  ,     127
21091.9  ,     131
21116.3  ,     151
21140.7  ,     151
21165.1  ,     156
21189.5  ,     165
21213.9  ,     208
21238.4  ,     211
21262.8  ,     250
21287.2  ,     298
21311.6  ,     351
21336.0  ,     407
21360.4  ,     446
21384.9  ,     483
21409.3  ,     501
21433.7  ,     524
21458.1  ,     507
21482.5  ,     424
21506.9  ,     394
21531.4  ,     335
21555.8  ,     289
21580.2  ,     266
21604.6  ,     188
21629.0  ,     170
21653.4  ,     138
21677.9  ,     102
21702.3  ,      97
21726.7  ,     102
21751.1  ,     106
21775.5  ,      77
21799.9  ,      82
21824.4  ,      69
21848.8  ,      89
21873.2  ,      54
21897.6  ,      89
21922.0  ,      81
21946.4  ,      85
21970.9  ,     116
21995.3  ,     118
22019.7  ,     126
22044.1  ,     129
22068.5  ,     133
22092.9  ,     147
22117.3  ,     146
22141.8  ,     176
22166.2  ,     181
22190.6  ,     159
22215.0  ,     138
22239.4  ,     127
22263.8  ,     124
22288.3  ,     106
22312.7  ,      99
22337.1  ,      87
22361.5  ,      84
22385.9  ,      79
22410.3  ,      66
22434.8  ,      64
22459.2  ,      72
22483.6  ,      57
22508.0  ,      65
22532.4  ,      73
22556.8  ,      66
22581.3  ,      55
22605.7  ,      72
22630.1  ,      66
22654.5  ,      48
22678.9  ,      65
22703.3  ,      74
22727.8  ,      56
22752.2  ,      49
22776.6  ,      68
22801.0  ,      58
22825.4  ,      51
22849.8  ,      67
22874.3  ,      58
22898.7  ,      62
22923.1  ,      66
22947.5  ,      62
22971.9  ,      69
22996.3  ,      70
23020.8  ,      52
23045.2  ,      68
23069.6  ,      57
23094.0  ,      54
23118.4  ,      63
23142.8  ,      63
23167.3  ,      61
23191.7  ,      68
23216.1  ,      63
23240.5  ,      69
23264.9  ,      65
23289.3  ,      60
23313.8  ,      76
23338.2  ,      64
23362.6  ,      56
23387.0  ,      56
23411.4  ,      47
23435.8  ,      60
23460.3  ,      58
23484.7  ,      52
23509.1  ,      68
23533.5  ,      73
23557.9  ,      66
23582.3  ,      56
23606.8  ,      53
23631.2  ,      88
23655.6  ,      71
23680.0  ,      63
23704.4  ,      74
23728.8  ,      64
23753.3  ,      63
23777.7  ,      50
23802.1  ,      62
23826.5  ,      60
23850.9  ,      55
23875.3  ,      63
23899.7  ,      66
23924.2  ,      55
23948.6  ,      64
23973.0  ,      56
23997.4  ,      68
24021.8  ,      51
24046.2  ,      67
24070.7  ,      80
24095.1  ,      64
24119.5  ,      58
24143.9  ,      61
24168.3  ,      58
24192.7  ,      54
24217.2  ,      55
