"Target: Glossopteris_Gully, Contains DAT files: APB_432964693ESC04000160148_______M2.DAT"
22402.4  ,      63
22426.7  ,      57
22451.1  ,      59
22475.4  ,      46
22499.8  ,      56
22524.1  ,      53
22548.5  ,      58
22572.8  ,      54
22597.2  ,      67
22621.5  ,      50
22645.9  ,      61
22670.2  ,      51
22694.6  ,      58
22718.9  ,      67
22743.3  ,      61
22767.6  ,      60
22792.0  ,      47
22816.3  ,      53
22840.7  ,      61
22865.0  ,      57
22889.4  ,      59
22913.7  ,      46
22938.1  ,      43
22962.4  ,      63
22986.8  ,      60
23011.1  ,      58
23035.5  ,      49
23059.8  ,      42
23084.2  ,      43
23108.5  ,      56
23132.9  ,      47
23157.2  ,      57
23181.6  ,      55
23205.9  ,      46
23230.3  ,      49
23254.6  ,      55
23279.0  ,      52
23303.3  ,      43
23327.7  ,      52
23352.0  ,      46
23376.4  ,      51
23400.7  ,      48
23425.1  ,      50
23449.4  ,      52
23473.8  ,      46
23498.2  ,      49
23522.5  ,      59
23546.9  ,      65
23571.2  ,      49
23595.6  ,      54
23619.9  ,      53
23644.3  ,      52
23668.6  ,      54
23693.0  ,      46
23717.3  ,      53
23741.7  ,      48
23766.0  ,      48
23790.4  ,      64
23814.7  ,      50
23839.1  ,      44
23863.4  ,      53
23887.8  ,      56
23912.1  ,      54
23936.5  ,      50
23960.8  ,      63
23985.2  ,      59
24009.5  ,      48
24033.9  ,      56
24058.2  ,      53
24082.6  ,      41
24106.9  ,      48
24131.3  ,      55
24155.6  ,      51
24180.0  ,      62
24204.3  ,      55
24228.7  ,      52
24253.0  ,      53
24277.4  ,      50
24301.7  ,      49
24326.1  ,      34
24350.4  ,      53
24374.8  ,      64
24399.1  ,      56
24423.5  ,      48
24447.8  ,      49
24472.2  ,      40
24496.5  ,      40
24520.9  ,      51
24545.2  ,      53
24569.6  ,      42
24593.9  ,      73
24618.3  ,      51
24642.6  ,      41
24667.0  ,      55
24691.3  ,      50
24715.7  ,      61
24740.0  ,      57
24764.4  ,      60
24788.7  ,      52
24813.1  ,      51
24837.4  ,      44
24861.8  ,      56
24886.1  ,      63
24910.5  ,      54
24934.8  ,      54
24959.2  ,      61
24983.5  ,      58
25007.9  ,      65
25032.2  ,      59
25056.6  ,      66
25080.9  ,      57
25105.3  ,      58
25129.6  ,      77
25154.0  ,      64
25178.3  ,      74
25202.7  ,      69
25227.0  ,      77
25251.4  ,      80
25275.7  ,      71
25300.1  ,      76
25324.4  ,      58
25348.8  ,      56
25373.1  ,      59
25397.5  ,  162874
