"Target: Ungava, Contains DAT files: APA_411166790ESC01540051954_______M2.DAT"
20137.5  ,      31
20162.0  ,      31
20186.4  ,      30
20210.9  ,      26
20235.4  ,      29
20259.9  ,      30
20284.4  ,      40
20308.9  ,      33
20333.4  ,      21
20357.9  ,      26
20382.4  ,      29
20406.9  ,      25
20431.4  ,      22
20455.9  ,      23
20480.4  ,      22
20504.9  ,      14
20529.4  ,      13
20553.9  ,      26
20578.4  ,      17
20602.9  ,      19
20627.4  ,      21
20651.9  ,      14
20676.4  ,      18
20700.8  ,      16
20725.3  ,      15
20749.8  ,      14
20774.3  ,      12
20798.8  ,      18
20823.3  ,      10
20847.8  ,      12
20872.3  ,      20
20896.8  ,       8
20921.3  ,       8
20945.8  ,       9
20970.3  ,      15
20994.8  ,      12
21019.3  ,      11
21043.8  ,       8
21068.3  ,       9
21092.8  ,       9
21117.3  ,       9
21141.8  ,       6
21166.3  ,      20
21190.8  ,      12
21215.2  ,      14
21239.7  ,      19
21264.2  ,      16
21288.7  ,      17
21313.2  ,      32
21337.7  ,      31
21362.2  ,      26
21386.7  ,      26
21411.2  ,      29
21435.7  ,      28
21460.2  ,      17
21484.7  ,      21
21509.2  ,      25
21533.7  ,      26
21558.2  ,      29
21582.7  ,      18
21607.2  ,      14
21631.7  ,      10
21656.2  ,      16
21680.7  ,      13
21705.2  ,      13
21729.6  ,      12
21754.1  ,      11
21778.6  ,       7
21803.1  ,       6
21827.6  ,       6
21852.1  ,       4
21876.6  ,      16
21901.1  ,       5
21925.6  ,       9
21950.1  ,       4
21974.6  ,       4
21999.1  ,       6
22023.6  ,       8
22048.1  ,      10
22072.6  ,       5
22097.1  ,       9
22121.6  ,       9
22146.1  ,      12
22170.6  ,       5
22195.1  ,      12
22219.6  ,       5
22244.0  ,       8
22268.5  ,       7
22293.0  ,       7
22317.5  ,       5
22342.0  ,       2
22366.5  ,       7
22391.0  ,       9
22415.5  ,       6
22440.0  ,       2
22464.5  ,       8
22489.0  ,       2
22513.5  ,       7
22538.0  ,       9
22562.5  ,       5
22587.0  ,       2
22611.5  ,       7
22636.0  ,       3
22660.5  ,       6
22685.0  ,       4
22709.5  ,       6
22734.0  ,       5
22758.4  ,       2
22782.9  ,       3
22807.4  ,       1
22831.9  ,       1
22856.4  ,      11
22880.9  ,       2
22905.4  ,       4
22929.9  ,       3
22954.4  ,       7
22978.9  ,       5
23003.4  ,       4
23027.9  ,       4
23052.4  ,       4
23076.9  ,       5
23101.4  ,       0
23125.9  ,       3
23150.4  ,       5
23174.9  ,       1
23199.4  ,       3
23223.9  ,       6
23248.4  ,       7
23272.8  ,       3
23297.3  ,       3
23321.8  ,       1
23346.3  ,       6
23370.8  ,       0
23395.3  ,       4
23419.8  ,       2
23444.3  ,       1
23468.8  ,       5
23493.3  ,       3
23517.8  ,       2
23542.3  ,       1
23566.8  ,       1
23591.3  ,       3
23615.8  ,       7
23640.3  ,       5
23664.8  ,       5
23689.3  ,       6
23713.8  ,       7
23738.3  ,       2
23762.8  ,       7
23787.2  ,       1
23811.7  ,       3
23836.2  ,       5
23860.7  ,       2
23885.2  ,       5
23909.7  ,       0
23934.2  ,       6
23958.7  ,       3
23983.2  ,       6
24007.7  ,       5
24032.2  ,       1
24056.7  ,       4
24081.2  ,       7
24105.7  ,       2
24130.2  ,       2
24154.7  ,       3
24179.2  ,       7
24203.7  ,       2
24228.2  ,       3
24252.7  ,       1
24277.1  ,       4
24301.6  ,       4
24326.1  ,       2
24350.6  ,       2
24375.1  ,       3
24399.6  ,       5
24424.1  ,       5
24448.6  ,       3
24473.1  ,       2
24497.6  ,       1
24522.1  ,       1
24546.6  ,       4
24571.1  ,       5
24595.6  ,       4
24620.1  ,       3
24644.6  ,       6
24669.1  ,       4
24693.6  ,       4
24718.1  ,       5
24742.6  ,       2
24767.1  ,       3
24791.5  ,       3
24816.0  ,       1
24840.5  ,       3
24865.0  ,       3
24889.5  ,       2
24914.0  ,       9
24938.5  ,       5
24963.0  ,       3
24987.5  ,       5
25012.0  ,       7
25036.5  ,       5
25061.0  ,       4
25085.5  ,       4
25110.0  ,       2
25134.5  ,       4
25159.0  ,       5
25183.5  ,       4
25208.0  ,       1
25232.5  ,       2
25257.0  ,       4
25281.5  ,       5
25305.9  ,       1
25330.4  ,       8
25354.9  ,       5
25379.4  ,       5
25403.9  ,       8
25428.4  ,       3
25452.9  ,       2
25477.4  ,       3
25501.9  ,       1
25526.4  ,       2
25550.9  ,   10125
