"Target: Mojave2_postsieve_dump, Contains DAT files: APB_476905000ESC08950450000_______M1.DAT"
13015.8  ,     592
13040.3  ,     659
13064.7  ,     702
13089.1  ,     750
13113.6  ,     843
13138.0  ,     908
13162.4  ,     959
13186.8  ,    1152
13211.3  ,    1282
13235.7  ,    1405
13260.1  ,    1488
13284.6  ,    1766
13309.0  ,    1908
13333.4  ,    2042
13357.8  ,    2165
13382.3  ,    2289
13406.7  ,    2437
13431.1  ,    2520
13455.6  ,    2695
13480.0  ,    2750
13504.4  ,    2739
13528.8  ,    2680
13553.3  ,    2799
13577.7  ,    2626
13602.1  ,    2629
13626.6  ,    2514
13651.0  ,    2362
13675.4  ,    2254
13699.8  ,    1985
13724.3  ,    1832
13748.7  ,    1691
13773.1  ,    1515
13797.5  ,    1370
13822.0  ,    1237
13846.4  ,    1129
13870.8  ,    1088
13895.3  ,    1025
13919.7  ,     980
13944.1  ,    1022
13968.5  ,    1035
13993.0  ,    1136
14017.4  ,    1316
14041.8  ,    1484
14066.3  ,    1621
14090.7  ,    1890
14115.1  ,    2105
14139.5  ,    2534
14164.0  ,    2921
14188.4  ,    3233
14212.8  ,    3721
14237.3  ,    4027
14261.7  ,    4116
14286.1  ,    4200
14310.5  ,    3669
14335.0  ,    3191
14359.4  ,    2579
14383.8  ,    2059
14408.3  ,    1448
14432.7  ,     984
14457.1  ,     731
14481.5  ,     464
14506.0  ,     371
14530.4  ,     239
14554.8  ,     235
14579.3  ,     225
14603.7  ,     203
14628.1  ,     223
14652.5  ,     212
14677.0  ,     241
14701.4  ,     210
14725.8  ,     239
14750.3  ,     256
14774.7  ,     257
14799.1  ,     287
14823.5  ,     295
14848.0  ,     333
14872.4  ,     336
14896.8  ,     319
14921.3  ,     333
14945.7  ,     358
14970.1  ,     343
14994.5  ,     358
15019.0  ,     296
15043.4  ,     318
15067.8  ,     329
15092.3  ,     341
15116.7  ,     328
15141.1  ,     327
15165.5  ,     311
15190.0  ,     326
15214.4  ,     366
15238.8  ,     372
15263.3  ,     387
15287.7  ,     395
15312.1  ,     440
15336.5  ,     455
15361.0  ,     465
15385.4  ,     484
15409.8  ,     560
15434.2  ,     571
15458.7  ,     592
15483.1  ,     720
15507.5  ,     802
15532.0  ,    1037
15556.4  ,    1326
15580.8  ,    1707
15605.2  ,    2041
15629.7  ,    2713
15654.1  ,    3062
15678.5  ,    3602
15703.0  ,    4010
15727.4  ,    4430
15751.8  ,    4486
15776.2  ,    4288
15800.7  ,    3948
15825.1  ,    3576
15849.5  ,    2986
15874.0  ,    2489
15898.4  ,    2041
15922.8  ,    1604
15947.2  ,    1287
15971.7  ,    1165
15996.1  ,    1044
16020.5  ,    1006
16045.0  ,    1021
16069.4  ,    1047
16093.8  ,    1095
16118.2  ,    1109
16142.7  ,    1168
16167.1  ,    1175
16191.5  ,    1204
16216.0  ,    1303
16240.4  ,    1275
16264.8  ,    1314
16289.2  ,    1267
16313.7  ,    1301
16338.1  ,    1301
16362.5  ,    1317
16387.0  ,    1298
16411.4  ,    1245
16435.8  ,    1215
16460.2  ,    1261
16484.7  ,    1323
16509.1  ,    1228
16533.5  ,    1314
16558.0  ,    1371
16582.4  ,    1337
16606.8  ,    1326
16631.2  ,    1325
16655.7  ,    1453
16680.1  ,    1500
16704.5  ,    1591
16729.0  ,    1715
16753.4  ,    1849
16777.8  ,    1915
16802.2  ,    2074
16826.7  ,    2168
16851.1  ,    2409
16875.5  ,    2528
16900.0  ,    2643
16924.4  ,    2702
16948.8  ,    2892
16973.2  ,    3108
16997.7  ,    3149
17022.1  ,    3159
17046.5  ,    3297
17070.9  ,    3494
17095.4  ,    3551
17119.8  ,    3535
17144.2  ,    3578
17168.7  ,    3730
17193.1  ,    3644
17217.5  ,    3702
17241.9  ,    3573
17266.4  ,    3430
17290.8  ,    3268
17315.2  ,    3053
17339.7  ,    2717
17364.1  ,    2522
17388.5  ,    2190
17412.9  ,    2075
17437.4  ,    1861
17461.8  ,    1707
17486.2  ,    1614
17510.7  ,    1500
17535.1  ,    1446
17559.5  ,    1451
17583.9  ,    1444
17608.4  ,    1507
17632.8  ,    1509
17657.2  ,    1481
17681.7  ,    1404
17706.1  ,    1337
17730.5  ,    1255
17754.9  ,    1103
17779.4  ,     972
17803.8  ,     828
17828.2  ,     796
17852.7  ,     686
17877.1  ,     667
17901.5  ,     651
17925.9  ,     639
17950.4  ,     686
17974.8  ,     679
17999.2  ,     689
18023.7  ,     693
18048.1  ,     718
18072.5  ,     835
18096.9  ,     901
18121.4  ,    1082
18145.8  ,    1295
18170.2  ,    1590
18194.7  ,    2037
18219.1  ,    2375
18243.5  ,    2625
18267.9  ,    2916
18292.4  ,    3065
18316.8  ,    2977
18341.2  ,    2820
18365.7  ,    2274
18390.1  ,    2024
18414.5  ,    1570
18438.9  ,    1218
18463.4  ,     887
18487.8  ,     638
18512.2  ,     418
18536.6  ,     356
18561.1  ,     263
18585.5  ,     217
18609.9  ,     185
18634.4  ,     203
18658.8  ,     202
18683.2  ,     174
18707.6  ,     175
18732.1  ,     136
18756.5  ,     170
18780.9  ,     183
18805.4  ,     181
18829.8  ,     189
18854.2  ,     199
18878.6  ,     193
18903.1  ,     207
18927.5  ,     195
18951.9  ,     209
18976.4  ,     217
19000.8  ,     219
19025.2  ,     258
19049.6  ,     230
19074.1  ,     232
19098.5  ,     228
19122.9  ,     258
19147.4  ,     282
19171.8  ,     268
19196.2  ,     313
19220.6  ,     301
19245.1  ,     321
19269.5  ,     325
19293.9  ,     343
19318.4  ,     356
19342.8  ,     386
19367.2  ,     410
19391.6  ,     427
19416.1  ,     518
19440.5  ,     519
19464.9  ,     522
19489.4  ,     577
19513.8  ,     559
19538.2  ,     616
19562.6  ,     590
19587.1  ,     658
19611.5  ,     692
19635.9  ,     713
19660.4  ,     787
19684.8  ,     800
19709.2  ,     770
19733.6  ,     864
19758.1  ,     868
19782.5  ,     864
19806.9  ,     810
19831.4  ,     842
19855.8  ,     815
19880.2  ,     828
19904.6  ,     798
19929.1  ,     838
19953.5  ,     799
19977.9  ,     792
20002.4  ,     764
20026.8  ,     687
20051.2  ,     661
20075.6  ,     701
20100.1  ,     620
20124.5  ,     655
20148.9  ,     545
20173.3  ,     619
20197.8  ,     561
20222.2  ,     559
20246.6  ,     445
20271.1  ,     485
20295.5  ,     475
20319.9  ,     496
20344.3  ,     437
20368.8  ,     418
20393.2  ,     426
20417.6  ,     375
20442.1  ,     393
20466.5  ,     408
20490.9  ,     360
20515.3  ,     376
20539.8  ,     348
20564.2  ,     339
20588.6  ,     311
20613.1  ,     321
20637.5  ,     326
20661.9  ,     302
20686.3  ,     290
20710.8  ,     284
20735.2  ,     269
20759.6  ,     260
20784.1  ,     247
20808.5  ,     251
20832.9  ,     204
20857.3  ,     200
20881.8  ,     196
20906.2  ,     188
20930.6  ,     177
20955.1  ,     157
20979.5  ,     139
21003.9  ,     163
21028.3  ,     143
21052.8  ,     153
21077.2  ,     129
21101.6  ,     140
21126.1  ,     171
21150.5  ,     159
21174.9  ,     180
21199.3  ,     200
21223.8  ,     209
21248.2  ,     246
21272.6  ,     279
21297.1  ,     360
21321.5  ,     427
21345.9  ,     492
21370.3  ,     534
21394.8  ,     605
21419.2  ,     612
21443.6  ,     623
21468.1  ,     643
21492.5  ,     502
21516.9  ,     439
21541.3  ,     387
21565.8  ,     361
21590.2  ,     235
21614.6  ,     203
21639.0  ,     158
21663.5  ,     117
21687.9  ,     114
21712.3  ,      88
21736.8  ,      96
21761.2  ,      78
21785.6  ,      93
21810.0  ,      90
21834.5  ,      76
21858.9  ,      92
21883.3  ,      87
21907.8  ,      76
21932.2  ,      77
21956.6  ,     101
21981.0  ,      84
22005.5  ,     114
22029.9  ,     129
22054.3  ,     125
22078.8  ,     127
22103.2  ,     174
22127.6  ,     179
22152.0  ,     155
22176.5  ,     155
22200.9  ,     169
22225.3  ,     133
22249.8  ,     163
22274.2  ,     125
22298.6  ,     108
22323.0  ,      93
22347.5  ,      67
22371.9  ,      76
22396.3  ,      72
22420.8  ,      65
22445.2  ,      53
22469.6  ,      60
22494.0  ,      64
22518.5  ,      52
22542.9  ,      58
22567.3  ,      52
22591.8  ,      63
22616.2  ,      61
22640.6  ,      51
22665.0  ,      39
22689.5  ,      61
22713.9  ,      52
22738.3  ,      55
22762.8  ,      52
22787.2  ,      54
22811.6  ,      57
22836.0  ,      54
22860.5  ,      54
22884.9  ,      34
22909.3  ,      60
