"Target: Hudson_Bay_dust_free, Contains DAT files: APA_411786284ESC01610051986_______M2.DAT"
25018.9  ,       6
25043.3  ,       3
25067.8  ,       4
25092.2  ,       5
25116.7  ,       3
25141.2  ,       4
25165.6  ,       6
25190.1  ,       3
25214.5  ,       3
25239.0  ,       4
25263.4  ,       2
25287.9  ,       7
25312.3  ,       4
25336.8  ,       4
25361.3  ,       5
25385.7  ,       5
25410.2  ,       5
25434.6  ,       2
25459.1  ,       7
25483.5  ,       6
25508.0  ,   10057
