"Target: Bonnet_Plume_2_and_APXS_RP, Contains DAT files: APA_411782708ESC01610051986_______M2.DAT"
22601.7  ,       6
22626.2  ,       1
22650.6  ,       5
22675.0  ,       5
22699.5  ,       4
22723.9  ,       1
22748.3  ,       3
22772.8  ,       3
22797.2  ,       7
22821.6  ,       3
22846.1  ,       4
22870.5  ,       4
22895.0  ,       4
22919.4  ,       3
22943.8  ,       4
22968.3  ,       4
22992.7  ,       1
23017.1  ,       6
23041.6  ,       6
23066.0  ,       7
23090.4  ,       5
23114.9  ,       3
23139.3  ,       5
23163.8  ,       5
23188.2  ,       1
23212.6  ,       3
23237.1  ,       2
23261.5  ,       1
23285.9  ,       3
23310.4  ,       1
23334.8  ,       4
23359.2  ,       4
23383.7  ,       5
23408.1  ,       4
23432.6  ,       2
23457.0  ,       5
23481.4  ,       3
23505.9  ,       3
23530.3  ,       1
23554.7  ,       1
23579.2  ,       4
23603.6  ,       5
23628.0  ,       2
23652.5  ,       1
23676.9  ,       4
23701.4  ,       3
23725.8  ,       3
23750.2  ,       4
23774.7  ,       1
23799.1  ,       3
23823.5  ,       4
23848.0  ,       5
23872.4  ,       4
23896.8  ,       2
23921.3  ,       3
23945.7  ,       4
23970.2  ,       2
23994.6  ,       3
24019.0  ,       2
24043.5  ,       6
24067.9  ,       6
24092.3  ,       2
24116.8  ,       0
24141.2  ,       2
24165.6  ,       1
24190.1  ,       1
24214.5  ,       7
24239.0  ,       5
24263.4  ,       3
24287.8  ,       1
24312.3  ,       5
24336.7  ,       0
24361.1  ,       3
24385.6  ,       6
24410.0  ,       3
24434.4  ,       3
24458.9  ,       3
24483.3  ,       1
24507.7  ,       4
24532.2  ,       4
24556.6  ,       5
24581.1  ,       3
24605.5  ,       1
24629.9  ,       3
24654.4  ,       3
24678.8  ,       3
24703.2  ,       3
24727.7  ,       1
24752.1  ,       2
24776.5  ,       5
24801.0  ,       6
24825.4  ,       4
24849.9  ,       1
24874.3  ,       4
24898.7  ,       5
24923.2  ,       2
24947.6  ,       3
24972.0  ,       2
24996.5  ,       1
25020.9  ,       3
25045.3  ,       6
25069.8  ,       2
25094.2  ,       5
25118.7  ,       1
25143.1  ,       4
25167.5  ,       4
25192.0  ,       3
25216.4  ,       1
25240.8  ,       5
25265.3  ,       2
25289.7  ,       2
25314.1  ,       4
25338.6  ,       4
25363.0  ,       6
25387.5  ,       1
25411.9  ,       4
25436.3  ,       6
25460.8  ,       8
25485.2  ,    9174
