"Target: Mojave_DRT_raster2, Contains DAT files: APB_469359455ESC08100441432_______M1.DAT"
13990.6  ,    1287
14015.0  ,    1461
14039.4  ,    1692
14063.9  ,    1868
14088.3  ,    2132
14112.7  ,    2415
14137.1  ,    2672
14161.5  ,    3201
14186.0  ,    3546
14210.4  ,    4291
14234.8  ,    4425
14259.2  ,    4707
14283.7  ,    4628
14308.1  ,    4213
14332.5  ,    3594
14356.9  ,    3145
14381.3  ,    2309
14405.8  ,    1720
14430.2  ,    1126
14454.6  ,     800
14479.0  ,     567
14503.5  ,     408
14527.9  ,     294
14552.3  ,     242
14576.7  ,     239
14601.2  ,     224
14625.6  ,     250
14650.0  ,     261
14674.4  ,     235
14698.8  ,     278
14723.3  ,     276
14747.7  ,     299
14772.1  ,     287
14796.5  ,     336
14821.0  ,     337
14845.4  ,     342
14869.8  ,     357
14894.2  ,     367
14918.6  ,     365
14943.1  ,     417
14967.5  ,     389
14991.9  ,     399
15016.3  ,     389
15040.8  ,     404
15065.2  ,     367
15089.6  ,     327
15114.0  ,     340
15138.4  ,     393
15162.9  ,     379
15187.3  ,     362
15211.7  ,     398
15236.1  ,     435
15260.6  ,     415
15285.0  ,     467
15309.4  ,     436
15333.8  ,     459
15358.3  ,     506
15382.7  ,     572
15407.1  ,     557
15431.5  ,     616
15455.9  ,     712
15480.4  ,     718
15504.8  ,     965
15529.2  ,    1151
15553.6  ,    1374
15578.1  ,    1794
15602.5  ,    2323
15626.9  ,    2788
15651.3  ,    3363
15675.7  ,    3890
15700.2  ,    4414
15724.6  ,    4701
15749.0  ,    5026
15773.4  ,    4768
15797.9  ,    4368
15822.3  ,    3868
15846.7  ,    3278
15871.1  ,    2692
15895.5  ,    2064
15920.0  ,    1766
15944.4  ,    1478
15968.8  ,    1289
15993.2  ,    1171
16017.7  ,    1157
16042.1  ,    1083
16066.5  ,    1199
16090.9  ,    1174
16115.4  ,    1219
16139.8  ,    1279
16164.2  ,    1348
16188.6  ,    1393
16213.0  ,    1426
16237.5  ,    1430
16261.9  ,    1462
16286.3  ,    1506
16310.7  ,    1505
16335.2  ,    1562
16359.6  ,    1552
16384.0  ,    1482
16408.4  ,    1472
16432.8  ,    1382
16457.3  ,    1408
16481.7  ,    1407
16506.1  ,    1429
16530.5  ,    1493
16555.0  ,    1445
16579.4  ,    1469
16603.8  ,    1541
16628.2  ,    1574
16652.6  ,    1606
16677.1  ,    1678
16701.5  ,    1723
16725.9  ,    1871
16750.3  ,    1999
16774.8  ,    2083
16799.2  ,    2279
16823.6  ,    2413
16848.0  ,    2538
16872.5  ,    2687
16896.9  ,    2864
16921.3  ,    3085
16945.7  ,    3208
16970.1  ,    3393
16994.6  ,    3405
17019.0  ,    3591
17043.4  ,    3750
17067.8  ,    3809
17092.3  ,    4053
17116.7  ,    3969
17141.1  ,    4077
17165.5  ,    4169
17189.9  ,    4187
17214.4  ,    4152
17238.8  ,    4112
17263.2  ,    3970
17287.6  ,    3583
17312.1  ,    3385
17336.5  ,    3292
17360.9  ,    2968
17385.3  ,    2720
17409.7  ,    2315
17434.2  ,    2100
17458.6  ,    1938
17483.0  ,    1755
17507.4  ,    1672
17531.9  ,    1752
17556.3  ,    1634
17580.7  ,    1722
17605.1  ,    1727
17629.6  ,    1651
17654.0  ,    1623
17678.4  ,    1572
17702.8  ,    1554
17727.2  ,    1360
17751.7  ,    1221
17776.1  ,    1127
17800.5  ,     964
17824.9  ,     888
17849.4  ,     804
17873.8  ,     775
17898.2  ,     682
17922.6  ,     730
17947.0  ,     745
17971.5  ,     707
17995.9  ,     717
