"Target: Matthew, Contains DAT files: APB_429504116ESC03610120000_______M2.DAT"
16898.3  ,    2740
16922.6  ,    2824
16947.0  ,    3011
16971.3  ,    3118
16995.7  ,    3374
17020.0  ,    3230
17044.4  ,    3439
17068.8  ,    3509
17093.1  ,    3578
17117.5  ,    3639
17141.8  ,    3734
17166.2  ,    3823
17190.5  ,    3726
17214.9  ,    3603
17239.2  ,    3540
17263.6  ,    3607
17287.9  ,    3256
17312.3  ,    3063
17336.6  ,    2732
17361.0  ,    2459
17385.3  ,    2346
17409.7  ,    2029
17434.0  ,    1837
17458.4  ,    1783
17482.7  ,    1615
17507.1  ,    1585
17531.4  ,    1514
17555.8  ,    1545
17580.1  ,    1545
17604.5  ,    1635
17628.8  ,    1553
17653.2  ,    1500
17677.5  ,    1475
17701.9  ,    1467
17726.2  ,    1253
17750.6  ,    1091
17774.9  ,     992
17799.3  ,     899
17823.6  ,     769
17848.0  ,     721
17872.3  ,     668
17896.7  ,     640
17921.0  ,     666
17945.4  ,     627
17969.7  ,     665
17994.1  ,     672
18018.4  ,     650
18042.8  ,     702
18067.1  ,     761
18091.5  ,     945
18115.8  ,    1164
18140.2  ,    1384
18164.5  ,    1728
18188.9  ,    2030
18213.2  ,    2548
18237.6  ,    2854
18261.9  ,    2898
18286.3  ,    3049
18310.6  ,    3102
18335.0  ,    2854
18359.3  ,    2421
18383.7  ,    1959
18408.0  ,    1566
18432.4  ,    1253
18456.7  ,     880
18481.1  ,     652
18505.4  ,     492
18529.8  ,     403
18554.1  ,     278
18578.5  ,     227
18602.8  ,     205
18627.2  ,     210
18651.5  ,     174
18675.9  ,     198
18700.2  ,     185
18724.6  ,     190
18748.9  ,     186
18773.3  ,     206
18797.6  ,     175
18822.0  ,     193
18846.3  ,     204
18870.7  ,     227
18895.0  ,     215
18919.4  ,     209
18943.7  ,     244
18968.1  ,     223
18992.4  ,     242
19016.8  ,     282
19041.1  ,     249
19065.5  ,     247
19089.8  ,     266
19114.2  ,     290
19138.5  ,     259
19162.9  ,     294
19187.2  ,     299
19211.6  ,     289
19235.9  ,     357
19260.3  ,     353
19284.6  ,     409
19309.0  ,     377
19333.3  ,     397
19357.7  ,     444
19382.0  ,     457
19406.4  ,     459
19430.7  ,     509
19455.1  ,     515
19479.4  ,     607
19503.8  ,     578
19528.1  ,     628
19552.5  ,     658
19576.8  ,     696
19601.2  ,     697
19625.5  ,     740
19649.9  ,     784
19674.2  ,     836
19698.6  ,     792
19722.9  ,     794
19747.3  ,     897
19771.6  ,     840
19796.0  ,     909
19820.3  ,     883
19844.7  ,     875
19869.0  ,     822
19893.4  ,     864
19917.7  ,     792
19942.1  ,     804
19966.4  ,     799
19990.8  ,     781
20015.1  ,     737
20039.5  ,     712
20063.8  ,     707
20088.2  ,     681
20112.5  ,     612
20136.9  ,     653
20161.2  ,     561
20185.6  ,     569
20209.9  ,     531
20234.3  ,     552
20258.6  ,     506
20283.0  ,     529
20307.3  ,     505
20331.7  ,     448
20356.0  ,     460
20380.4  ,     430
20404.7  ,     462
20429.1  ,     408
20453.4  ,     434
20477.8  ,     426
20502.1  ,     367
20526.5  ,     361
20550.8  ,     350
20575.2  ,     376
20599.5  ,     346
20623.9  ,     366
20648.2  ,     341
20672.6  ,     342
20696.9  ,     333
20721.3  ,     303
20745.6  ,     262
20770.0  ,     235
20794.3  ,     230
20818.7  ,     240
20843.0  ,     215
20867.4  ,     184
20891.7  ,     210
20916.1  ,     202
20940.4  ,     174
20964.8  ,     182
20989.1  ,     163
21013.5  ,     170
21037.8  ,     128
21062.2  ,     163
21086.5  ,     147
21110.9  ,     166
21135.2  ,     155
21159.6  ,     182
21183.9  ,     206
21208.3  ,     239
21232.6  ,     247
21257.0  ,     306
21281.3  ,     360
21305.7  ,     421
21330.0  ,     493
21354.4  ,     532
21378.7  ,     623
21403.1  ,     619
21427.4  ,     616
21451.8  ,     599
21476.1  ,     527
21500.5  ,     511
21524.8  ,     412
21549.2  ,     335
21573.5  ,     279
21597.9  ,     191
21622.2  ,     171
21646.6  ,     149
21670.9  ,     103
21695.3  ,     116
21719.6  ,      95
21744.0  ,      91
21768.3  ,     102
21792.7  ,      84
21817.0  ,      92
21841.4  ,      86
21865.7  ,      92
21890.1  ,      74
21914.4  ,     101
21938.8  ,      88
21963.1  ,     122
21987.5  ,     111
22011.8  ,     102
22036.2  ,     153
22060.5  ,     174
22084.9  ,     162
22109.2  ,     172
22133.6  ,     181
22157.9  ,     192
22182.3  ,     165
22206.6  ,     138
22231.0  ,     154
22255.3  ,     148
22279.7  ,     121
22304.0  ,      90
22328.4  ,      90
22352.7  ,      94
22377.1  ,      82
22401.4  ,      62
22425.8  ,      77
22450.1  ,      59
