"Target: Oudam_post_sieve_dump_pile, Contains DAT files: APB_523504288ESC14190561236_______M1.DAT"
16682.2  ,    1065
16706.6  ,    1064
16731.0  ,    1182
16755.4  ,    1231
16779.7  ,    1346
16804.1  ,    1406
16828.5  ,    1550
16852.9  ,    1573
16877.3  ,    1750
16901.7  ,    1792
16926.1  ,    1909
16950.5  ,    1925
16974.9  ,    2008
16999.3  ,    2093
17023.7  ,    2218
17048.1  ,    2370
17072.5  ,    2376
17096.9  ,    2330
17121.3  ,    2456
17145.7  ,    2445
17170.1  ,    2581
17194.4  ,    2639
17218.8  ,    2583
17243.2  ,    2469
17267.6  ,    2405
17292.0  ,    2183
17316.4  ,    2160
17340.8  ,    1943
17365.2  ,    1724
17389.6  ,    1541
17414.0  ,    1434
17438.4  ,    1321
17462.8  ,    1198
17487.2  ,    1083
17511.6  ,    1096
17536.0  ,    1044
17560.4  ,    1094
17584.8  ,    1072
17609.2  ,    1119
17633.5  ,    1134
17657.9  ,    1154
17682.3  ,    1051
17706.7  ,     964
17731.1  ,     889
17755.5  ,     771
17779.9  ,     730
17804.3  ,     636
17828.7  ,     582
17853.1  ,     518
17877.5  ,     503
17901.9  ,     450
17926.3  ,     483
17950.7  ,     476
17975.1  ,     464
17999.5  ,     486
18023.9  ,     429
18048.2  ,     525
18072.6  ,     572
18097.0  ,     682
18121.4  ,     846
18145.8  ,    1099
18170.2  ,    1310
18194.6  ,    1634
18219.0  ,    1921
18243.4  ,    2195
18267.8  ,    2334
18292.2  ,    2450
18316.6  ,    2236
18341.0  ,    2048
18365.4  ,    1793
18389.8  ,    1473
18414.2  ,    1162
18438.6  ,     810
18462.9  ,     654
18487.3  ,     468
18511.7  ,     375
18536.1  ,     263
18560.5  ,     186
18584.9  ,     167
18609.3  ,     162
18633.7  ,     150
18658.1  ,     133
18682.5  ,     149
18706.9  ,     122
18731.3  ,     159
18755.7  ,     141
18780.1  ,     129
18804.5  ,     141
18828.9  ,     139
18853.3  ,     125
18877.7  ,     148
18902.0  ,     156
18926.4  ,     155
18950.8  ,     179
18975.2  ,     159
18999.6  ,     183
19024.0  ,     175
19048.4  ,     185
19072.8  ,     178
19097.2  ,     189
19121.6  ,     190
19146.0  ,     199
19170.4  ,     196
19194.8  ,     210
19219.2  ,     246
19243.6  ,     223
19268.0  ,     233
19292.4  ,     243
19316.7  ,     287
19341.1  ,     256
19365.5  ,     282
19389.9  ,     298
19414.3  ,     311
19438.7  ,     335
19463.1  ,     319
19487.5  ,     373
19511.9  ,     414
19536.3  ,     414
19560.7  ,     441
19585.1  ,     497
19609.5  ,     490
19633.9  ,     469
19658.3  ,     568
19682.7  ,     610
19707.1  ,     611
19731.4  ,     556
19755.8  ,     602
19780.2  ,     590
19804.6  ,     546
19829.0  ,     560
19853.4  ,     621
19877.8  ,     597
19902.2  ,     605
19926.6  ,     580
19951.0  ,     570
19975.4  ,     532
19999.8  ,     538
20024.2  ,     547
20048.6  ,     487
20073.0  ,     452
20097.4  ,     423
20121.8  ,     451
20146.2  ,     412
20170.5  ,     416
20194.9  ,     368
20219.3  ,     391
20243.7  ,     364
20268.1  ,     353
20292.5  ,     300
20316.9  ,     346
20341.3  ,     283
20365.7  ,     296
20390.1  ,     312
20414.5  ,     259
20438.9  ,     291
20463.3  ,     277
20487.7  ,     253
20512.1  ,     260
20536.5  ,     207
20560.9  ,     257
20585.2  ,     262
20609.6  ,     238
20634.0  ,     217
20658.4  ,     220
20682.8  ,     237
20707.2  ,     216
20731.6  ,     199
20756.0  ,     181
20780.4  ,     183
20804.8  ,     166
20829.2  ,     184
20853.6  ,     159
20878.0  ,     128
20902.4  ,     143
20926.8  ,     138
20951.2  ,     126
20975.6  ,     131
20999.9  ,     133
21024.3  ,     124
21048.7  ,      87
21073.1  ,     113
21097.5  ,      96
21121.9  ,     117
21146.3  ,     133
21170.7  ,     120
21195.1  ,     149
21219.5  ,     161
21243.9  ,     209
21268.3  ,     237
21292.7  ,     285
21317.1  ,     379
21341.5  ,     397
21365.9  ,     408
21390.3  ,     514
21414.7  ,     501
21439.0  ,     500
21463.4  ,     412
21487.8  ,     396
21512.2  ,     360
21536.6  ,     308
21561.0  ,     251
21585.4  ,     215
21609.8  ,     160
21634.2  ,     132
21658.6  ,     101
21683.0  ,      93
21707.4  ,      81
21731.8  ,      68
21756.2  ,      73
21780.6  ,      76
21805.0  ,      79
21829.4  ,      71
21853.7  ,      60
21878.1  ,      54
21902.5  ,      56
21926.9  ,      66
21951.3  ,      81
21975.7  ,     103
22000.1  ,      89
22024.5  ,     112
22048.9  ,     114
22073.3  ,     117
22097.7  ,     113
22122.1  ,     147
22146.5  ,     126
22170.9  ,     153
22195.3  ,     122
22219.7  ,     113
22244.1  ,     126
22268.4  ,      88
22292.8  ,      98
22317.2  ,      66
22341.6  ,      80
22366.0  ,      70
22390.4  ,      55
22414.8  ,      48
22439.2  ,      51
22463.6  ,      51
22488.0  ,      63
22512.4  ,      42
22536.8  ,      63
22561.2  ,      49
22585.6  ,      47
22610.0  ,      44
22634.4  ,      40
22658.8  ,      57
22683.2  ,      45
22707.5  ,      49
22731.9  ,      49
22756.3  ,      44
22780.7  ,      55
22805.1  ,      50
22829.5  ,      45
22853.9  ,      54
22878.3  ,      48
22902.7  ,      51
22927.1  ,      43
22951.5  ,      49
22975.9  ,      53
23000.3  ,      51
23024.7  ,      51
23049.1  ,      57
23073.5  ,      44
23097.9  ,      53
23122.2  ,      40
23146.6  ,      52
23171.0  ,      45
23195.4  ,      55
23219.8  ,      64
23244.2  ,      45
23268.6  ,      41
23293.0  ,      42
23317.4  ,      41
23341.8  ,      45
23366.2  ,      52
23390.6  ,      45
23415.0  ,      52
23439.4  ,      52
23463.8  ,      49
23488.2  ,      36
23512.6  ,      37
23536.9  ,      34
23561.3  ,      38
23585.7  ,      42
23610.1  ,      56
23634.5  ,      50
23658.9  ,      44
23683.3  ,      43
23707.7  ,      45
23732.1  ,      51
23756.5  ,      43
23780.9  ,      33
23805.3  ,      51
23829.7  ,      45
23854.1  ,      47
23878.5  ,      47
23902.9  ,      60
23927.3  ,      51
23951.7  ,      21
23976.0  ,      43
24000.4  ,      53
24024.8  ,      47
24049.2  ,      50
24073.6  ,      56
24098.0  ,      44
24122.4  ,      52
24146.8  ,      47
24171.2  ,      42
24195.6  ,      50
24220.0  ,      48
24244.4  ,      35
24268.8  ,      41
24293.2  ,      39
24317.6  ,      59
24342.0  ,      47
24366.4  ,      50
24390.7  ,      50
24415.1  ,      51
24439.5  ,      44
24463.9  ,      37
24488.3  ,      53
24512.7  ,      45
24537.1  ,      39
24561.5  ,      52
24585.9  ,      67
24610.3  ,      45
24634.7  ,      36
24659.1  ,      42
24683.5  ,      39
24707.9  ,      47
24732.3  ,      44
24756.7  ,      48
24781.1  ,      47
24805.4  ,      52
24829.8  ,      59
24854.2  ,      49
24878.6  ,      67
24903.0  ,      61
24927.4  ,      51
24951.8  ,      62
24976.2  ,      42
25000.6  ,      62
25025.0  ,      48
25049.4  ,      58
25073.8  ,      63
25098.2  ,      45
25122.6  ,      58
25147.0  ,      72
25171.4  ,      66
25195.8  ,      59
25220.2  ,      78
25244.5  ,      46
25268.9  ,      64
25293.3  ,      61
25317.7  ,      79
25342.1  ,      54
25366.5  ,      45
25390.9  ,      57
25415.3  ,      51
25439.7  ,  145047
