"Target: Barberton_raster2, Contains DAT files: APB_563087639ESC18650661994_______M1.DAT"
24013.9  ,       4
24038.4  ,       0
24062.8  ,       3
24087.3  ,       2
24111.7  ,       2
24136.1  ,       3
24160.6  ,       5
24185.0  ,       3
24209.4  ,       2
24233.9  ,       0
24258.3  ,       1
24282.8  ,       4
24307.2  ,       3
24331.6  ,       0
24356.1  ,       8
24380.5  ,       5
24404.9  ,       3
24429.4  ,       3
24453.8  ,       2
24478.3  ,       5
24502.7  ,       2
24527.1  ,       2
24551.6  ,       3
24576.0  ,       0
24600.4  ,       2
24624.9  ,       4
24649.3  ,       3
24673.8  ,       3
24698.2  ,       6
24722.6  ,       6
24747.1  ,       2
24771.5  ,       4
24795.9  ,       3
24820.4  ,       6
24844.8  ,       2
24869.3  ,       4
24893.7  ,       2
24918.1  ,       4
24942.6  ,       2
24967.0  ,       7
24991.4  ,       1
25015.9  ,       6
25040.3  ,       4
25064.8  ,       2
25089.2  ,       1
25113.6  ,       3
25138.1  ,       6
25162.5  ,       4
25186.9  ,       3
25211.4  ,       6
25235.8  ,      11
25260.3  ,       3
25284.7  ,       3
25309.1  ,       3
25333.6  ,       4
25358.0  ,       4
25382.4  ,       3
25406.9  ,       3
25431.3  ,       4
25455.8  ,       6
25480.2  ,   12053
