"Target: Cumberland_dump_substrate_touch, Contains DAT files: APB_440547441ESC04850240366_______M2.DAT"
12829.7  ,      20
12854.1  ,      20
12878.5  ,      17
12902.9  ,      11
12927.3  ,      22
12951.7  ,      16
12976.2  ,      26
13000.6  ,      20
13025.0  ,      24
13049.4  ,      23
13073.8  ,      34
13098.2  ,      29
13122.6  ,      33
13147.0  ,      46
13171.4  ,      34
13195.8  ,      44
13220.2  ,      53
13244.6  ,      67
13269.0  ,      63
13293.4  ,      66
13317.8  ,      86
13342.2  ,      74
13366.6  ,     102
13391.0  ,      97
13415.4  ,     100
13439.8  ,     111
13464.2  ,      94
13488.6  ,     130
13513.0  ,     112
13537.4  ,     113
13561.8  ,     117
13586.2  ,     121
13610.6  ,      98
13635.0  ,      85
13659.4  ,     101
13683.8  ,      91
13708.2  ,      97
13732.6  ,      70
13757.0  ,      45
13781.4  ,      49
13805.8  ,      54
13830.2  ,      52
13854.6  ,      42
13879.0  ,      43
13903.4  ,      45
13927.8  ,      39
13952.2  ,      54
13976.6  ,      50
14001.0  ,      42
14025.4  ,      65
14049.8  ,      62
14074.2  ,      77
14098.6  ,      77
14123.0  ,     101
14147.4  ,     132
14171.8  ,     169
14196.2  ,     166
14220.6  ,     182
14245.0  ,     174
14269.4  ,     207
14293.8  ,     176
14318.2  ,     151
14342.6  ,     139
14367.0  ,     105
14391.4  ,      72
14415.8  ,      59
14440.2  ,      45
14464.6  ,      23
14489.0  ,      16
14513.4  ,      12
14537.8  ,      13
14562.2  ,      13
14586.6  ,       9
14611.0  ,      10
14635.4  ,       9
14659.8  ,      10
14684.2  ,      13
14708.6  ,      12
14733.0  ,      10
14757.4  ,       9
14781.8  ,       8
14806.2  ,      13
14830.6  ,      17
14855.0  ,       7
14879.4  ,      13
14903.8  ,      19
14928.2  ,       8
14952.6  ,      20
14977.0  ,      18
15001.4  ,      13
15025.8  ,      12
15050.2  ,      11
15074.6  ,      13
15099.0  ,      11
15123.4  ,      23
15147.8  ,      10
15172.2  ,      15
15196.6  ,      17
15221.0  ,      17
15245.5  ,      13
15269.9  ,      16
15294.3  ,      16
15318.7  ,      14
15343.1  ,      15
15367.5  ,      20
15391.9  ,      24
15416.3  ,      16
15440.7  ,      24
15465.1  ,      22
15489.5  ,      26
15513.9  ,      33
15538.3  ,      39
15562.7  ,      65
15587.1  ,      66
15611.5  ,      93
15635.9  ,     110
15660.3  ,     146
15684.7  ,     156
15709.1  ,     181
15733.5  ,     188
15757.9  ,     177
15782.3  ,     187
15806.7  ,     173
15831.1  ,     132
15855.5  ,     130
15879.9  ,      86
15904.3  ,      71
15928.7  ,      65
15953.1  ,      49
15977.5  ,      40
16001.9  ,      35
16026.3  ,      33
16050.7  ,      33
16075.1  ,      38
16099.5  ,      43
16123.9  ,      56
16148.3  ,      30
16172.7  ,      36
16197.1  ,      41
16221.5  ,      64
16245.9  ,      48
16270.3  ,      48
16294.7  ,      55
16319.1  ,      51
16343.5  ,      57
16367.9  ,      51
16392.3  ,      50
16416.7  ,      45
16441.1  ,      44
16465.5  ,      45
16489.9  ,      46
16514.3  ,      52
16538.7  ,      67
16563.1  ,      48
16587.5  ,      48
16611.9  ,      51
16636.3  ,      58
16660.7  ,      46
16685.1  ,      71
16709.5  ,      60
16733.9  ,      66
16758.3  ,      72
16782.7  ,      78
16807.1  ,      63
16831.5  ,     113
16855.9  ,      90
16880.3  ,     107
16904.7  ,     114
16929.1  ,     105
16953.5  ,      99
16977.9  ,     129
17002.3  ,     124
17026.7  ,     129
17051.1  ,     154
17075.5  ,     152
17099.9  ,     155
17124.3  ,     139
17148.7  ,     137
17173.1  ,     147
17197.5  ,     165
17221.9  ,     123
17246.3  ,     135
17270.7  ,     157
17295.1  ,     144
17319.5  ,     114
17343.9  ,     118
17368.3  ,      88
17392.7  ,      81
17417.1  ,      81
17441.5  ,      67
17465.9  ,      60
17490.3  ,      46
17514.8  ,      60
17539.2  ,      67
17563.6  ,      68
17588.0  ,      55
17612.4  ,      54
17636.8  ,      60
17661.2  ,      52
17685.6  ,      50
17710.0  ,      53
17734.4  ,      56
17758.8  ,      61
17783.2  ,      36
17807.6  ,      35
17832.0  ,      33
17856.4  ,      22
17880.8  ,      23
17905.2  ,      22
17929.6  ,      31
17954.0  ,      29
17978.4  ,      23
18002.8  ,      32
18027.2  ,      25
18051.6  ,      26
18076.0  ,      31
18100.4  ,      36
18124.8  ,      45
18149.2  ,      67
18173.6  ,      90
18198.0  ,     101
18222.4  ,     125
18246.8  ,     154
18271.2  ,     146
18295.6  ,     153
18320.0  ,     146
18344.4  ,     116
18368.8  ,     117
18393.2  ,      91
18417.6  ,      68
18442.0  ,      54
18466.4  ,      28
18490.8  ,      31
18515.2  ,      16
18539.6  ,      21
18564.0  ,      18
18588.4  ,       5
18612.8  ,      15
18637.2  ,       7
18661.6  ,       6
18686.0  ,       4
18710.4  ,       5
18734.8  ,       6
18759.2  ,       9
18783.6  ,       7
18808.0  ,       6
18832.4  ,       7
18856.8  ,      13
18881.2  ,       8
18905.6  ,      10
18930.0  ,       5
18954.4  ,       6
18978.8  ,       5
19003.2  ,      12
19027.6  ,      15
19052.0  ,       8
19076.4  ,       6
19100.8  ,      10
19125.2  ,       8
19149.6  ,      10
19174.0  ,       6
19198.4  ,      11
19222.8  ,      12
19247.2  ,      13
19271.6  ,      16
19296.0  ,      11
19320.4  ,      15
19344.8  ,      14
19369.2  ,      26
19393.6  ,      11
19418.0  ,      16
19442.4  ,       7
19466.8  ,      19
19491.2  ,      21
19515.6  ,      12
19540.0  ,      21
19564.4  ,      20
19588.8  ,      30
19613.2  ,      27
19637.6  ,      22
19662.0  ,      39
19686.4  ,      32
19710.8  ,      37
19735.2  ,      35
19759.6  ,      35
19784.1  ,      28
19808.5  ,      28
19832.9  ,      34
19857.3  ,      27
19881.7  ,      32
19906.1  ,      33
19930.5  ,      35
19954.9  ,      45
19979.3  ,      33
20003.7  ,      30
20028.1  ,      38
20052.5  ,      31
20076.9  ,      23
20101.3  ,      31
20125.7  ,      31
20150.1  ,      20
20174.5  ,      20
20198.9  ,      15
20223.3  ,      24
20247.7  ,      24
20272.1  ,      24
20296.5  ,      28
20320.9  ,      16
20345.3  ,      16
20369.7  ,      19
20394.1  ,      21
20418.5  ,      20
20442.9  ,      10
20467.3  ,      12
20491.7  ,      16
20516.1  ,      12
20540.5  ,      23
20564.9  ,      17
20589.3  ,      18
20613.7  ,      16
20638.1  ,      10
20662.5  ,      15
20686.9  ,      12
20711.3  ,      17
20735.7  ,       8
20760.1  ,      11
20784.5  ,       9
20808.9  ,       9
20833.3  ,      12
20857.7  ,      11
20882.1  ,      10
20906.5  ,      12
20930.9  ,      10
20955.3  ,       5
20979.7  ,       5
21004.1  ,       5
21028.5  ,       5
21052.9  ,       4
21077.3  ,       9
21101.7  ,       8
21126.1  ,       5
21150.5  ,       6
21174.9  ,      11
21199.3  ,      11
21223.7  ,      11
21248.1  ,       8
21272.5  ,      18
21296.9  ,      24
21321.3  ,      27
21345.7  ,      30
21370.1  ,      26
21394.5  ,      29
21418.9  ,      36
21443.3  ,      29
21467.7  ,      27
21492.1  ,      22
21516.5  ,      35
21540.9  ,      21
21565.3  ,      19
21589.7  ,      12
21614.1  ,      12
21638.5  ,       4
21662.9  ,       8
21687.3  ,       6
21711.7  ,       4
21736.1  ,       4
21760.5  ,       3
21784.9  ,       1
21809.3  ,       4
21833.7  ,       7
21858.1  ,       6
21882.5  ,       1
21906.9  ,       3
21931.3  ,       8
21955.7  ,       4
21980.1  ,       4
22004.5  ,       6
22028.9  ,       6
22053.4  ,       5
22077.8  ,       7
22102.2  ,       9
22126.6  ,       6
22151.0  ,      10
22175.4  ,       7
22199.8  ,       7
22224.2  ,       6
22248.6  ,       3
22273.0  ,       3
22297.4  ,       9
22321.8  ,       2
22346.2  ,       4
22370.6  ,       4
22395.0  ,       1
22419.4  ,       4
22443.8  ,       0
22468.2  ,       3
22492.6  ,       3
22517.0  ,       3
22541.4  ,       2
22565.8  ,       2
22590.2  ,       1
22614.6  ,       1
22639.0  ,       3
22663.4  ,       0
22687.8  ,       3
22712.2  ,       3
22736.6  ,       3
22761.0  ,       4
22785.4  ,       2
22809.8  ,       4
22834.2  ,       6
22858.6  ,       1
22883.0  ,       2
22907.4  ,       0
22931.8  ,       3
22956.2  ,       5
22980.6  ,       1
23005.0  ,       4
23029.4  ,       2
23053.8  ,       3
23078.2  ,       3
23102.6  ,       2
23127.0  ,       1
23151.4  ,       0
23175.8  ,       2
23200.2  ,       3
23224.6  ,       1
23249.0  ,       2
23273.4  ,       3
23297.8  ,       3
23322.2  ,       3
23346.6  ,       1
23371.0  ,       3
23395.4  ,       6
23419.8  ,       2
23444.2  ,       2
23468.6  ,       6
23493.0  ,       1
23517.4  ,       5
23541.8  ,       3
23566.2  ,       4
23590.6  ,       1
23615.0  ,       0
23639.4  ,       3
23663.8  ,       6
23688.2  ,       3
23712.6  ,       0
23737.0  ,       2
23761.4  ,       5
23785.8  ,       1
23810.2  ,       3
23834.6  ,       4
23859.0  ,       3
23883.4  ,       2
23907.8  ,       3
23932.2  ,       5
23956.6  ,       1
23981.0  ,       2
24005.4  ,       6
24029.8  ,       3
24054.2  ,       2
24078.6  ,       1
24103.0  ,       2
24127.4  ,       1
24151.8  ,       5
24176.2  ,       3
24200.6  ,       0
24225.0  ,       2
24249.4  ,       1
24273.8  ,       6
24298.2  ,       1
24322.7  ,       0
24347.1  ,       5
24371.5  ,       7
24395.9  ,       5
24420.3  ,       4
24444.7  ,       4
24469.1  ,       2
24493.5  ,       2
24517.9  ,       0
24542.3  ,       4
24566.7  ,       0
24591.1  ,       2
24615.5  ,       6
24639.9  ,       5
24664.3  ,       6
24688.7  ,       2
24713.1  ,       3
24737.5  ,       5
24761.9  ,       1
24786.3  ,       3
24810.7  ,       4
24835.1  ,       4
24859.5  ,       5
24883.9  ,       4
24908.3  ,       2
24932.7  ,       2
24957.1  ,       5
24981.5  ,       4
25005.9  ,       3
25030.3  ,       1
25054.7  ,       3
25079.1  ,       3
25103.5  ,       2
25127.9  ,       5
25152.3  ,       5
25176.7  ,       2
25201.1  ,       4
25225.5  ,       3
25249.9  ,       4
25274.3  ,       6
25298.7  ,       4
25323.1  ,       7
25347.5  ,       2
25371.9  ,       3
25396.3  ,       5
25420.7  ,       4
25445.1  ,    8403
