"Target: Flaherty, Contains DAT files: APA_408992063ESC01300051576_______M2.DAT"
15533.2  ,    1522
15557.7  ,    2061
15582.1  ,    2554
15606.5  ,    3224
15630.9  ,    4321
15655.4  ,    5113
15679.8  ,    5935
15704.2  ,    6907
15728.6  ,    7284
15753.1  ,    7439
15777.5  ,    7162
15801.9  ,    6647
15826.3  ,    5867
15850.8  ,    4954
15875.2  ,    4080
15899.6  ,    3278
15924.0  ,    2649
15948.5  ,    2194
15972.9  ,    1966
15997.3  ,    1737
16021.7  ,    1700
16046.2  ,    1681
16070.6  ,    1761
16095.0  ,    1790
16119.4  ,    1738
16143.9  ,    1939
16168.3  ,    1988
16192.7  ,    2039
16217.1  ,    2096
16241.6  ,    2184
16266.0  ,    2240
16290.4  ,    2234
16314.8  ,    2241
16339.3  ,    2338
16363.7  ,    2214
16388.1  ,    2168
16412.6  ,    2294
16437.0  ,    2271
16461.4  ,    2132
16485.8  ,    2209
16510.3  ,    2105
16534.7  ,    2172
16559.1  ,    2164
16583.5  ,    2195
16608.0  ,    2239
16632.4  ,    2295
16656.8  ,    2397
16681.2  ,    2481
16705.7  ,    2530
16730.1  ,    2699
16754.5  ,    2882
16778.9  ,    3061
16803.4  ,    3189
16827.8  ,    3462
16852.2  ,    3728
16876.6  ,    3924
16901.1  ,    4207
16925.5  ,    4386
16949.9  ,    4657
16974.3  ,    4821
16998.8  ,    5111
17023.2  ,    5386
17047.6  ,    5527
17072.0  ,    5823
17096.5  ,    5976
17120.9  ,    5932
17145.3  ,    6199
17169.8  ,    6482
17194.2  ,    6504
17218.6  ,    6387
17243.0  ,    6466
17267.5  ,    6328
17291.9  ,    5905
17316.3  ,    5676
17340.7  ,    5020
17365.2  ,    4700
17389.6  ,    4160
17414.0  ,    3728
17438.4  ,    3465
17462.9  ,    3057
17487.3  ,    2872
17511.7  ,    2746
17536.1  ,    2657
17560.6  ,    2572
17585.0  ,    2658
17609.4  ,    2686
17633.8  ,    2668
17658.3  ,    2558
17682.7  ,    2532
17707.1  ,    2278
17731.5  ,    2147
17756.0  ,    1994
17780.4  ,    1731
17804.8  ,    1489
17829.2  ,    1400
17853.7  ,    1257
17878.1  ,    1202
17902.5  ,    1253
17926.9  ,    1132
17951.4  ,    1182
17975.8  ,    1196
18000.2  ,    1231
18024.7  ,    1199
18049.1  ,    1243
18073.5  ,    1389
18097.9  ,    1592
18122.4  ,    1966
18146.8  ,    2476
18171.2  ,    3202
18195.6  ,    4029
18220.1  ,    4697
18244.5  ,    5486
18268.9  ,    6078
18293.3  ,    6237
18317.8  ,    6132
18342.2  ,    5874
18366.6  ,    5081
18391.0  ,    4209
18415.5  ,    3411
18439.9  ,    2406
18464.3  ,    1820
18488.7  ,    1368
18513.2  ,     963
18537.6  ,     684
18562.0  ,     542
18586.4  ,     439
18610.9  ,     381
18635.3  ,     389
18659.7  ,     373
18684.1  ,     313
18708.6  ,     336
18733.0  ,     322
18757.4  ,     327
18781.8  ,     323
18806.3  ,     333
18830.7  ,     333
18855.1  ,     347
18879.6  ,     358
18904.0  ,     379
18928.4  ,     382
18952.8  ,     379
18977.3  ,     394
19001.7  ,     398
19026.1  ,     384
19050.5  ,     395
19075.0  ,     394
19099.4  ,     444
19123.8  ,     454
19148.2  ,     475
19172.7  ,     518
19197.1  ,     470
19221.5  ,     523
19245.9  ,     531
19270.4  ,     522
19294.8  ,     599
19319.2  ,     577
19343.6  ,     639
19368.1  ,     668
19392.5  ,     697
19416.9  ,     758
19441.3  ,     804
19465.8  ,     759
19490.2  ,     866
19514.6  ,     896
19539.0  ,     930
19563.5  ,    1025
19587.9  ,    1079
19612.3  ,    1110
19636.7  ,    1190
19661.2  ,    1198
19685.6  ,    1367
19710.0  ,    1299
19734.5  ,    1360
19758.9  ,    1357
19783.3  ,    1405
19807.7  ,    1484
19832.2  ,    1454
19856.6  ,    1492
19881.0  ,    1557
19905.4  ,    1458
19929.9  ,    1394
19954.3  ,    1375
19978.7  ,    1374
20003.1  ,    1315
20027.6  ,    1322
20052.0  ,    1210
20076.4  ,    1172
20100.8  ,    1189
20125.3  ,    1090
20149.7  ,    1056
20174.1  ,    1033
20198.5  ,     972
20223.0  ,     912
20247.4  ,     943
20271.8  ,     872
20296.2  ,     821
20320.7  ,     822
20345.1  ,     824
20369.5  ,     760
20393.9  ,     799
20418.4  ,     744
20442.8  ,     712
20467.2  ,     699
20491.7  ,     712
20516.1  ,     633
20540.5  ,     626
20564.9  ,     627
20589.4  ,     636
20613.8  ,     621
20638.2  ,     577
20662.6  ,     591
20687.1  ,     561
20711.5  ,     554
20735.9  ,     534
20760.3  ,     427
20784.8  ,     492
20809.2  ,     431
20833.6  ,     438
20858.0  ,     412
20882.5  ,     330
20906.9  ,     329
20931.3  ,     331
20955.7  ,     319
20980.2  ,     320
21004.6  ,     266
21029.0  ,     301
21053.4  ,     264
21077.9  ,     241
21102.3  ,     279
21126.7  ,     278
21151.1  ,     293
21175.6  ,     330
21200.0  ,     349
21224.4  ,     422
21248.8  ,     543
21273.3  ,     618
21297.7  ,     707
21322.1  ,     872
21346.6  ,     995
21371.0  ,    1099
21395.4  ,    1238
21419.8  ,    1281
21444.3  ,    1233
21468.7  ,    1195
21493.1  ,    1119
21517.5  ,     949
21542.0  ,     850
21566.4  ,     704
21590.8  ,     506
21615.2  ,     434
21639.7  ,     315
21664.1  ,     279
21688.5  ,     242
21712.9  ,     204
21737.4  ,     187
21761.8  ,     167
21786.2  ,     178
21810.6  ,     165
21835.1  ,     168
21859.5  ,     164
21883.9  ,     162
21908.3  ,     182
21932.8  ,     182
21957.2  ,     166
21981.6  ,     213
22006.0  ,     229
22030.5  ,     242
22054.9  ,     296
22079.3  ,     250
22103.7  ,     316
22128.2  ,     310
22152.6  ,     356
22177.0  ,     342
22201.5  ,     342
22225.9  ,     305
22250.3  ,     302
22274.7  ,     274
22299.2  ,     216
22323.6  ,     211
22348.0  ,     185
22372.4  ,     170
22396.9  ,     145
22421.3  ,     130
22445.7  ,     127
22470.1  ,     130
22494.6  ,     133
22519.0  ,     108
22543.4  ,     112
22567.8  ,     100
22592.3  ,     105
22616.7  ,     128
22641.1  ,     127
22665.5  ,     121
22690.0  ,     116
22714.4  ,     108
22738.8  ,     112
22763.2  ,     132
22787.7  ,     112
22812.1  ,     126
22836.5  ,     137
22860.9  ,     121
22885.4  ,     131
22909.8  ,     125
22934.2  ,     123
